ID,Sample,T,SE_T,D47,SE_D47,Dataset,Tcorrel_1,Tcorrel_2,D47correl_1,D47correl_2
1,LGB-2,7.90,0.20,0.6486,0.0030,Slow-growing calcites from Anderson et al. (2021),1,0,1,0.364883
2,DVH-2,33.70,0.20,0.5696,0.0027,Slow-growing calcites from Anderson et al. (2021),0,1,0.364883,1
