Sample,T,sT
CA5_05,5,0.5
CA5_07,5,0.5
CA25,25,0.5
CA50,50,0.5
CA70,70,0.5
CA90,90,0.5
CA120,120,0.5
CA170,170,0.5
CA200,200,0.5
CA250_06,250,0.5
CA250_09,250,0.5
CA726,726.85,0.5
