ticker,name,exchange,category name,country
ATLN.VX,Actelion Ltd,EBS,,Switzerland
ROG.VX,Roche Holding AG,EBS,,Switzerland
FHZN.SW,Flughafen Zürich AG,EBS,,Switzerland
AAPL.SW,Apple Inc.,EBS,,Switzerland
RO.SW,Roche Holding AG,EBS,,Switzerland
AMS.SW,ams AG,EBS,,Switzerland
ABBN.VX,ABB Ltd,EBS,,Switzerland
CSGN.VX,Credit Suisse Group AG,EBS,,Switzerland
VW-V.SW,Volkswagen Aktiengesellschaft,EBS,,Switzerland
DUFN.SW,Dufry AG,EBS,,Switzerland
BCGE.SW,Banque Cantonale de GenÃ¨ve SA,EBS,,Switzerland
VWS.SW,Vestas Wind Systems A/S,EBS,,Switzerland
OXDEX.SW,OXDEX.SW,EBS,,Switzerland
OXDB1.SW,OXDB1.SW,EBS,,Switzerland
OSR.SW,OSRAM Licht AG,EBS,,Switzerland
KU2.SW,KUKA Aktiengesellschaft,EBS,,Switzerland
HEN.SW,Henkel AG & Co. KGaA,EBS,,Switzerland
EVE.SW,Evolva Holding SA,EBS,,Switzerland
ZURN.VX,Zurich Insurance Group AG,EBS,,Switzerland
LONN.VX,Lonza Group Ltd,EBS,,Switzerland
GEBN.VX,Geberit AG,EBS,,Switzerland
UBSG.VX,UBS Group AG,EBS,,Switzerland
GIVN.VX,Givaudan SA,EBS,,Switzerland
USIN.SW,USIN.SW,EBS,,Switzerland
TEMN.SW,Temenos Group AG,EBS,,Switzerland
ROL.SW,Von Roll Holding AG,EBS,,Switzerland
MIKN.SW,Mikron Holding AG,EBS,,Switzerland
BALN.VX,Bâloise Holding AG,EBS,Property & Casualty Insurance,Switzerland
ALLN.SW,Allreal Holding AG,EBS,,Switzerland
YPSN.SW,Ypsomed Holding AG,EBS,,Switzerland
VATN.SW,Valiant Holding AG,EBS,,Switzerland
VAHN.SW,Vaudoise Assurances Holding SA,EBS,,Switzerland
UBXN.SW,u-blox Holding AG,EBS,,Switzerland
SLOG.SW,SLOG.SW,EBS,,Switzerland
STMN.SW,Straumann Holding AG,EBS,,Switzerland
SOON.VX,Sonova Holding AG,EBS,,Switzerland
SMET.SW,Swmtl Holding AG in liquidation,EBS,,Switzerland
SLHN.VX,Swiss Life Holding AG,EBS,,Switzerland
SFZN.SW,Siegfried Holding AG,EBS,,Switzerland
SCHPE.SW,SCHPE.SW,EBS,,Switzerland
SCHP.VX,Schindler Holding AG,EBS,,Switzerland
SANN.SW,Santhera Pharmaceuticals Holding AG,EBS,,Switzerland
BAER.VX,Julius Baer Group Ltd.,EBS,,Switzerland
NIN.SW,"Nintendo Co., Ltd.",EBS,,Switzerland
JEN.SW,Jenoptik AG,EBS,,Switzerland
JFN.SW,Jungfraubahn Holding AG,EBS,,Switzerland
JKS.SW,"JinkoSolar Holding Co., Ltd.",EBS,,Switzerland
BCJ.SW,Banque Cantonale du Jura,EBS,,Switzerland
TOSH.SW,Toshiba Corporation,EBS,,Switzerland
JPM.SW,JPMorgan Chase & Co.,EBS,,Switzerland
