ticker,name,exchange,category name,country
NOKIA.HE,Nokia Corporation,HEL,,Finland
YTY1V.HE,YIT Oyj,HEL,,Finland
SAA1V.HE,Sanoma Oyj,HEL,,Finland
PKC1V.HE,PKC Group Oyj,HEL,,Finland
OUT1V.HE,Outokumpu Oyj,HEL,,Finland
NDA1V.HE,Nordea Bank AB (publ),HEL,,Finland
VALMT.HE,Valmet Oyj,HEL,,Finland
KESBV.HE,Kesko Oyj,HEL,,Finland
PKK1V.HE,Pohjois-Karjalan Kirjapaino Oyj,HEL,,Finland
NRE1V.HE,Nokian Renkaat Oyj,HEL,,Finland
TAALB.HE,Taaleri Oyj,HEL,,Finland
SUY1V.HE,Suominen Oyj,HEL,,Finland
STCBV.HE,Stockmann Oyj ABP,HEL,,Finland
SAMAS.HE,Sampo Oyj,HEL,,Finland
METSA.HE,Metsä Board Oyj,HEL,,Finland
LEM1S.HE,Lemminkäinen Oyj,HEL,,Finland
ILK1S.HE,Ilkka-Yhtymä Oyj,HEL,,Finland
FSC1V.HE,F-Secure Oyj,HEL,,Finland
CTY1S.HE,Citycon Oyj,HEL,,Finland
BAS1V.HE,BasWare Oyj,HEL,,Finland
ALN1V.HE,Alma Media Oyj,HEL,,Finland
CONSTI.HE,Consti Yhtiöt Oyj,HEL,,Finland
OKDAV.HE,Oriola Oyj,HEL,,Finland
DETEC.HE,Detection Technology Oyj,HEL,,Finland
LAT1V.HE,Lassila & Tikanoja Oyj,HEL,,Finland
HRTIS.HE,Herantis Pharma Oyj,HEL,,Finland
ORNAV.HE,Orion Oyj,HEL,,Finland
PON1V.HE,Ponsse Oyj,HEL,,Finland
MUNK1.HE,Ahlstrom-Munksjö Oyj,HEL,,Finland
VERK.HE,Verkkokauppa.com Oyj,HEL,,Finland
QPR1V.HE,QPR Software Oyj,HEL,,Finland
RAP1V.HE,Rapala VMC Corporation,HEL,,Finland
WUF1V.HE,Wulff-Yhtiöt Oyj,HEL,,Finland
XNS1V.HE,Ixonos Plc,HEL,,Finland
ILK2S.HE,Ilkka-Yhtymä Oyj,HEL,,Finland
YLEPS.HE,Yleiselektroniikka Oyj,HEL,,Finland
ZEE1V.HE,Zeeland Family Oyj,HEL,,Finland
GLA1V.HE,Glaston Oyj Abp,HEL,,Finland
SSABBH.HE,SSAB AB,HEL,,Finland
SOSI1.HE,Sotkamo Silver AB,HEL,,Finland
STCAS.HE,Stockmann Oyj ABP,HEL,,Finland
ENDOM.HE,Endomines AB (publ),HEL,,Finland
FIS1V.HE,Fiskars Oyj Abp,HEL,,Finland
VIK1V.HE,Viking Line ABP,HEL,,Finland
WRT1V.HE,Wärtsilä Oyj Abp,HEL,,Finland
SSABAH.HE,SSAB AB,HEL,,Finland
ACG1V.HE,Aspocomp Group Oyj,HEL,,Finland
AFE1V.HE,Affecto Oyj,HEL,,Finland
AFAGR.HE,Afarak Group Oyj,HEL,,Finland
AHOLA.HE,Oyj Ahola Transport Abp,HEL,,Finland
AHL1V.HE,Ahlstrom Oyj,HEL,,Finland
AKTRV.HE,Aktia Bank p.l.c.,HEL,,Finland
AKTAV.HE,Aktia Bank p.l.c.,HEL,,Finland
TLS1V.HE,Telia Company AB,HEL,,Finland
ALBAV.HE,Bank of Åland Plc,HEL,,Finland
ALBBV.HE,Bank of Åland Plc,HEL,,Finland
AMEAS.HE,Amer Sports Corporation,HEL,,Finland
APETI.HE,Apetit Oyj,HEL,,Finland
OREITN0116.HE,Orava Asuntorahasto Oyj,HEL,,Finland
OREIT.HE,Orava Asuntorahasto Oyj,HEL,,Finland
ATG1V.HE,Asiakastieto Group Oyj,HEL,,Finland
ATRAV.HE,Atria Oyj,HEL,,Finland
BTH1V.HE,Biotie Therapies Corp.,HEL,,Finland
BITTI.HE,Bittium Oyj,HEL,,Finland
FITBIO.HE,FIT Biotech Oy,HEL,,Finland
BIOBV.HE,Biohit Oyj,HEL,,Finland
METSB.HE,Metsä Board Oyj,HEL,,Finland
CGCBV.HE,Cargotec Corporation,HEL,,Finland
CLEAN.HE,Cleantech Invest Oyj,HEL,,Finland
CPMBV.HE,CapMan Oyj,HEL,,Finland
CRA1V.HE,Cramo Oyj,HEL,,Finland
CTH1V.HE,Componenta Corporation,HEL,,Finland
CTL1V.HE,Comptel Oyj,HEL,,Finland
DIG1V.HE,Digia Oyj,HEL,,Finland
DOV1V.HE,Dovre Group Plc,HEL,,Finland
EFO1V.HE,Efore Oyj,HEL,,Finland
ELEAV.HE,Elecster Oyj,HEL,,Finland
ELVHB.HE,Elite Varainhoito Oyj,HEL,,Finland
EQV1V.HE,eQ Oyj,HEL,,Finland
ERIBR.HE,Telefonaktiebolaget LM Ericsson (publ),HEL,,Finland
ETT1V.HE,Etteplan Oyj,HEL,,Finland
EVLI.HE,Evli Pankki Oyj,HEL,,Finland
EXL1V.HE,Exel Composites Oyj,HEL,,Finland
RAIKV.HE,Raisio plc,HEL,,Finland
MEO1V.HE,Metso Corporation,HEL,,Finland
NIXU.HE,Nixu Oyj,HEL,,Finland
SAGCV.HE,Saga Furs Oyj,HEL,,Finland
SAVOH.HE,Savo-Solar Oyj,HEL,,Finland
RESTA.HE,Restamax Oyj,HEL,,Finland
UPM1V.HE,UPM-Kymmene Oyj,HEL,,Finland
IFA1V.HE,Innofactor Plc,HEL,,Finland
OTE1V.HE,Outotec Oyj,HEL,,Finland
TIE1V.HE,Tieto Oyj,HEL,,Finland
HUH1V.HE,Huhtamäki Oyj,HEL,,Finland
KCR1V.HE,Konecranes Plc,HEL,,Finland
FUM1V.HE,Fortum Oyj,HEL,,Finland
HONBS.HE,Honkarakenne Oyj,HEL,,Finland
SIILI.HE,Siili Solutions Oyj,HEL,,Finland
TLT1V.HE,Teleste Corporation,HEL,,Finland
VALOE.HE,Valoe Oyj,HEL,,Finland
STEAV.HE,Stora Enso Oyj,HEL,,Finland
HOIVA.HE,Suomen Hoivatilat Oyj,HEL,,Finland
TRH1V.HE,Trainers’ House Oyj,HEL,,Finland
RUTAV.HE,Raute Oyj,HEL,,Finland
UUTEC.HE,Plc Uutechnic Group Oyj,HEL,,Finland
POY1V.HE,Pöyry PLC,HEL,,Finland
NESTE.HE,Neste Oyj,HEL,,Finland
FLG1S.HE,Finnlines Oyj,HEL,,Finland
HKSAV.HE,HKScan Oyj,HEL,,Finland
ICP1V.HE,Incap Oyj,HEL,,Finland
KSLAV.HE,Keskisuomalainen Oyj,HEL,,Finland
