ticker,name,exchange,category name,country
AIB.IR,AIB.IR,ISE,,Ireland
DQ5.IR,CPL Resources plc,ISE,,Ireland
JEV.IR,JEV.IR,ISE,,Ireland
IRES.IR,Irish Residential Properties REIT plc,ISE,,Ireland
MSTY.IR,Mainstay Medical International plc,ISE,,Ireland
SK3.IR,Smurfit Kappa Group plc,ISE,,Ireland
KRZ.IR,Kerry Group plc,ISE,,Ireland
FAC.IR,Falcon Oil & Gas Ltd.,ISE,,Ireland
BIR.IR,BANK OF IRELAND ORD STK EUR0.05,ISE,,Ireland
ORQ.IR,Ormonde Mining plc,ISE,,Ireland
T7O.IR,Total Produce plc,ISE,,Ireland
MLC.IR,Malin Corporation plc,ISE,,Ireland
APGN.IR,Applegreen Plc,ISE,,Ireland
HSW.IR,Hostelworld Group Plc,ISE,,Ireland
YZA.IR,ARYZTA AG,ISE,,Ireland
AIB1.IR,"Allied Irish Banks, p.l.c.",ISE,,Ireland
RY4C.IR,Ryanair Holdings plc,ISE,,Ireland
ZAZ.IR,zamano plc,ISE,,Ireland
FKV1.IR,Conroy Gold and Natural Resources plc,ISE,,Ireland
DOY.IR,Abbey plc,ISE,,Ireland
DOP.IR,Aminex plc,ISE,,Ireland
PPB.IR,Paddy Power Betfair plc,ISE,,Ireland
DD7E.IR,Bank Of Ireland Group plc,ISE,,Ireland
DD7D.IR,Bank Of Ireland Group plc,ISE,,Ireland
GN1.IR,Green REIT plc,ISE,,Ireland
CRG.IR,CRH plc,ISE,,Ireland
CRO.IR,Venn Life Sciences Holdings plc,ISE,,Ireland
DD8B.IR,CRH plc,ISE,,Ireland
DD8A.IR,CRH plc,ISE,,Ireland
DLE.IR,Datalex plc,ISE,,Ireland
DHG.IR,Dalata Hotel Group plc,ISE,,Ireland
WLG.IR,WIRELESS GROUP PLC ORD GBP0.07,ISE,,Ireland
KJY.IR,Karelian Diamond Resources PLC,ISE,,Ireland
DQ7.IR,Donegal Investment Group plc,ISE,,Ireland
EG7.IR,FBD Holdings plc,ISE,,Ireland
EG5A.IR,"PETROCELTIC INTL EO-,3125",ISE,,Ireland
FQ3.IR,FYFFES ORD EUR0.06,ISE,,Ireland
GAME.IR,GAN plc,ISE,,Ireland
GCC.IR,C&C Group plc,ISE,,Ireland
HBRN.IR,Hibernia REIT plc,ISE,,Ireland
GL9.IR,Glanbia plc,ISE,,Ireland
OVXA.IR,Ovoca Gold plc,ISE,,Ireland
GYQ.IR,First Derivatives plc,ISE,,Ireland
P8ET.IR,PetroNeft Resources plc,ISE,,Ireland
IPDC.IR,Independent News & Media plc,ISE,,Ireland
3MP.IR,3MP.IR,ISE,,Ireland
KRX.IR,Kingspan Group plc,ISE,,Ireland
8GW.IR,Great Western Mining Corporation PLC,ISE,,Ireland
OIZ.IR,Origin Enterprises Plc,ISE,,Ireland
PZQA.IR,Providence Resources Plc,ISE,,Ireland
IL0A.IR,Permanent TSB Group Holdings plc,ISE,,Ireland
IJG.IR,IFG Group plc,ISE,,Ireland
IR5B.IR,Irish Continental Group plc,ISE,,Ireland
MIO.IR,Mincon Group Plc,ISE,,Ireland
TQW.IR,Tullow Oil plc,ISE,,Ireland
