ticker,name,exchange,category name,country
DLEKG.TA,Delek Group Ltd.,TLV,,Israel
ESLT.TA,Elbit Systems Ltd.,TLV,,Israel
EZCH.TA,EZchip Semiconductor Ltd.,TLV,,Israel
EVGN.TA,Evogene Ltd.,TLV,,Israel
ELTR.TA,Electra Ltd,TLV,,Israel
AVNR-L.TA,Avner Oil Exploration - Limited Partnership,TLV,,Israel
FRUT.TA,Frutarom Industries Ltd.,TLV,,Israel
JOEL.TA,J.O.E.L. Jerusalem Oil Exploration Ltd.,TLV,,Israel
JBKT.TA,Jobookit Holdings Ltd.,TLV,,Israel
JBNK.TA,Bank of Jerusalem Ltd.,TLV,,Israel
KMDA.TA,Kamada Ltd.,TLV,,Israel
KTOV.TA,Kitov Pharmaceuticals Holdings Ltd.,TLV,,Israel
KRUR.TA,Kerur Holdings Ltd.,TLV,,Israel
KNFM.TA,Knafaim Holdings Ltd.,TLV,,Israel
KETR.TA,Keter Publishing House Ltd.,TLV,,Israel
TEVA.TA,Teva Pharmaceutical Industries Limited,TLV,,Israel
SCIX.TA,"Scailex Corp., Ltd.",TLV,,Israel
ICL.TA,Israel Chemicals Ltd.,TLV,,Israel
BLRX.TA,BioLine Rx Ltd,TLV,,Israel
UNON.TA,Union Bank of Israel Ltd.,TLV,,Israel
MZTF.TA,Mizrahi Tefahot Bank Ltd.,TLV,,Israel
MZOR.TA,Mazor Robotics Ltd.,TLV,,Israel
NFTA.TA,Naphtha Israel Petroleum Corp. Ltd.,TLV,,Israel
SPNS.TA,Sapiens International Corporation N.V.,TLV,,Israel
NVMI.TA,Nova Measuring Instruments Ltd.,TLV,,Israel
NTO.TA,Neto M.E Holdings Ltd.,TLV,,Israel
NISA.TA,Nissan Medical Industries Ltd.,TLV,,Israel
NFEX-L.TA,Naphtha Exploration LP,TLV,,Israel
ORL.TA,Oil Refineries Ltd.,TLV,,Israel
ORAD.TA,Orad Ltd.,TLV,,Israel
GIVO-L.TA,GIVOT OLAM OIL EXP ILS1,TLV,,Israel
QNCO.TA,Y.Z. Queenco Ltd.,TLV,,Israel
QLTU.TA,Qualitau Ltd.,TLV,,Israel
RMLI.TA,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,TLV,,Israel
PLX.TA,"Protalix BioTherapeutics, Inc.",TLV,,Israel
MNKD.TA,MannKind Corporation,TLV,,Israel
LPSN.TA,"LivePerson, Inc.",TLV,,Israel
DRCN.TA,U. Dori Construction Ltd.,TLV,,Israel
VISN.TA,Vision Sigma Ltd.,TLV,,Israel
VILR.TA,Villar International Ltd.,TLV,,Israel
VTNA.TA,Vitania Ltd.,TLV,,Israel
WTS.TA,B.H. Whitestone Group Ltd.,TLV,,Israel
WIZP.TA,Wize Pharma Ltd,TLV,,Israel
XENA.TA,Xenia Venture Capital Ltd,TLV,,Israel
XTLB.TA,XTL Biopharmaceuticals Ltd.,TLV,,Israel
KRYT.TA,Kardan Yazamut (2011) Ltd.,TLV,,Israel
YBOX.TA,Ybox Real Estate Ltd.,TLV,,Israel
SEFA.TA,Shefa Yamim Ltd.,TLV,,Israel
SRFT.TA,Zvi Sarfati & Sons Investments & Constructions Ltd.,TLV,,Israel
ZNKL.TA,Zanlakol Ltd,TLV,,Israel
ZRAH-L.TA,ZERAH OIL & GAZ ILS1,TLV,,Israel
ZMH.TA,Zemach Hammerman Ltd.,TLV,,Israel
ZUR.TA,Zur Shamir Holdings Ltd.,TLV,,Israel
ABTR.TA,Abetrans Logistics Ltd,TLV,,Israel
ABIL.TA,Ability Inc.,TLV,,Israel
ALD.TA,A.L.D. Advanced Logistics Developments Ltd.,TLV,,Israel
ADO.TA,A.D.O. Group Ltd.,TLV,,Israel
ADN.TA,A.D.N Global Equity Ltd.,TLV,,Israel
ADGR.TA,Adgar Investments and Development Limited,TLV,,Israel
AFIL.TA,Africa-Israel Investments Ltd,TLV,,Israel
AFRE.TA,Africa Israel Residences Ltd.,TLV,,Israel
AFPR.TA,Africa Israel Properties Ltd,TLV,,Israel
AFHL.TA,AFCON Holdings Ltd.,TLV,,Israel
APIO.TA,Apio Africa Ltd,TLV,,Israel
AFID.TA,Africa Israel Industries Ltd.,TLV,,Israel
BRMG.TA,Brimag Digital Age Ltd.,TLV,,Israel
ELAL.TA,El Al Israel Airlines Ltd,TLV,,Israel
MAXM.TA,Maxima Air Separation Center Ltd.,TLV,,Israel
BSI.TA,Alon Blue Square Israel Ltd,TLV,,Israel
ALBA.TA,Albaad Massuot Yitzhak Ltd.,TLV,,Israel
ALVR.TA,Alvarion Ltd.,TLV,,Israel
ALGS.TA,Alon Natural Gas Exploration Ltd.,TLV,,Israel
ALMD.TA,Allium Medical Solutions Ltd.,TLV,,Israel
ALLT.TA,Allot Communications Ltd.,TLV,,Israel
ALRPR.TA,Alrov Properties and Lodgings Ltd.,TLV,,Israel
ALHE.TA,Alony-Hetz Properties & Investments Ltd,TLV,,Israel
ALMO.TA,"Algomizer, Ltd.",TLV,,Israel
AMRK.TA,Amir Marketing and Investments in Agriculture Ltd.,TLV,,Israel
AMOT.TA,Amot Investment Ltd,TLV,,Israel
AMAN.TA,Amanet Management & Systems Ltd.,TLV,,Israel
AMS.TA,AMS Electronics Ltd.,TLV,,Israel
AMNS.TA,Amnis Therapeutics Ltd,TLV,,Israel
AMNS-R5.TA,AMNIS RTS 3.3.16,TLV,,Israel
ANLT.TA,Analyst I.M.S. Investment Management Services Ltd,TLV,,Israel
KARE.TA,Kardan Real Estate Enterprise and Development Ltd.,TLV,,Israel
NSEL.TA,Nisko Electricity and Electronics Ltd.,TLV,,Israel
MGDL.TA,Migdal Insurance and Financial Holdings Ltd.,TLV,,Israel
ANGL.TA,Salomon A. Angel Ltd.,TLV,,Israel
ENRS.TA,Engel Resources and Development Ltd.,TLV,,Israel
AOC.TA,A-Online Capital (A.O.C) Ltd,TLV,,Israel
APLY.TA,Apply Advanced Mobile Technologies Ltd,TLV,,Israel
APOS.TA,Aposense Ltd.,TLV,,Israel
ARYT.TA,Aryt Industries Ltd.,TLV,,Israel
ARNA.TA,Arena Star Group Ltd.,TLV,,Israel
ARKO.TA,Arko Holdings Ltd.,TLV,,Israel
ARPT.TA,Airport City Ltd.,TLV,,Israel
ARD.TA,Arad Ltd.,TLV,,Israel
ARAN.TA,Aran Research & Development (1982) Ltd.,TLV,,Israel
ARAD.TA,Arad Investment & Industrial Development Ltd.,TLV,,Israel
ARGM.TA,Argaman Industries Ltd.,TLV,,Israel
ARZM.TA,ARZM.TA,TLV,,Israel
ASPR.TA,Ashtrom Properties Ltd.,TLV,,Israel
SVAS.TA,SOVEREIGN ASSETTS,TLV,,Israel
ASHO.TA,Ashot Ashkelon Industries Ltd.,TLV,,Israel
ASGR.TA,Aspen Group Ltd.,TLV,,Israel
ASHG.TA,Ashtrom Group Ltd.,TLV,,Israel
ASRR.TA,ASRR Capital Ltd,TLV,,Israel
ASDR.TA,Ashdar Building Company Ltd.,TLV,,Israel
AURA.TA,Aura Investments Ltd.,TLV,,Israel
AVGL.TA,Avgol Industries 1953 Ltd,TLV,,Israel
AVER.TA,Averbuch Formica Center Ltd.,TLV,,Israel
AVLN.TA,Aviv Arlon Ltd.,TLV,,Israel
AVRT-M.TA,Avrot Industries Ltd.,TLV,,Israel
AVIA.TA,Aviation Links Ltd.,TLV,,Israel
AVIV.TA,Mordechai Aviv Taasiot Beniyah (1973) Ltd.,TLV,,Israel
AYAL-L.TA,AYALON HOLDINGS ILS1,TLV,,Israel
AZRG.TA,Azrieli Group Ltd,TLV,,Israel
AZRM.TA,Azorim Investment Development & Construction Co. Ltd.,TLV,,Israel
BRAN.TA,Baran Group Ltd,TLV,,Israel
BBYL.TA,Babylon Ltd.,TLV,,Israel
LUMI.TA,Bank Leumi le- Israel B.M,TLV,,Israel
BCOM.TA,B Communications Ltd,TLV,,Israel
BCNV.TA,Brack Capital Properties N.V.,TLV,,Israel
BEZQ.TA,Bezeq The Israel Telecommunication Corporation Limited,TLV,,Israel
BNTM-L.TA,BNTM-L.TA,TLV,,Israel
BGI.TA,B.G.I. Investments (1961) Ltd,TLV,,Israel
RDHL.TA,RedHill Biopharma Ltd.,TLV,,Israel
CBI.TA,Clal Biotechnology Industries Ltd.,TLV,,Israel
BIRM-L.TA,Birman Wood & Hardware Ltd,TLV,,Israel
NAVB.TA,"Navidea Biopharmaceuticals, Inc",TLV,,Israel
BVXV.TA,BiondVax Pharmaceuticals Ltd.,TLV,,Israel
BIOV.TA,BioView Ltd.,TLV,,Israel
BTX.TA,"BioTime, Inc.",TLV,,Israel
THXBY.TA,Therapix Biosciences Ltd.,TLV,,Israel
GLTN.TA,GLTN.TA,TLV,,Israel
BIG.TA,BIG Shopping Centers Ltd,TLV,,Israel
VAXL-M.TA,VAXIL BIO LTD ILS1,TLV,,Israel
DNA.TA,D.N.A Biomedical Solutions Ltd.,TLV,,Israel
BNIN.TA,BNIN.TA,TLV,,Israel
BICL.TA,BioCancell Ltd.,TLV,,Israel
BONS.TA,Bonus BioGroup Ltd.,TLV,,Israel
CANF.TA,Can-Fite BioPharma Ltd.,TLV,,Israel
BOLT.TA,BioLight Life Sciences Ltd.,TLV,,Israel
HDST.TA,"Hadasit Bio-Holdings, Ltd.",TLV,,Israel
BLSR.TA,Blue Square Real Estate Ltd.,TLV,,Israel
PROB-L.TA,PROB-L.TA,TLV,,Israel
BMDX.TA,Biomedix Incubator Ltd,TLV,,Israel
BOTI-L.TA,BONEI HATICHON CIV ILS1,TLV,,Israel
BRIL.TA,Brill Shoe Industries Ltd.,TLV,,Israel
BRIN.TA,Brainsway Ltd.,TLV,,Israel
DUNI.TA,Duniec Bros. Ltd.,TLV,,Israel
BSP.TA,BSP - Biological Signal Processing Ltd.,TLV,,Israel
