ID,Sample,T,SE_T,D47,SE_D47,Dataset,Tcorrel_1,Tcorrel_2,Tcorrel_3,Tcorrel_4,Tcorrel_5,Tcorrel_6,Tcorrel_7,D47correl_1,D47correl_2,D47correl_3,D47correl_4,D47correl_5,D47correl_6,D47correl_7
1,Ad,-1.80,0.50,0.6893,0.0060,Huyghe et al. (2022) marine bivalves,1,0,0,0,0,0,0,1,0.048049,0.028770,0.544016,0.093188,0.020880,0.471516
2,BDV-S,18.70,0.75,0.6121,0.0049,Huyghe et al. (2022) marine bivalves,0,1,0,0,0,0,0,0.048049,1,0.650474,0.053281,0.011132,0.002494,0.050651
3,BDV-W,11.01,1.00,0.6349,0.0052,Huyghe et al. (2022) marine bivalves,0,0,1,0,0,0,0,0.028770,0.650474,1,0.031903,0.006666,0.001494,0.030328
4,PY,13.44,0.06,0.6397,0.0049,Huyghe et al. (2022) marine bivalves,0,0,0,1,0,0,0,0.544016,0.053281,0.031903,1,0.104392,0.023391,0.513257
5,TES-S,22.50,2.10,0.5972,0.0053,Huyghe et al. (2022) marine bivalves,0,0,0,0,1,0,0,0.093188,0.011132,0.006666,0.104392,1,0.275629,0.100150
6,TES-W,12.23,1.00,0.6329,0.0102,Huyghe et al. (2022) marine bivalves,0,0,0,0,0,1,0,0.020880,0.002494,0.001494,0.023391,0.275629,1,0.022440
7,TW,26.80,0.85,0.6001,0.0048,Huyghe et al. (2022) marine bivalves,0,0,0,0,0,0,1,0.471516,0.050651,0.030328,0.513257,0.100150,0.022440,1
