Session,UID,Sample,SampleMass,ColdFingerPressure,d45,d46,d47,sd47,d48,d49
2017-09,E722,ETH-1,2.05,100.3,5.411341,2.989910,7.878832,0.011449,5.757694,-0.553620
2017-09,E725,ETH-3,2.15,100.9,5.130136,3.389180,8.330842,0.009959,6.880181,-0.053218
2017-09,E730,ETH-2,2.16,104.3,-6.386433,-13.267642,-20.057829,0.007359,-26.504047,-0.485426
2017-09,E737,ETH-3,2.25,107.8,5.143842,3.398914,8.331172,0.009777,6.619780,-0.205297
2017-09,E738,ETH-1,2.10,98.6,5.401891,2.973894,7.839788,0.009025,5.757188,-0.072306
2017-09,E741,ETH-3,2.11,101.5,5.111031,3.281491,8.189723,0.009658,6.425261,0.026606
2017-09,E742,BDV-7E,2.40,120.6,2.354688,4.195525,6.260893,0.008860,8.320787,-0.417879
2017-09,E743,BDV-7H,2.13,100.3,2.200829,5.700616,7.592392,0.009331,11.326059,-0.590789
2017-09,E744,BDV-3E,2.16,103.9,2.886150,4.245202,6.830260,0.009697,8.454106,-0.038037
2017-09,E746,ETH-2,2.04,100.1,-6.383239,-13.218849,-20.018116,0.010222,-26.302191,0.257034
2017-09,E747,BDV-3H,2.01,97.6,2.538925,6.510397,8.735027,0.010538,12.989902,0.313903
2017-09,E748,BDV-2E,2.03,87.6,2.941751,4.407892,7.080972,0.009166,8.785366,-0.393833
2017-09,E749,BDV-2H,2.01,96.2,2.884018,6.051487,8.643284,0.009800,11.955855,0.531304
2017-09,E754,ETH-1,2.02,98.5,5.420640,3.035197,7.946783,0.009022,5.906806,-0.008081
2017-09,E755,BDV-5H,2.03,95.8,2.557484,6.312758,8.557880,0.009818,12.433523,0.156603
2017-09,E756,BDV-5E,2.06,91.2,2.393665,4.437034,6.518896,0.009589,8.791952,0.265077
2017-09,E758,ETH-3,2.18,100.0,5.118539,3.322820,8.262969,0.009380,6.574326,0.505019
2017-09,E760,BDV-6H,2.08,98.2,2.423507,6.090177,8.214792,0.009660,11.891117,-0.101371
2017-09,E761,BDV-6E,2.00,93.7,2.479370,4.397866,6.604315,0.009853,8.684893,-0.972017
2017-09,E763,ETH-1,2.20,108.4,5.403541,2.998108,7.908578,0.010156,5.659358,0.454104
2017-09,E764,BDV-2H,2.05,94.0,2.839892,6.134288,8.687043,0.008499,12.059996,0.331413
2017-09,E765,BDV-5H,2.09,102.5,2.514411,6.197634,8.413250,0.009394,12.320014,-0.063624
2017-09,E766,BDV-5E,2.00,95.1,2.395266,4.351312,6.466771,0.009513,8.726034,-0.558184
2017-09,E767,BDV-6E,2.00,94.8,2.483221,4.455927,6.658924,0.010535,8.811766,-0.341450
2017-09,E768,ETH-3,2.09,76.1,5.100715,3.233954,8.143391,0.011042,6.470467,-0.344126
2017-09,E769,BDV-6H,2.10,100.1,2.400993,6.151489,8.255953,0.009796,12.288294,-0.231227
2017-09,E770,BDV-2E,2.08,96.9,2.842564,4.234145,6.804664,0.009142,8.212318,0.046430
2017-09,E771,BDV-7E,2.04,91.2,2.384634,4.216395,6.316151,0.009703,8.359379,-0.278383
2017-09,E772,BDV-7H,2.17,109.3,2.251203,5.880004,7.797675,0.009987,11.413260,0.348011
2017-09,E773,BDV-3H,2.10,87.6,2.496115,6.369812,8.562572,0.009032,12.651140,0.366403
2017-09,E774,ETH-3,2.10,87.1,5.108550,3.293309,8.215608,0.009763,6.403928,-0.297195
2017-09,E775,BDV-7H,2.06,79.7,2.264408,5.717912,7.674117,0.009854,11.372378,-0.150842
2017-09,E776,BDV-2E,2.12,90.8,2.840394,4.214750,6.761794,0.010183,8.377501,-0.751917
2017-09,E777,BDV-2H,2.00,88.5,2.794134,5.975739,8.505510,0.009441,11.779347,0.300039
2017-09,E778,ETH-2,2.08,101.6,-6.482829,-13.424524,-20.317550,0.009832,-26.848064,-0.678196
2017-09,E779,BDV-7E,2.11,97.4,2.393067,4.356157,6.474346,0.008912,8.490527,-0.335059
2017-09,E780,ETH-1,2.09,83.1,5.401296,2.947965,7.820430,0.010171,5.837085,-0.216309
2017-09,E781,BDV-7H,2.08,65.8,2.276126,5.772534,7.732818,0.011870,11.653682,-1.004900
2017-09,E782,BDV-3E,2.03,83.0,2.936214,4.312910,6.977435,0.009697,8.480953,-0.261420
2017-09,E783,BDV-3H,2.16,99.9,2.507398,6.489112,8.694347,0.009398,13.068709,0.340924
2017-09,E784,ETH-3,2.15,109.7,5.118708,3.276057,8.220193,0.008960,6.280277,-0.258147
2017-09,E785,BDV-2E,2.01,91.5,2.850065,4.239463,6.817804,0.009828,8.492497,0.228364
2017-09,E786,BDV-2H,2.05,97.9,2.807290,6.013467,8.529323,0.010712,12.109964,0.113739
2017-09,E787,ETH-3,2.15,103.6,5.152817,3.319248,8.303446,0.009245,6.484494,0.411313
2017-09,E788,BDV-7E,2.11,90.5,2.394377,4.276937,6.379648,0.010314,8.512263,-0.086635
2017-09,E789,BDV-3E,2.02,97.5,2.951728,4.320828,6.995273,0.009899,8.629201,0.671534
2017-09,E790,BDV-3H,2.16,100.3,2.559365,6.488147,8.734455,0.010039,12.950187,0.763320
2017-09,E791,ETH-2,2.15,104.9,-6.445121,-13.359511,-20.205288,0.010234,-26.561062,-0.193929
2017-09,E792,BDV-5H,2.11,100.9,2.498854,6.163294,8.361175,0.009234,12.163378,-0.249700
2017-09,E793,BDV-5E,2.17,97.4,2.346901,4.275382,6.340121,0.009198,8.570717,-0.076779
2017-09,E794,BDV-6E,2.00,97.2,2.485333,4.387280,6.592643,0.008868,8.795071,0.511376
2017-09,E795,ETH-3,2.00,99.6,5.156615,3.488662,8.447962,0.009310,6.816570,1.136603
2017-09,E796,BDV-6H,2.14,101.5,2.415458,6.319694,8.434322,0.009290,12.745965,0.113507
2017-09,E797,BDV-5H,2.09,98.8,2.438557,6.065433,8.210669,0.010938,12.124170,0.453064
