UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
C222,2015-05,ETH-1,-3.725,25.192,5.781279,11.519361,16.502113,22.354335,1.385919,2.043438,37.073555,-0.840102,-0.798542,-26.897124,0.175907
C224,2015-05,ETH-1,-3.725,25.192,5.794897,11.515767,16.556689,22.102509,0.751074,2.058161,37.069812,-0.796923,-1.037566,-27.521279,0.227629
C225,2015-05,ETH-2,-3.725,25.192,-6.192956,-5.159425,-12.115582,-10.399161,0.758405,-10.169232,19.879110,-0.694714,-0.108101,17.698183,0.202816
C226,2015-05,ETH-3,-3.725,25.192,5.329278,11.709696,16.626707,22.784069,0.672592,1.552135,37.271152,-0.439065,-0.754630,-27.484055,0.654342
C227,2015-05,ETH-4,-3.725,25.192,-6.232232,-5.278805,-12.066442,-10.517725,-1.551916,-10.206881,19.755931,-0.486338,0.012088,15.630997,0.451327
C238,2015-05,ETH-3,-3.725,25.192,5.413804,11.830304,16.799325,23.033912,0.103113,1.638256,37.395492,-0.473203,-0.748797,-28.352222,0.614552
C239,2015-05,ETH-4,-3.725,25.192,-6.263902,-5.313810,-12.130734,-10.907333,-0.390325,-10.239513,19.719858,-0.483941,-0.311308,16.917436,0.453855
C249,2015-05,ETH-1,-3.725,25.192,5.784096,11.523056,16.533099,22.131911,0.175179,2.046320,37.077364,-0.816121,-1.023227,-28.083545,0.204637
C251,2015-05,ETH-3,-3.725,25.192,5.481315,11.871604,16.904861,23.218850,0.708924,1.709068,37.437980,-0.478812,-0.649740,-27.911184,0.608409
C252,2015-05,ETH-4,-3.725,25.192,-6.264466,-5.344076,-12.168734,-10.702235,0.390235,-10.238993,19.688607,-0.491904,-0.043160,17.772979,0.444173
C256,2015-05,MD88-770_bullo250,-3.725,25.192,4.566467,15.986971,20.023865,31.293458,0.416296,0.577401,41.689621,-0.467710,-0.906821,-34.979822,0.637583
C257,2015-05,MD00-2360_ruber250,-3.725,25.192,4.859390,12.038406,16.406648,23.414580,0.228834,1.036570,37.611676,-0.492613,-0.788039,-28.051571,0.589420
C260,2015-05,ETH-3,-3.725,25.192,5.507557,11.943907,16.992024,23.289230,0.463052,1.734521,37.512578,-0.490271,-0.723813,-28.313498,0.595202
C261,2015-05,SU90-03_bullo250,-3.725,25.192,3.908717,15.439944,18.803621,30.121036,0.678594,-0.107220,41.126308,-0.459476,-0.967134,-33.029914,0.641153
C262,2015-05,MD95-2014_bullo250,-3.725,25.192,3.629624,15.317526,18.403040,29.951089,1.121500,-0.401748,41.000555,-0.447343,-0.891071,-32.085902,0.653561
C263,2015-05,MD88-770_bullo250,-3.725,25.192,4.580063,16.028273,20.093137,31.321383,0.860726,0.590449,41.732237,-0.453735,-0.960996,-34.642158,0.654586
C266,2015-05,MD88-770_bullo250,-3.725,25.192,4.610922,16.018978,20.117687,31.368270,0.665624,0.623854,41.722567,-0.452368,-0.897296,-34.844590,0.656340
C267,2015-05,MD00-2360_ruber250,-3.725,25.192,4.827513,12.025833,16.355777,23.316880,0.339155,1.002879,37.598768,-0.497719,-0.858604,-27.887774,0.583076
C268,2015-05,SU90-03_bullo250,-3.725,25.192,3.626045,15.244428,18.317822,29.776837,0.051966,-0.402894,40.925083,-0.456559,-0.916252,-32.979486,0.642145
C269,2015-05,ETH-3,-3.725,25.192,5.472487,11.825613,16.851467,23.110536,0.230577,1.701304,37.390511,-0.477575,-0.664687,-28.279970,0.609610
C272,2015-05,ETH-3,-3.725,25.192,5.501077,11.926981,16.993537,23.463031,-0.304962,1.728202,37.495116,-0.465702,-0.520656,-29.020839,0.624482
C273,2015-05,MD95-2014_bullo250,-3.725,25.192,3.874812,15.432323,18.759069,30.385019,0.691015,-0.143267,41.118519,-0.460982,-0.696119,-32.968839,0.639132
