Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
2020-09c,19,10,-3.809,35.164,0.0032,0.0247,0.0092,0.918 ± 0.010,0.047 ± 0.132,-0.885 ± 0.005
2020-09d,22,10,-3.811,35.115,0.0050,0.0456,0.0076,0.924 ± 0.009,0.043 ± 0.124,-0.888 ± 0.004
2020-10a,35,16,-3.802,35.155,0.0072,0.0565,0.0089,0.921 ± 0.008,0.034 ± 0.100,-0.888 ± 0.004
