H (A/m)	M (A/m)
3978873.5751313814	1127934.2037478588
3952347.751297172	1127932.9832284288
3925821.9274629634	1127931.7505280084
3899296.103628754	1127930.5055450064
3872770.279794545	1127929.248126017
3846244.4559603357	1127927.9781045434
3819718.632126127	1127926.6953113165
3793192.808291918	1127925.3995742053
3766666.9844577084	1127924.090713616
3740141.160623499	1127922.7685604885
3713615.3367892904	1127921.432929351
3687089.512955081	1127920.0836360464
3660563.689120872	1127918.7204882582
3634037.8652866627	1127917.3433052986
3607512.041452454	1127915.951888478
3580986.2176182447	1127914.5460357836
3554460.3937840355	1127913.1255560555
3527934.569949826	1127911.6902404784
3501408.7461156175	1127910.2398770773
3474882.922281408	1127908.7742628816
3448357.098447199	1127907.2931786338
3421831.27461299	1127905.7964022823
3395305.450778781	1127904.283717197
3368779.6269445717	1127902.754893541
3342253.8031103625	1127901.209700445
3315727.9792761537	1127899.6479029101
3289202.1554419445	1127898.0692616927
3262676.3316077353	1127896.4735332043
3236150.507773526	1127894.8604694472
3209624.6839393172	1127893.2298165571
3183098.8601051085	1127891.581319995
3156573.0362708988	1127889.914716572
3130047.2124366895	1127888.2297395708
3103521.3886024808	1127886.5261173423
3076995.564768272	1127884.8035731646
3050469.7409340623	1127883.0618251762
3023943.917099853	1127881.3005862124
2997418.0932656443	1127879.5195637331
2970892.269431435	1127877.7184596546
2944366.445597226	1127875.8969702597
2917840.621763017	1127874.0547860095
2891314.797928808	1127872.191593864
2864788.9740945986	1127870.3070678369
2838263.15026039	1127868.4008824758
2811737.3264261805	1127866.4727038245
2785211.5025919713	1127864.522191427
2758685.678757762	1127862.548998222
2732159.854923553	1127860.5527703306
2705634.031089344	1127858.5331469697
2679108.207255135	1127856.4897602045
2652582.383420926	1127854.4222353199
2626056.5595867164	1127852.3301887473
2599530.7357525076	1127850.2132306402
2573004.911918299	1127848.0709629182
2546479.088084089	1127845.902979481
2519953.26424988	1127843.7088660202
2493427.440415671	1127841.4881998529
2466901.616581462	1127839.2405496538
2440375.792747252	1127836.9654753243
2413849.9689130434	1127834.6625277002
2387324.1450788346	1127832.3312483677
2360798.3212446254	1127829.9711694247
2334272.497410416	1127827.5818158768
2307746.6735762074	1127825.162694981
2281220.849741998	1127822.7133114368
2254695.025907789	1127820.2331569337
2228169.2020735797	1127817.721712445
2201643.378239371	1127815.1784478717
2175117.5544051616	1127812.6028218612
2148591.7305709524	1127809.9942814196
2122065.906736743	1127807.3522617084
2095540.0829025342	1127804.6761856182
2069014.2590683252	1127801.965463564
2042488.4352341164	1127799.2194930643
2015962.611399907	1127796.4376636741
1989436.7875656977	1127793.6193360263
1962910.963731489	1127790.763872028
1936385.1398972794	1127787.870614292
1909859.31606307	1127784.938890801
1883333.4922288612	1127781.968014473
1856807.6683946522	1127778.95728278
1830281.8445604432	1127775.9059772757
1803756.020726234	1127772.81336326
1777230.196892025	1127769.6786972082
1750704.3730578157	1127766.5011946934
1724178.5492236067	1127763.2800769848
1697652.7253893975	1127760.0145394758
1671126.9015551885	1127756.7037588162
1644601.0777209792	1127753.3468924686
1618075.2538867702	1127749.9430780513
1591549.430052561	1127746.4914328821
1565023.6062183513	1127742.991053396
1538497.7823841427	1127739.4410258774
1511971.9585499333	1127735.8403806344
1485446.1347157238	1127732.1881586185
1458920.3108815148	1127728.4833663784
1432394.4870473053	1127724.7249862535
1405868.663213096	1127720.9119758403
1379342.8393788866	1127717.0432670736
1352817.0155446772	1127713.117778871
1326291.1917104684	1127709.1343636957
1299765.367876259	1127705.0918849304
1273239.5440420494	1127700.9891643582
1246713.7202078402	1127696.8249941536
1220187.8963736307	1127692.5981358949
1193662.0725394217	1127688.3073197016
1167136.2487052123	1127683.951239232
1140610.424871003	1127679.528566915
1114084.6010367938	1127675.0379278937
1087558.7772025845	1127670.477916575
1061032.9533683753	1127665.8470901947
1034507.129534166	1127661.1439682236
1007981.3056999566	1127656.367031461
981455.4818657474	1127651.5147196548
954929.658031538	1127646.5854315301
928403.8341973288	1127641.577522377
901878.0103631194	1127636.4893035546
875352.1865289103	1127631.319040158
848826.3626947008	1127626.0649503658
822300.5388604916	1127620.7252032328
795774.7150262822	1127615.2979173423
769248.8911920731	1127609.7811591981
742723.0673578638	1127604.172939616
716197.2435236546	1127598.4712186223
689671.4196894455	1127592.6738919134
663145.5958552363	1127586.778800857
636619.772021027	1127580.7837213709
610093.9481868178	1127574.6863675306
583568.1243526087	1127568.48438739
557042.3005183995	1127562.1753594326
530516.4766841902	1127555.7567922568
503990.65284998104	1127549.2261204892
477464.82901577186	1127542.5807029651
450939.0051815626	1127535.8178200994
424413.18134735344	1127528.9346701684
397887.35751314426	1127521.9283673996
371361.53367893497	1127514.79593809
344835.70984472585	1127507.534317897
318309.8860105166	1127500.1403479239
291784.0621763074	1127492.610771631
265258.2383420982	1127484.94223105
238732.414507889	1127477.1312628319
212206.5906736798	1127469.1742942848
185680.76683947057	1127461.0676393977
159154.9430052614	1127452.8074936946
132629.1191710522	1127444.3899307635
106103.29533684293	1127435.8108966954
79577.47150263375	1127427.0662050105
53051.64766842457	1127418.151532124
26525.82383421531	1127409.0624108808
6.1733682846189024e-09	1127399.7942251803
-26525.823834202976	1127390.3422046811
-53051.64766841223	1127380.7014167586
-79577.47150262143	1127370.866762065
-106103.2953368306	1127360.8329654234
-132629.11917103978	1127350.5945698214
-159154.94300524905	1127340.1459282057
-185680.76683945823	1127329.4811955555
-212206.5906736675	1127318.5943210456
-238732.4145078767	1127307.4790385584
-265258.23834208585	1127296.1288565712
-291784.06217629503	1127284.5370491515
-318309.8860105043	1127272.6966467113
-344835.7098447135	1127260.6004228157
-371361.5336789227	1127248.240884799
-397887.3575131319	1127235.6102587648
-424413.18134734116	1127222.700481749
-450939.00518155034	1127209.503183947
-477464.8290157596	1127196.009675822
-503990.65284996876	1127182.2109343277
-530516.476684178	1127168.097585606
-557042.3005183872	1127153.6598892012
-583568.1243525964	1127138.88772035
-610093.9481868056	1127123.7705514084
-636619.7720210148	1127108.2974320508
-663145.595855224	1127092.4569686926
-689671.4196894332	1127076.2373023424
-716197.2435236424	1127059.6260853484
-742723.0673578517	1127042.6104569344
-769248.8911920608	1127025.1770158978
-795774.7150262699	1127007.3117939245
-822300.5388604793	1126989.0002272173
-848826.3626946885	1126970.2271220444
-875352.1865288978	1126950.9766237338
-901878.0103631071	1126931.2321813947
-928403.8341973164	1126910.976507142
-954929.6580315257	1126890.1915405393
-981455.4818657349	1126868.8584028454
-1007981.3056999443	1126846.9573534045
-1034507.1295341535	1126824.4677361837
-1061032.9533683627	1126801.367933401
-1087558.7772025722	1126777.6353106694
-1114084.6010367814	1126753.2461513225
-1140610.424870991	1126728.1755980828
-1167136.2487052	1126702.3975851133
-1193662.0725394094	1126675.8847587106
-1220187.8963736186	1126648.6084084043
-1246713.7202078279	1126620.5383777695
-1273239.5440420373	1126591.642977527
-1299765.3678762466	1126561.8888810382
-1326291.1917104558	1126531.2410272628
-1352817.015544665	1126499.6625155746
-1379342.8393788743	1126467.1144616606
-1405868.6632130835	1126433.5558936042
