Datums;Vārdadienas
01.01.;Laimnesis Solvita Solvija Afra Afrodīte Agunda Agurs Januārija Laimstars Soleda Solita Solveta
02.01.;Indulis Ivo Iva Ivis Induls Īva Ivaise Īve Ivija Īvija Ivika Īvis Ivisa Ivs
03.01.;Miervaldis Miervalda Ringolds Ambrozijs Ammonārija Ammunārija Mežvaldis Mieriņš Miermīlis Miernesis Miervalds Ringla Ringo Rinolds
04.01.;Spodra Ilva Ilvita Amina Amīna Amirans Amirs Blāzma Ilveta Ilvis Spodrīte
05.01.;Sīmanis Zintis Amrita Amunds Anarita Saimona Saimons Seimaņs Semions Semjons Simeons Simions Simons Zintauts Zinturs
06.01.;Spulga Arnita Arams Aranta Arfa Arnīda Arnija Arnika
07.01.;Rota Zigmārs Juliāns Digmārs Džulians Julians Jūlians Jūliāns Sigmars Sigmārs Zigmāra Zigmāris Zigmars
08.01.;Gatis Ivanda Ants Aristarhs Aristida Aristīda Aristids Aristīds Aristons Aristrīds Arjana Arlands Arleta Arlēna Arlijs Arlita Gatiņš Īvande Ivanna Ivase Ivena
09.01.;Kaspars Aksels Alta Aksela Akselis Veiko Vello Velonija
10.01.;Tatjana Dorisa Doreta Dorina Dorita Tanisa Tanita Taņa
11.01.;Smaida Franciska Aruns Arūns Francisks Francišeks Franciška Frančeska Frančiska Františeks Smaidiņa Smaidīte Smaidonis Smaidra Smailis
12.01.;Reinis Reina Reinholds Renāts Anisija Aņisija Aņisja Redženalds Redžinalds Reginalds Regnalds Regnolds Reinhards Reino Reinolds Reinvalds Renalda Renalds Renato Renats Renolds Rinats
13.01.;Harijs Ārijs Āris Aira Airika Airiks Airis Āra Arends Ārends Ārens Aress Ariela Ariels Arigo Arijs Ariko Ariks Āriks Aris Ariss Harija Harina Haris Harita Haritina
14.01.;Roberts Roberta Raitis Raits Robērs Robertīne Roberto Robija Robijs Robina Robins
15.01.;Fēlikss Felicita Asola Aspazija Aspāzija Asunta Atēna Feliciana Feliciāna Felicianna Felicians Felicija Felīcija Felicijana Felicijans Felicjana Felikarmena Felikss Felīsija Filicija
16.01.;Lidija Lida Avija Avita Aviva Āvo Gordejs Līda Lideja Lidita
17.01.;Tenis Dravis Denisa Denise Deniss Denīza Denīze Deņiss Dionisijs Dioniss Dionizijs Radions Rodions Trofims
18.01.;Antons Antis Antonijs Acons Antans Antars Antonio Antuans Antuāns Entonijs Ontons Tonijs
19.01.;Andulis Alnis Alna Alnars Alnors Džeida Džellija Džozelīna
