Sample,UID,Session,d45,d46,d47,d48,d49
CA90,298,2019-05b,3.251,-8.053,-4.983,-16.496,-4.833
CA90,299,2019-05b,3.267,-7.926,-4.9,-16.435,-25.291
CA90,300,2019-05b,3.271,-7.995,-4.887,-15.481,33.705
ETH-1,301,2019-05b,6.572,11.899,17.93,23.222,30.62
ETH-1,302,2019-05b,6.552,11.826,17.897,23.032,-47.912
ETH-3,303,2019-05b,6.261,12.31,18.376,24.155,-47.74
ETH-4,304,2019-05b,-5.501,-4.954,-10.879,-10.368,-63.736
CA90,305,2019-05b,3.254,-8.058,-4.909,-16.39,-59.443
CA90,306,2019-05b,3.252,-8.084,-4.975,-16.616,-55.652
CA90,307,2019-05b,3.247,-8.077,-4.928,-16.537,-36.986
CA90,308,2019-05b,3.255,-8.012,-4.889,-16.121,-47.851
CA90,309,2019-05b,3.274,-8.003,-4.8,-15.893,-2.993
ETH-1,310,2019-05b,6.581,11.881,18.021,23.85,38.687
ETH-2,311,2019-05b,-5.428,-4.869,-10.917,-10.016,-61.334
ETH-3,312,2019-05b,6.264,12.357,18.385,23.696,-63.412
ETH-1,313,2019-05b,6.525,11.838,17.827,22.794,-40.306
ETH-2,314,2019-05b,-5.406,-4.801,-10.824,-10.048,-19.716
ETH-3,315,2019-05b,6.274,12.346,18.461,24.396,12.004
ETH-1,316,2019-05b,6.524,11.875,17.877,22.902,-62.607
ETH-2,317,2019-05b,-5.43,-4.888,-10.894,-10.054,-24.592
ETH-3,318,2019-05b,6.28,12.359,18.482,24.513,-11.823
ETH-4,319,2019-05b,-5.52,-5.024,-10.984,-11.052,-96.561
ETH-1,320,2019-05b,6.538,11.855,17.93,23.887,53.754
ETH-2,321,2019-05b,-5.447,-4.883,-10.953,-10.499,-73.87
ETH-3,322,2019-05b,6.284,12.363,18.442,23.994,16.309
ETH-4,323,2019-05b,-5.532,-4.995,-11.012,-10.862,-105.749
ETH-1,324,2019-05b,6.542,11.899,17.939,23.281,-23.032
ETH-1,422,2019-06a,6.561,11.891,17.988,23.293,-82.458
ETH-2,423,2019-06a,-5.402,-4.785,-10.793,-9.923,-78.26
ETH-3,424,2019-06a,6.285,12.371,18.438,23.944,-78.962
ETH-4,425,2019-06a,-5.503,-4.949,-10.883,-10.414,-80.197
ETH-1,426,2019-06a,6.566,11.925,17.994,22.989,-55.364
ETH-2,427,2019-06a,-5.428,-4.89,-11.003,-10.675,-106.249
ETH-3,428,2019-06a,6.277,12.362,18.453,24.002,-49.406
ETH-4,429,2019-06a,-5.488,-4.947,-10.906,-10.324,-52.757
ETH-1,430,2019-06a,6.541,11.807,17.836,22.754,-57.525
ETH-2,431,2019-06a,-5.4,-4.814,-10.825,-10.063,-32.51
ETH-3,432,2019-06a,6.268,12.309,18.396,24.352,-6.592
ETH-4,433,2019-06a,-5.518,-4.983,-10.964,-10.51,-65.791
ETH-1,434,2019-06a,6.556,11.896,17.909,22.97,-78.27
ETH-2,435,2019-06a,-5.39,-4.825,-10.829,-9.993,-59.003
ETH-3,436,2019-06a,6.299,12.405,18.582,24.761,28.683
ETH-4,437,2019-06a,-5.493,-4.961,-10.925,-10.418,-107.733
ETH-1,438,2019-06a,6.584,11.889,17.975,23.324,-12.605
ETH-3,439,2019-06a,6.281,12.35,18.393,23.568,-76.495
ETH-4,440,2019-06a,-5.524,-4.968,-10.997,-11.132,-134
ETH-1,441,2019-06a,6.572,11.919,17.992,23.518,-17.245
ETH-1,442,2019-06a,6.545,11.833,17.883,22.812,-137.924
ETH-2,443,2019-06a,-5.434,-4.853,-10.912,-10.387,-127.066
ETH-3,444,2019-06a,6.278,12.335,18.4,23.894,-101.177
ETH-4,445,2019-06a,-5.501,-4.938,-10.941,-10.599,-131.623
CA120,446,2019-06a,1.671,-13.887,-12.386,-28.103,-102.753
CA120,447,2019-06a,1.678,-13.858,-12.341,-27.864,-98.929
CA120,448,2019-06a,1.67,-13.893,-12.408,-28.241,-132.237
CA120,449,2019-06a,1.652,-13.961,-12.477,-28.583,-153.313
ETH-1,450,2019-06a,6.574,11.903,17.924,22.809,-62.104
ETH-2,451,2019-06a,-5.398,-4.821,-10.889,-10.37,-92.349
ETH-3,452,2019-06a,6.302,12.47,18.57,24.469,-37.972
ETH-1,453,2019-06a,6.549,11.838,17.862,22.627,-80.873
ETH-2,454,2019-06a,-5.417,-4.84,-10.87,-10.202,-72.52
ETH-3,455,2019-06a,6.274,12.355,18.415,23.732,-89.094
ETH-4,456,2019-06a,-5.485,-4.916,-10.819,-10.128,-55.223
ETH-1,457,2019-06a,6.578,11.902,18.014,23.332,-38.394
ETH-2,458,2019-06a,-5.419,-4.911,-10.967,-10.436,-142.96
ETH-3,459,2019-06a,6.272,12.342,18.444,23.968,-110.616
ETH-4,460,2019-06a,-5.513,-5.009,-10.993,-10.934,-161.414
ETH-1,461,2019-06a,6.562,11.835,17.862,23.134,-54.908
ETH-2,462,2019-06a,-5.426,-4.844,-10.936,-10.271,-127.564
ETH-3,463,2019-06a,6.292,12.369,18.44,24.088,-43.822
ETH-4,464,2019-06a,-5.517,-5.012,-10.955,-10.781,-145.502
ETH-1,465,2019-06a,6.566,11.882,17.969,23.397,-37.437
ETH-1,466,2019-06a,6.554,11.818,17.854,22.655,-271.246
ETH-2,467,2019-06a,-5.432,-4.862,-10.964,-10.616,-178.022
ETH-3,468,2019-06a,6.278,12.338,18.462,24.321,-59.18
ETH-4,469,2019-06a,-5.501,-4.967,-10.9,-10.401,-107.942
CA120,470,2019-06a,1.651,-13.972,-12.482,-28.189,-173.556
CA120,471,2019-06a,1.66,-13.922,-12.411,-28.321,-224.986
CA120,472,2019-06a,1.681,-13.909,-12.315,-27.915,-119.216
CA120,473,2019-06a,1.667,-13.912,-12.418,-28.287,-222.298
CA120,474,2019-06a,1.683,-13.911,-12.364,-27.792,-169.467
ETH-1,475,2019-06a,6.55,11.834,17.887,22.878,-141.487
ETH-2,476,2019-06a,-5.404,-4.838,-10.848,-9.892,-72.021
ETH-4,477,2019-06a,-5.501,-4.999,-10.954,-10.719,-171.421
ETH-1,478,2019-06a,6.547,11.836,17.838,22.973,-108.746
ETH-2,479,2019-06a,-5.403,-4.818,-10.852,-10.102,-80.042
ETH-3,480,2019-06a,6.27,12.327,18.392,24.293,-74.246
ETH-4,481,2019-06a,-5.52,-4.991,-10.957,-10.725,-155.333
CA120,482,2019-06a,1.666,-13.898,-12.412,-28.396,-123.662
CA120,483,2019-06a,1.661,-13.909,-12.39,-28.237,-88.451
CA120,484,2019-06a,1.663,-13.932,-12.423,-28.174,-99.282
CA120,485,2019-06a,1.682,-13.861,-12.353,-28.144,-109.275
CA120,486,2019-06a,1.667,-13.938,-12.474,-28.417,-113.848
ETH-1,487,2019-06a,6.547,11.864,17.904,23.053,-58.005
ETH-2,488,2019-06a,-5.423,-4.882,-10.942,-10.398,-120.923
ETH-3,489,2019-06a,6.286,12.376,18.454,24.355,-33.936
ETH-4,490,2019-06a,-5.521,-5.022,-11.005,-10.907,-126.083
ETH-1,491,2019-06a,6.549,11.808,17.802,22.66,-123.263
ETH-2,492,2019-06a,-5.394,-4.788,-10.776,-10.362,-109.547
ETH-3,493,2019-06a,6.278,12.322,18.369,23.89,-51.553
ETH-4,494,2019-06a,-5.513,-4.977,-10.962,-10.852,-126.992
ETH-1,495,2019-06a,6.564,11.879,17.946,23.091,-49.716
ETH-3,496,2019-06a,6.247,12.272,18.344,23.792,-71.476
ETH-4,497,2019-06a,-5.507,-4.979,-10.952,-10.757,-149.372
ETH-1,498,2019-06a,6.553,11.844,17.867,23.159,-72.033
ETH-2,499,2019-06a,-5.386,-4.83,-10.843,-9.796,-45.549
ETH-3,500,2019-06a,6.257,12.343,18.375,23.949,-87.85
ETH-4,501,2019-06a,-5.507,-5.023,-10.976,-10.521,-95.964
ETH-1,502,2019-06a,6.574,11.863,17.918,23.213,-36.677
ETH-2,503,2019-06a,-5.424,-4.888,-10.941,-10.443,-90.176
ETH-3,504,2019-06a,6.313,12.381,18.499,25.07,56.072
ETH-4,505,2019-06a,-5.509,-4.997,-11.022,-10.781,-88.288
CA120,506,2019-06a,1.663,-13.928,-12.445,-28.378,-106.495
CA120,507,2019-06a,1.66,-13.925,-12.403,-28.287,-103.785
CA120,508,2019-06a,1.674,-13.937,-12.469,-28.521,-100.7
CA120,509,2019-06a,1.668,-13.915,-12.45,-28.498,-121.329
CA120,510,2019-06a,1.667,-13.945,-12.424,-28.464,-100.456
ETH-1,511,2019-06a,6.576,11.923,18.007,23.502,-10.835
ETH-2,512,2019-06a,-5.44,-4.938,-11.039,-10.706,-109.997
ETH-3,513,2019-06a,6.275,12.302,18.394,24.177,-30.884
ETH-4,514,2019-06a,-5.515,-5.023,-10.976,-10.929,-117.789
ETH-1,515,2019-06a,6.544,11.8,17.808,22.68,-75.971
ETH-2,516,2019-06a,-5.419,-4.873,-10.928,-10.615,-77.239
ETH-3,517,2019-06a,6.29,12.309,18.452,24.547,37.416
ETH-4,518,2019-06a,-5.515,-4.988,-10.957,-10.402,-66.165
ETH-1,519,2019-06a,6.556,11.849,17.896,22.932,-54.991
ETH-2,520,2019-06b,-5.425,-4.855,-10.902,-10.335,-122.62
ETH-3,521,2019-06b,6.27,12.318,18.355,24.016,-64.668
ETH-4,522,2019-06b,-5.511,-4.995,-10.969,-10.33,-88.975
ETH-1,523,2019-06b,6.526,11.85,17.879,22.613,-113.671
ETH-2,524,2019-06b,-5.401,-4.851,-10.849,-9.796,-47.754
ETH-3,525,2019-06b,6.275,12.325,18.416,24.206,-18.711
ETH-4,526,2019-06b,-5.494,-4.999,-10.943,-10.56,-51.987
ETH-1,527,2019-06b,6.567,11.818,17.916,23.079,-35.096
ETH-2,528,2019-06b,-5.417,-4.839,-10.924,-10.359,-77.367
ETH-3,529,2019-06b,6.271,12.298,18.325,23.578,-92.973
ETH-4,530,2019-06b,-5.518,-4.988,-10.99,-10.879,-108.846
CA120,531,2019-06b,1.66,-13.939,-12.471,-28.387,-89.721
CA120,532,2019-06b,1.684,-13.884,-12.33,-28.205,-83.174
CA120,533,2019-06b,1.661,-13.961,-12.49,-28.552,-92.968
CA120,534,2019-06b,1.644,-13.941,-12.481,-28.49,-123.448
CA120,535,2019-06b,1.662,-13.957,-12.466,-28.573,-86.877
ETH-1,536,2019-06b,6.548,11.792,17.854,22.92,-43.069
ETH-2,537,2019-06b,-5.423,-4.913,-10.971,-10.552,-91.012
ETH-3,538,2019-06b,6.269,12.329,18.386,24.131,-40.615
ETH-4,539,2019-06b,-5.506,-5.022,-11.012,-10.946,-89.005
ETH-1,540,2019-06b,6.563,11.823,17.855,22.795,-64.684
ETH-2,541,2019-06b,-5.423,-4.838,-10.902,-10.59,-85.091
ETH-3,542,2019-06b,6.285,12.304,18.372,24.433,21.457
ETH-4,543,2019-06b,-5.519,-5.017,-11.001,-10.903,-113.514
ETH-1,544,2019-06b,6.563,11.856,17.901,22.883,-52.778
ETH-2,545,2019-06b,-5.446,-4.875,-10.979,-10.657,-146.766
ETH-3,546,2019-06b,6.272,12.325,18.376,24.059,-74.485
ETH-4,547,2019-06b,-5.512,-5.002,-10.961,-10.661,-107.62
ETH-1,548,2019-06b,6.563,11.894,17.96,23.103,-49.146
ETH-2,549,2019-06b,-5.431,-4.906,-11.015,-10.839,-114.724
ETH-3,550,2019-06b,6.27,12.383,18.458,23.923,-62.732
ETH-4,551,2019-06b,-5.517,-5.027,-11.032,-10.878,-95.187
ETH-1,552,2019-06b,6.569,11.864,17.969,23.038,-57.126
ETH-2,553,2019-06b,-5.419,-4.839,-10.867,-10.338,-60.131
ETH-3,554,2019-06b,6.271,12.347,18.373,23.761,-127.898
ETH-4,555,2019-06b,-5.514,-5.007,-10.971,-10.782,-146.719
ETH-1,556,2019-06b,6.538,11.888,17.943,23.173,-62.536
ETH-2,557,2019-06b,-5.439,-4.897,-11.003,-10.3,-171.504
ETH-3,558,2019-06b,6.289,12.39,18.475,23.975,-100.012
