UID,Session,Sample,SampleMass,ColdFingerPressure,AcidReactionYield,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
H549,2020-09c,ETH-4,3.53,174.3,0.997,-3.809,35.164,-6.510224,-14.807766,-21.632782,-30.150786,0.529172,-10.214470,19.776759,-0.464541,-0.777434,37.491062,0.458832
H550,2020-09c,DVH-2,3.56,178.2,1.011,-3.809,35.164,1.305350,-11.795602,-10.625692,-24.191354,1.089773,-1.974854,22.891336,-0.362134,-0.757028,23.283291,0.569801
H551,2020-09c,LGB-2,3.59,179.4,1.010,-3.809,35.164,3.630665,-0.326395,3.130076,-0.743137,1.486598,0.083038,34.787780,-0.292836,-0.090489,-1.734088,0.644573
H552,2020-09c,ETH-3,3.73,176.5,0.958,-3.809,35.164,5.231634,2.206592,7.268172,4.506534,2.129291,1.699918,37.415108,-0.308510,0.088125,-7.735435,0.627293
H553,2020-09c,ETH-1,3.61,179.4,1.005,-3.809,35.164,5.533536,1.831284,6.815740,3.544963,2.427718,2.036469,37.027767,-0.699107,-0.120480,-7.026903,0.201931
H554,2020-09c,ETH-2,3.57,177.0,1.002,-3.809,35.164,-6.461539,-14.722615,-21.718755,-30.315113,1.552998,-10.165627,19.879451,-0.687816,-1.119412,38.322118,0.215675
H555,2020-09c,ETH-4,3.58,177.8,1.004,-3.809,35.164,-6.514042,-14.830654,-21.680982,-30.303935,0.253211,-10.217694,19.769670,-0.486991,-0.888800,37.256506,0.434384
H556,2020-09c,LGB-2,3.54,176.0,1.004,-3.809,35.164,3.698151,-0.311448,3.213489,-0.692663,2.516539,0.154602,34.814828,-0.293753,-0.069885,-0.808418,0.643570
H557,2020-09c,DVH-2,3.58,179.0,1.010,-3.809,35.164,1.305338,-11.791812,-10.608830,-24.264023,1.895631,-1.975009,22.909798,-0.348854,-0.839106,24.099309,0.584263
H558,2020-09c,ETH-3,3.65,174.9,0.969,-3.809,35.164,5.235717,2.237544,7.288174,4.434026,1.520825,1.703133,37.461216,-0.323202,-0.045830,-8.402385,0.611292
H559,2020-09c,ETH-2,3.59,174.6,0.983,-3.809,35.164,-6.465128,-14.717804,-21.727657,-30.242711,1.709697,-10.169641,19.898715,-0.697983,-1.054587,38.478602,0.204602
H560,2020-09c,ETH-1,3.61,180.3,1.010,-3.809,35.164,5.528167,1.831033,6.825808,3.498680,1.752321,2.030741,37.045414,-0.683362,-0.166092,-7.689794,0.219077
H561,2020-09c,ETH-4,3.60,176.9,0.993,-3.809,35.164,-6.510481,-14.847017,-21.670781,-30.393946,2.165736,-10.213278,19.767299,-0.463943,-0.948354,39.269732,0.459484
H562,2020-09c,DVH-2,3.53,177.5,1.016,-3.809,35.164,1.304589,-11.829430,-10.670723,-24.242815,2.735339,-1.974405,22.882722,-0.373202,-0.741314,25.035125,0.557750
H563,2020-09c,LGB-2,3.53,174.2,0.997,-3.809,35.164,3.629273,-0.316292,3.146493,-0.670458,0.848075,0.081176,34.827149,-0.284978,-0.037976,-2.388896,0.653130
H564,2020-09c,ETH-3,3.74,179.6,0.972,-3.809,35.164,5.225522,2.201135,7.248775,4.320778,2.013313,1.693589,37.437277,-0.316139,-0.085926,-7.833229,0.618986
H565,2020-09c,ETH-1,3.56,177.5,1.007,-3.809,35.164,5.531908,1.821489,6.792903,3.570517,2.484165,2.035093,37.044538,-0.710497,-0.075466,-6.950194,0.189527
H566,2020-09c,ETH-2,3.55,174.9,0.995,-3.809,35.164,-6.468320,-14.763715,-21.770387,-30.319458,0.917539,-10.171337,19.865077,-0.692540,-1.040550,37.755938,0.210533
H567,2020-09c,ETH-4,3.55,176.6,1.005,-3.809,35.164,-6.515690,-14.862529,-21.711818,-30.488517,2.488148,-10.218264,19.762554,-0.484991,-1.014338,39.642057,0.436563
H568,2020-09c,LGB-2,3.55,177.4,1.009,-3.809,35.164,3.602321,-0.297484,3.143738,-0.865490,1.172427,0.051675,34.855056,-0.278519,-0.270749,-2.073929,0.660164
H569,2020-09c,DVH-2,3.53,175.3,1.003,-3.809,35.164,1.302390,-11.848985,-10.695078,-24.307638,1.578535,-1.976024,22.874748,-0.376094,-0.768149,23.894812,0.554600
H570,2020-09c,ETH-3,3.72,178.0,0.969,-3.809,35.164,5.226695,2.195347,7.238831,4.480024,1.852653,1.695056,37.441544,-0.321535,0.084174,-7.982284,0.613110
H571,2020-09c,ETH-2,3.54,174.4,0.995,-3.809,35.164,-6.469292,-14.781356,-21.783226,-30.478967,1.988949,-10.171716,19.852530,-0.687055,-1.169105,38.904418,0.216507
H572,2020-09c,ETH-1,3.52,175.1,1.004,-3.809,35.164,5.525761,1.810754,6.789224,3.427629,2.336545,2.028921,37.044309,-0.697318,-0.196408,-7.069047,0.203880
H573,2020-09c,ETH-4,3.58,177.2,1.000,-3.809,35.164,-6.514356,-14.870724,-21.693647,-30.529361,0.887472,-10.216532,19.763880,-0.459636,-1.039803,37.997539,0.464176
H574,2020-09c,DVH-2,3.54,175.2,1.000,-3.809,35.164,1.296956,-11.871647,-10.714860,-24.408152,-0.095485,-1.980985,22.860634,-0.367946,-0.825260,22.235474,0.563475
H575,2020-09c,LGB-2,3.60,179.4,1.007,-3.809,35.164,3.636530,-0.340571,3.120407,-0.716852,2.263318,0.089833,34.821427,-0.294561,-0.035828,-0.938249,0.642694
H576,2020-09c,ETH-3,3.70,174.9,0.957,-3.809,35.164,5.228513,2.184686,7.228444,4.448176,2.040461,1.697395,37.438627,-0.323254,0.073743,-7.777490,0.611237
H577,2020-09c,ETH-1,3.61,178.4,0.999,-3.809,35.164,5.524030,1.785583,6.760122,3.337710,1.003289,2.028006,37.025102,-0.699744,-0.235764,-8.339012,0.201239
H578,2020-09d,ETH-1,3.59,181.2,1.015,-3.811,35.115,5.537215,1.912355,6.905251,3.658854,0.126586,2.035197,36.997400,-0.693539,-0.168829,-9.467709,0.210107
H579,2020-09d,ETH-2,3.56,178.7,1.006,-3.811,35.115,-6.455487,-14.602548,-21.595634,-30.197747,-0.488478,-10.164965,19.887075,-0.688051,-1.241947,35.950888,0.217376
H580,2020-09d,ETH-3,3.66,178.5,0.989,-3.811,35.115,5.245223,2.318564,7.394992,4.647105,0.024745,1.708115,37.452023,-0.306396,0.004614,-10.050880,0.629062
H581,2020-09d,LGB-2,3.57,179.2,1.007,-3.811,35.115,3.649766,-0.233048,3.252929,-0.646144,0.293070,0.097928,34.815164,-0.281811,-0.180164,-3.126924,0.655862
H582,2020-09d,DVH-2,3.60,178.5,0.999,-3.811,35.115,1.316267,-11.742608,-10.568642,-24.352268,-0.326841,-1.967081,22.875210,-0.368438,-1.028952,21.715734,0.562757
H583,2020-09d,ETH-4,3.55,178.0,1.003,-3.811,35.115,-6.505823,-14.773219,-21.611125,-30.392277,-0.334707,-10.212373,19.753427,-0.481440,-1.096296,36.518954,0.440977
