ticker,name,exchange,category name,country
VBPS.VI,VBPS.VI,VIE,,Austria
CAI.VI,CA Immobilien Anlagen Aktiengesellschaft,VIE,,Austria
ATRS.VI,Atrium European Real Estate Limited,VIE,,Austria
EBS.VI,Erste Group Bank AG,VIE,,Austria
VLA.VI,Valneva SE,VIE,,Austria
VIG.VI,Vienna Insurance Group AG,VIE,,Austria
UQA.VI,UNIQA Insurance Group AG,VIE,,Austria
TEAK.VI,TEAK HOLZ INT. AG,VIE,,Austria
MAN.VI,Josef Manner & Comp. AG,VIE,,Austria
KTCG.VI,Kapsch TrafficCom AG,VIE,,Austria
QCP.VI,QINO CAPITAL PARTNERS AG,VIE,,Austria
VOE.VI,Voestalpine AG,VIE,,Austria
SLBV.VI,Schlumberger Aktiengesellschaft,VIE,,Austria
GAGV.VI,Gurktaler AG,VIE,,Austria
FLU.VI,Flughafen Wien Aktiengesellschaft,VIE,,Austria
SWUT.VI,SW Umwelttechnik Stoiser & Wolschner AG,VIE,,Austria
WIE.VI,Wienerberger AG,VIE,,Austria
ZAG.VI,Zumtobel Group AG,VIE,,Austria
ABE.VI,AB Effectenbeteiligungen AG,VIE,,Austria
AEM.VI,AUSTRIA EMAIL AG,VIE,,Austria
ANDR.VI,Andritz AG,VIE,,Austria
TKA.VI,Telekom Austria Aktiengesellschaft,VIE,,Austria
EVN.VI,EVN AG,VIE,,Austria
ECO.VI,ECO.VI,VIE,,Austria
AGR.VI,AGRANA Beteiligungs-Aktiengesellschaft,VIE,,Austria
KRGS.VI,Kreco Realitaeten AG,VIE,,Austria
BENE.VI,BENE.VI,VIE,,Austria
EAGB.VI,EAG-Beteiligungs Aktiengesellschaft,VIE,,Austria
C8I.VI,C-QUADRAT Investment AG,VIE,,Austria
RHI.VI,RHI AG,VIE,,Austria
WOL.VI,Wolford Aktiengesellschaft,VIE,,Austria
KTM.VI,KTM AG,VIE,,Austria
AGLT.VI,Angel Telecom AG,VIE,,Austria
WPAG.VI,WP AG,VIE,,Austria
UBS.VI,UBM Development AG,VIE,,Austria
VER.VI,VERBUND AG,VIE,,Austria
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,VIE,,Austria
BHD.VI,Burgenland Holding Aktiengesellschaft,VIE,,Austria
SAC.VI,Sanochemia Pharmazeutika AG,VIE,,Austria
POST.VI,Österreichische Post AG,VIE,,Austria
UIV.VI,Unternehmens Invest AG,VIE,,Austria
HTI.VI,HTI High Tech Industries AG,VIE,,Austria
SLBS.VI,Schlumberger Aktiengesellschaft,VIE,,Austria
OTS.VI,Ottakringer Getränke AG,VIE,,Austria
PARS.VI,Pankl Racing Systems AG,VIE,,Austria
BIND.VI,BIND.VI,VIE,,Austria
OBV.VI,Oberbank AG,VIE,,Austria
OBS.VI,Oberbank AG,VIE,,Austria
ROS.VI,Rosenbauer International AG,VIE,,Austria
OMV.VI,OMV Aktiengesellschaft,VIE,,Austria
RBI.VI,Raiffeisen Bank International AG,VIE,,Austria
PYT.VI,Polytec Holding AG,VIE,,Austria
OTV.VI,Ottakringer Getränke AG,VIE,,Austria
SPI.VI,S IMMO AG,VIE,,Austria
POS.VI,PORR AG,VIE,,Austria
LNZ.VI,Lenzing Aktiengesellschaft,VIE,,Austria
AMAG.VI,AMAG Austria Metall AG,VIE,,Austria
STR.VI,Strabag SE,VIE,,Austria
SEM.VI,Semperit Aktiengesellschaft Holding,VIE,,Austria
FKA.VI,Frauenthal Holding AG,VIE,,Austria
DOC.VI,DO & CO Aktiengesellschaft,VIE,,Austria
IPO.VI,NEXXCHANGE AG,VIE,,Austria
HUS.VI,Hutter & Schrantz AG,VIE,,Austria
MTHO.VI,Management Trust Holding AG,VIE,,Austria
IIA.VI,Immofinanz AG,VIE,,Austria
BWT.VI,BWT Aktiengesellschaft,VIE,,Austria
PIAG.VI,PIAG.VI,VIE,,Austria
ATH.VI,Athos Immobilien AG,VIE,,Austria
BET.VI,Betbull Holding SE,VIE,,Austria
FACC.VI,FACC AG,VIE,,Austria
BTS.VI,Bank für Tirol und Vorarlberg Aktiengesellschaft,VIE,,Austria
CWI.VI,Conwert Immobilien Invest SE,VIE,,Austria
PAL.VI,Palfinger AG,VIE,,Austria
HED.VI,Maschinenfabrik HEID AG,VIE,,Austria
AW2.VI,Autobank AG,VIE,,Austria
BKV.VI,BKS Bank AG,VIE,,Austria
UBSE.VI,UBSE.VI,VIE,,Austria
GAGS.VI,Gurktaler AG,VIE,,Austria
CIAG.VI,KTM Industries AG,VIE,,Austria
SGS.VI,SCOTTY GROUP SE,VIE,,Austria
HST.VI,Hutter & Schrantz Stahlbau AG,VIE,,Austria
OBSE.VI,OBSE.VI,VIE,,Austria
WXF.VI,Warimpex Finanz- und Beteiligungs Aktiengesellschaft,VIE,,Austria
SBO.VI,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,VIE,,Austria
HIS.VI,HIRSCH SERVO AG,VIE,,Austria
STM.VI,Stadlauer Malzfabrik Aktiengesellschaft,VIE,,Austria
BWO.VI,BUWOG AG,VIE,,Austria
WPB.VI,Wiener Privatbank SE,VIE,,Austria
OESD.VI,Österreichische Staatsdruckerei Holding AG,VIE,,Austria
PIN.VI,PI Power International Limited,VIE,,Austria
VVPS.VI,Vorarlberger Volksbank registrierte Genossenschaft mit beschränkter Haftung,VIE,,Austria
LTH.VI,Linz Textil Holding Aktiengesellschaft,VIE,,Austria
BKS.VI,BKS Bank AG,VIE,,Austria
RAT.VI,Rath Aktiengesellschaft,VIE,,Austria
BTV.VI,Bank für Tirol und Vorarlberg Aktiengesellschaft,VIE,,Austria
BPTY.VI,BPTY.VI,VIE,,Austria
CRF.VI,CEEREF SA,VIE,,Austria
VLAP.VI,Valneva SE,VIE,,Austria
GVC.VI,GVC Holdings PLC,VIE,,Austria
