ticker,name,exchange,category name,country
TAE-R.BK,Thai Agro Energy Public Company Limited,SET,,Thailand
AGE.BK,Asia Green Energy Public Company Limited,SET,,Thailand
AGE-R.BK,Asia Green Energy Public Company Limited,SET,,Thailand
AHC.BK,Aikchol Hospital Public Company Limited,SET,,Thailand
AH-R.BK,AAPICO Hitech Public Company Limited,SET,,Thailand
AH.BK,AAPICO Hitech Public Company Limited,SET,,Thailand
AHC-R.BK,Aikchol Hospital Public Company Limited,SET,,Thailand
EFORL.BK,E for L Aim Public Company Limited,SET,,Thailand
AIRA-R.BK,AIRA Capital Public Company Limited,SET,,Thailand
AIT-R.BK,Advanced Information Technology Public Company Limited,SET,,Thailand
AIRA.BK,AIRA Capital Public Company Limited,SET,,Thailand
NOK-R.BK,Nok Airlines Public Company Limited,SET,,Thailand
AIE-R.BK,AI Energy Public Company Limited,SET,,Thailand
BA-R.BK,Bangkok Airways Public Company Limited,SET,,Thailand
EFORL-R.BK,E for L Aim Public Company Limited,SET,,Thailand
AIE.BK,AI Energy Public Company Limited,SET,,Thailand
BA.BK,Bangkok Airways Public Company Limited,SET,,Thailand
AI-R.BK,Asian Insulators Public Company Limited,SET,,Thailand
NOK.BK,Nok Airlines Public Company Limited,SET,,Thailand
AI.BK,Asian Insulators Public Company Limited,SET,,Thailand
AIT.BK,Advanced Information Technology Public Company Limited,SET,,Thailand
AJD-R.BK,AJ Advance Technology Public Company Limited,SET,,Thailand
AJ-R.BK,A.J. Plast Public Company Limited,SET,,Thailand
AJ.BK,A.J. Plast Public Company Limited,SET,,Thailand
AKR-R.BK,Ekarat Engineering Public Company Limited,SET,,Thailand
AKP.BK,Akkhie Prakarn Public Company Limited,SET,,Thailand
AKP-R.BK,Akkhie Prakarn Public Company Limited,SET,,Thailand
AKR.BK,Ekarat Engineering Public Company Limited,SET,,Thailand
ALUCON-R.BK,ALUCON Public Company Limited,SET,,Thailand
ALUCON.BK,ALUCON Public Company Limited,SET,,Thailand
AMANAH.BK,Amanah Leasing Public Company Limited,SET,,Thailand
AMARIN.BK,Amarin Printing and Publishing Public Company Limited,SET,,Thailand
AMATAV-R.BK,Amata VN Public Company Limited,SET,,Thailand
AMANAH-R.BK,Amanah Leasing Public Company Limited,SET,,Thailand
AMATA.BK,Amata Corporation Public Company Limited,SET,,Thailand
AMATA-R.BK,Amata Corporation Public Company Limited,SET,,Thailand
AMATAV.BK,Amata VN Public Company Limited,SET,,Thailand
AMATAR.BK,Amata Summit Growth Freehold and Leasehold Real Estate Investment Trust,SET,,Thailand
AMC-R.BK,Asia Metal Public Company Limited,SET,,Thailand
AMC.BK,Asia Metal Public Company Limited,SET,,Thailand
AMARIN-R.BK,Amarin Printing and Publishing Public Company Limited,SET,,Thailand
CTARAF.BK,Centara Hotels and Resorts Leasehold Property Fund,SET,,Thailand
CSS.BK,Communication & System Solution Public Company Limited,SET,,Thailand
HPF.BK,Hemaraj Industrial Property and Leasehold Fund,SET,,Thailand
TREIT.BK,Ticon Freehold & Leasehold Real Estate Investment Trust,SET,,Thailand
ANAN.BK,Ananda Development Public Company Limited,SET,,Thailand
TLGF.BK,Tesco Lotus Retail Growth Freehold and Leasehold Property Fund,SET,,Thailand
TNPF.BK,Trinity Freehold and Leasehold Property Fund,SET,,Thailand
CSS-R.BK,Communication & System Solution Public Company Limited,SET,,Thailand
LHPF.BK,Land and Houses Freehold and Leasehold Property Fund,SET,,Thailand
