ticker,name,exchange,category name,country
TPD1T.TL,AS Trigon Property Development,TAL,,Estonia
OEG1T.TL,Olympic Entertainment Group AS,TAL,,Estonia
EEG1T.TL,AS Ekspress Grupp,TAL,,Estonia
ARC1T.TL,Arco Vara AS,TAL,,Estonia
PKG1T.TL,AS Pro Kapital Grupp,TAL,,Estonia
TVEAT.TL,AS Tallinna Vesi,TAL,,Estonia
TAL1T.TL,AS Tallink Grupp,TAL,,Estonia
LINDA.TL,AS Linda Nektar,TAL,,Estonia
SFG1T.TL,AS Silvano Fashion Group,TAL,,Estonia
PRF1T.TL,AS PRFoods,TAL,,Estonia
TKM1T.TL,Tallinna Kaubamaja Grupp AS,TAL,,Estonia
BLT1T.TL,AS Baltika,TAL,,Estonia
SKN1T.TL,Skano Group AS,TAL,,Estonia
MRK1T.TL,AS Merko Ehitus,TAL,,Estonia
NCN1T.TL,Nordecon AS,TAL,,Estonia
HAE1T.TL,AS Harju Elekter,TAL,,Estonia
