Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,237,2.00,37.00,0.2052,,,0.0326,
ETH-2,253,-10.17,19.88,0.2085,,,0.0346,
ETH-3,248,1.72,37.47,0.6132,,,0.0335,
ETH-4,295,-10.28,19.59,0.4511,,,0.0414,
BSP-1,21,-7.66,29.75,0.6428,0.0084,± 0.0164,0.0270,0.209
DSP-1,11,1.25,33.04,0.6819,0.0117,± 0.0229,0.0361,0.871
GPC-1,21,-11.27,34.51,0.5822,0.0084,± 0.0164,0.0323,0.569
MCP-1,22,-7.63,32.69,0.6133,0.0085,± 0.0166,0.0320,0.738
NAICA-1,17,2.52,26.68,0.5395,0.0089,± 0.0175,0.0377,0.575
OWB-1,21,-11.88,31.85,0.6557,0.0083,± 0.0162,0.0314,0.895
