H (A/m)	M (A/m)
3978873.5751313814	821658.2678106087
3952347.751297172	821657.2232605255
3925821.9274629634	821656.1651668936
3899296.103628754	821655.0932978746
3872770.279794545	821654.0074255089
3846244.4559603357	821652.9073006734
3819718.632126127	821651.7926800597
3793192.808291918	821650.6633000572
3766666.9844577084	821649.5189058486
3740141.160623499	821648.359222714
3713615.3367892904	821647.1839833858
3687089.512955081	821645.9929022338
3660563.689120872	821644.7856975546
3634037.8652866627	821643.562074198
3607512.041452454	821642.3217325979
3580986.2176182447	821641.0643663196
3554460.3937840355	821639.7896618807
3527934.569949826	821638.4972985261
3501408.7461156175	821637.1869467513
3474882.922281408	821635.8582754122
3448357.098447199	821634.5109351284
3421831.27461299	821633.1445761248
3395305.450778781	821631.7588381763
3368779.6269445717	821630.3533524517
3342253.8031103625	821628.9277412922
3315727.9792761537	821627.4816164395
3289202.1554419445	821626.0145847918
3262676.3316077353	821624.5262392671
3236150.507773526	821623.0161639162
3209624.6839393172	821621.4839332441
3183098.8601051085	821619.9291109297
3156573.0362708988	821618.3512496223
3130047.2124366895	821616.7498911505
3103521.3886024808	821615.1245659287
3076995.564768272	821613.4747920972
3050469.7409340623	821611.8000760591
3023943.917099853	821610.0999115187
2997418.0932656443	821608.3737792411
2970892.269431435	821606.621146661
2944366.445597226	821604.8414674769
2917840.621763017	821603.03418118
2891314.797928808	821601.1987126657
2864788.9740945986	821599.3344733983
2838263.15026039	821597.4408543471
2811737.3264261805	821595.517235287
2785211.5025919713	821593.5629778245
2758685.678757762	821591.5774264457
2732159.854923553	821589.5599079867
2705634.031089344	821587.5097310479
2679108.207255135	821585.4261853918
2652582.383420926	821583.3085413176
2626056.5595867164	821581.1560524572
2599530.7357525076	821578.9679415721
2573004.911918299	821576.7434198896
2546479.088084089	821574.4816731991
2519953.26424988	821572.1818643564
2493427.440415671	821569.8431324633
2466901.616581462	821567.4645921219
2440375.792747252	821565.0453325437
2413849.9689130434	821562.5844223185
2387324.1450788346	821560.0808861861
2360798.3212446254	821557.5337371798
2334272.497410416	821554.9419538118
2307746.6735762074	821552.3044844336
2281220.849741998	821549.6202461596
2254695.025907789	821546.8881314932
2228169.2020735797	821544.1069766043
2201643.378239371	821541.2756053028
2175117.5544051616	821538.3927980637
2148591.7305709524	821535.4572980006
2122065.906736743	821532.4678094869
2095540.0829025342	821529.4230058981
2069014.2590683252	821526.3214980551
2042488.4352341164	821523.1618618267
2015962.611399907	821519.9426375594
1989436.7875656977	821516.6623128576
1962910.963731489	821513.3193270866
1936385.1398972794	821509.9120690835
1909859.31606307	821506.4388757113
1883333.4922288612	821502.8980291468
1856807.6683946522	821499.2877553895
1830281.8445604432	821495.6062216248
1803756.020726234	821491.8515339183
1777230.196892025	821488.0217348053
1750704.3730578157	821484.1148006802
1724178.5492236067	821480.1286390582
1697652.7253893975	821476.0610862566
1671126.9015551885	821471.9099026188
1644601.0777209792	821467.6727724475
1618075.2538867702	821463.3472977027
1591549.430052561	821458.9309964083
1565023.6062183513	821454.4212975096
1538497.7823841427	821449.8155406485
1511971.9585499333	821445.1109663057
1485446.1347157238	821440.3047167604
1458920.3108815148	821435.3938293565
1432394.4870473053	821430.3752323325
1405868.663213096	821425.2457399518
1379342.8393788866	821420.0020472269
1352817.0155446772	821414.6407246117
1326291.1917104684	821409.1582121978
1299765.367876259	821403.5508140569
1273239.5440420494	821397.8146915486
1246713.7202078402	821391.9458565207
1220187.8963736307	821385.9401647227
1193662.0725394217	821379.7933079739
1167136.2487052123	821373.500806435
1140610.424871003	821367.0580002171
1114084.6010367938	821360.460040751
1087558.7772025845	821353.701881291
1061032.9533683753	821346.7782671563
1034507.129534166	821339.6837254232
1007981.3056999566	821332.4125534703
981455.4818657474	821324.9588077938
954929.658031538	821317.3162913463
928403.8341973288	821309.4785404328
901878.0103631194	821301.4388108772
875352.1865289103	821293.1900624305
848826.3626947008	821284.724944572
822300.5388604916	821276.035777908
795774.7150262822	821267.1145369457
769248.8911920731	821257.952833229
742723.0673578638	821248.5418902576
716197.2435236546	821238.8725281591
689671.4196894455	821228.9351344655
663145.5958552363	821218.7196449444
636619.772021027	821208.2155138472
610093.9481868178	821197.4116870833
583568.1243526087	821186.2965728136
557042.3005183995	821174.8580091842
530516.4766841902	821163.0832293063
503990.65284998104	821150.958825422
477464.82901577186	821138.470709206
450939.0051815626	821125.6040697184
424413.18134735344	821112.3433274179
397887.35751314426	821098.6720863717
371361.53367893497	821084.5730812019
344835.70984472585	821070.0281203738
318309.8860105166	821055.0180271112
291784.0621763074	821039.5225712869
265258.2383420982	821023.5204004154
238732.414507889	821006.9889633338
212206.5906736798	820989.9044252757
185680.76683947057	820972.2415826574
159154.9430052614	820953.9737608401
132629.1191710522	820935.0727137125
106103.29533684293	820915.5085085969
79577.47150263375	820895.2494010067
53051.64766842457	820874.2616982914
26525.82383421531	820852.509617352
6.1733682846189024e-09	820829.9551211767
-26525.823834202976	820806.5577456163
-53051.64766841223	820782.2744045017
-79577.47150262143	820757.0591880374
-106103.2953368306	820730.8631266148
-132629.11917103978	820703.6339401043
-159154.94300524905	820675.3157653349
-185680.76683945823	820645.8488478897
-212206.5906736675	820615.1692100774
-238732.4145078767	820583.2082741787
-265258.23834208585	820549.8924651875
-291784.06217629503	820515.1427440817
-318309.8860105043	820478.8741035132
-344835.7098447135	820440.9950362388
-371361.5336789227	820401.4068583477
-397887.3575131319	820360.0030852578
-424413.18134734116	820316.6685657575
-450939.00518155034	820271.2787168258
-477464.8290157596	820223.6997199348
-503990.65284996876	820173.7825638201
-530516.476684178	820121.3688607329
-557042.3005183872	820066.2849635119
-583568.1243525964	820008.341370622
-610093.9481868056	819947.3309535374
-636619.7720210148	819883.0268806302
-663145.595855224	819815.1802303293
-689671.4196894332	819743.5172855847
-716197.2435236424	819667.7363830553
-742723.0673578517	819587.5042572895
-769248.8911920608	819502.4518444781
-795774.7150262699	819412.1693217605
-822300.5388604793	819316.2003936276
-848826.3626946885	819214.0354227534
-875352.1865288978	819105.1063918693
-901878.0103631071	818988.766397317
-928403.8341973164	818864.2933643564
-954929.6580315257	818730.8666187748
-981455.4818657349	818587.552480898
-1007981.3056999443	818433.2834868722
-1034507.1295341535	818266.836763926
-1061032.9533683627	818086.7893326636
-1087558.7772025722	817891.4958953465
-1114084.6010367814	817679.0270710316
-1140610.424870991	817447.1094167643
-1167136.2487052	817193.0292571756
-1193662.0725394094	816913.5305322658
-1220187.8963736186	816604.6515386015
-1246713.7202078279	816261.5130790139
-1273239.5440420373	815878.0011465712
-1299765.3678762466	815446.3114581252
-1326291.1917104558	814956.2676391104
-1352817.015544665	814394.141560964
-1379342.8393788743	813740.7765360693
-1405868.6632130835	812967.8948051988
-1432394.487047293	812030.5963429562
-1458920.3108815022	810847.996807293
-1485446.1347157112	809234.3337737345
-1511971.9585499207	-821445.1111461726
-1538497.78238413	-821449.81496041
-1565023.6062183394	-821454.4208575654
-1591549.4300525486	-821458.930484456
-1618075.253886758	-821463.3470285876
-1644601.0777209667	-821467.6722006566
-1671126.9015551761	-821471.9093300027
-1697652.7253893851	-821476.0608092169
-1724178.5492235944	-821480.127420111
-1750704.3730578034	-821484.1156477234
-1777230.1968920128	-821488.021807539
-1803756.0207262216	-821491.8511230117
-1830281.8445604306	-821495.6054562455
-1856807.66839464	-821499.2809115482
-1883333.4922288489	-821502.892454657
-1909859.316063058	-821506.4360201238
-1936385.139897267	-821509.9094554433
-1962910.9637314763	-821513.316863324
-1989436.7875656853	-821516.6599178205
-2015962.6113998946	-821519.9403097973
-2042488.435234104	-821523.1595992481
-2069014.2590683128	-821526.3192984143
-2095540.0829025218	-821529.4208736302
-2122065.906736731	-821532.465745052
-2148591.7305709403	-821535.4552903329
-2175117.554405149	-821538.3908454457
-2201643.3782393583	-821541.2737058239
-2228169.2020735675	-821544.1051292244
-2254695.0259077763	-821546.8863343413
-2281220.8497419856	-821549.6185051189
-2307746.673576195	-821552.3027903163
-2334272.497410404	-821554.9403051997
-2360798.321244613	-821557.5321327987
-2387324.1450788225	-821560.0793247144
-2413849.9689130313	-821562.5829025379
-2440375.7927472405	-821565.0438585948
-2466901.6165814493	-821567.4631571381
-2493427.4404156585	-821569.8417353965
-2519953.2642498678	-821572.1805040846
-2546479.088084077	-821574.4803487053
-2573004.911918286	-821576.7421301317
-2599530.735752495	-821578.9666855021
-2626056.5595867042	-821581.1548291588
-2652582.3834209135	-821583.3073532077
-2679108.2072551223	-821585.4250280595
-2705634.0310893315	-821587.5086036227
-2732159.854923541	-821589.5588095997
-2758685.67875775	-821591.5763563627
-2785211.5025919587	-821593.561935311
-2811737.326426168	-821595.5162200469
-2838263.150260377	-821597.4398650576
-2864788.974094586	-821599.3335093405
-2891314.7979287948	-821601.1977747381
-2917840.6217630045	-821603.0332669736
-2944366.4455972137	-821604.8405764484
-2970892.269431422	-821606.6202781305
-2997418.093265632	-821608.3729325716
-3023943.917099841	-821610.0990861339
-3050469.74093405	-821611.7992713872
-3076995.564768259	-821613.4740076184
-3103521.3886024687	-821615.12380105
-3130047.2124366774	-821616.7491454784
-3156573.0362708867	-821618.350522114
-3183098.8601050954	-821619.9284014754
-3209624.683939305	-821621.4832415212
-3236150.5077735144	-821623.0142926169
-3262676.331607723	-821624.5255809842
-3289202.1554419324	-821626.0127911597
-3315727.979276142	-821627.4809904145
-3342253.803110351	-821628.9260197306
-3368779.6269445596	-821630.352755424
-3395305.450778769	-821631.7571868426
-3421831.274612978	-821633.1429799128
-3448357.098447187	-821634.5093710202
-3474882.922281396	-821635.8567432143
-3501408.7461156053	-821637.1854478939
-3527934.5699498146	-821638.4958288494
-3554460.3937840234	-821639.7882219823
-3580986.2176182326	-821641.062955619
-3607512.041452442	-821642.3203501562
-3634037.865286651	-821643.5607197133
-3660563.68912086	-821644.784370239
-3687089.51295507	-821645.9916014932
-3713615.3367892783	-821647.1827063353
-3740141.1606234876	-821648.357971307
-3766666.9844576963	-821649.5176761443
-3793192.8082919056	-821650.6620945156
-3819718.632126115	-821651.7914949073
-3846244.455960324	-821652.9061390402
-3872770.279794533	-821654.0062832345
-3899296.103628742	-821655.0921784961
-3925821.9274629517	-821656.1640695034
-3952347.75129716	-821657.2221970384
-3978873.5751313693	-821658.2667956216
