Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,19,2.03,37.03,0.2052,,,0.0077,
ETH-2,19,-10.17,19.88,0.2085,,,0.0081,
ETH-3,19,1.70,37.44,0.6132,,,0.0089,
ETH-4,19,-10.21,19.76,0.4511,,,0.0106,
DVH-2,18,-1.97,22.88,0.5696,0.0027,± 0.0054,0.0102,0.395
LGB-2,18,0.09,34.82,0.6486,0.0030,± 0.0059,0.0072,0.744
