UID,Session,Sample,SampleMass,ColdFingerPressure,AcidReactionYield,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
H549,2020-09c,ETH-4,3.53,174.3,0.997,-3.809,35.164,-6.510224,-14.807766,-21.632782,-30.150786,0.529172,-10.214470,19.811993,-0.464541,-0.777434,37.491062,0.458832
H550,2020-09c,DVH-2,3.56,178.2,1.011,-3.809,35.164,1.305350,-11.795602,-10.625692,-24.191354,1.089773,-1.974854,22.919748,-0.362133,-0.757028,23.283291,0.569802
H551,2020-09c,LGB-2,3.59,179.4,1.010,-3.809,35.164,3.630665,-0.326395,3.130076,-0.743137,1.486598,0.083038,34.816370,-0.292836,-0.090490,-1.734088,0.644573
H552,2020-09c,ETH-3,3.73,176.5,0.958,-3.809,35.164,5.231634,2.206592,7.268172,4.506534,2.129291,1.699918,37.441217,-0.308510,0.088126,-7.735435,0.627293
H553,2020-09c,ETH-1,3.61,179.4,1.005,-3.809,35.164,5.533536,1.831284,6.815740,3.544963,2.427718,2.036469,37.051041,-0.699106,-0.120480,-7.026902,0.201932
H554,2020-09c,ETH-2,3.57,177.0,1.002,-3.809,35.164,-6.461539,-14.722615,-21.718755,-30.315113,1.552998,-10.165627,19.900245,-0.687817,-1.119414,38.322117,0.215674
H555,2020-09c,ETH-4,3.58,177.8,1.004,-3.809,35.164,-6.514042,-14.830654,-21.680982,-30.303935,0.253211,-10.217695,19.788250,-0.486992,-0.888800,37.256506,0.434384
H556,2020-09c,LGB-2,3.54,176.0,1.004,-3.809,35.164,3.698151,-0.311448,3.213489,-0.692663,2.516539,0.154603,34.831724,-0.293754,-0.069884,-0.808418,0.643569
H557,2020-09c,DVH-2,3.58,179.0,1.010,-3.809,35.164,1.305338,-11.791812,-10.608830,-24.264023,1.895631,-1.975009,22.923681,-0.348854,-0.839106,24.099309,0.584263
H558,2020-09c,ETH-3,3.65,174.9,0.969,-3.809,35.164,5.235717,2.237544,7.288174,4.434026,1.520825,1.703133,37.473328,-0.323202,-0.045829,-8.402385,0.611292
H559,2020-09c,ETH-2,3.59,174.6,0.983,-3.809,35.164,-6.465128,-14.717804,-21.727657,-30.242711,1.709697,-10.169642,19.905246,-0.697983,-1.054587,38.478603,0.204603
H560,2020-09c,ETH-1,3.61,180.3,1.010,-3.809,35.164,5.528167,1.831033,6.825808,3.498680,1.752321,2.030741,37.050793,-0.683362,-0.166093,-7.689794,0.219077
H561,2020-09c,ETH-4,3.60,176.9,0.993,-3.809,35.164,-6.510481,-14.847017,-21.670781,-30.393946,2.165736,-10.213277,19.771261,-0.463944,-0.948354,39.269731,0.459483
H562,2020-09c,DVH-2,3.53,177.5,1.016,-3.809,35.164,1.304589,-11.829430,-10.670723,-24.242815,2.735339,-1.974404,22.884646,-0.373202,-0.741313,25.035126,0.557750
H563,2020-09c,LGB-2,3.53,174.2,0.997,-3.809,35.164,3.629273,-0.316292,3.146493,-0.670458,0.848075,0.081175,34.826857,-0.284978,-0.037976,-2.388896,0.653130
H564,2020-09c,ETH-3,3.74,179.6,0.972,-3.809,35.164,5.225522,2.201135,7.248775,4.320778,2.013313,1.693589,37.435568,-0.316138,-0.085924,-7.833227,0.618986
H565,2020-09c,ETH-1,3.56,177.5,1.007,-3.809,35.164,5.531908,1.821489,6.792903,3.570517,2.484165,2.035093,37.040880,-0.710497,-0.075466,-6.950194,0.189527
H566,2020-09c,ETH-2,3.55,174.9,0.995,-3.809,35.164,-6.468320,-14.763715,-21.770387,-30.319458,0.917539,-10.171337,19.857609,-0.692540,-1.040550,37.755938,0.210533
H567,2020-09c,ETH-4,3.55,176.6,1.005,-3.809,35.164,-6.515690,-14.862529,-21.711818,-30.488517,2.488148,-10.218264,19.755175,-0.484991,-1.014338,39.642057,0.436564
H568,2020-09c,LGB-2,3.55,177.4,1.009,-3.809,35.164,3.602321,-0.297484,3.143738,-0.865490,1.172427,0.051675,34.846438,-0.278519,-0.270749,-2.073929,0.660164
H569,2020-09c,DVH-2,3.53,175.3,1.003,-3.809,35.164,1.302390,-11.848985,-10.695078,-24.307638,1.578535,-1.976024,22.864358,-0.376095,-0.768150,23.894811,0.554599
H570,2020-09c,ETH-3,3.72,178.0,0.969,-3.809,35.164,5.226695,2.195347,7.238831,4.480024,1.852653,1.695057,37.429559,-0.321535,0.084174,-7.982284,0.613109
H571,2020-09c,ETH-2,3.54,174.4,0.995,-3.809,35.164,-6.469292,-14.781356,-21.783226,-30.478967,1.988949,-10.171716,19.839305,-0.687056,-1.169106,38.904417,0.216506
H572,2020-09c,ETH-1,3.52,175.1,1.004,-3.809,35.164,5.525761,1.810754,6.789224,3.427629,2.336545,2.028922,37.029755,-0.697319,-0.196409,-7.069048,0.203879
