ID,Sample,T,SE_T,D47,SE_D47,Dataset,Tcorrel_1,Tcorrel_2,Tcorrel_3,Tcorrel_4,Tcorrel_5,Tcorrel_6,D47correl_1,D47correl_2,D47correl_3,D47correl_4,D47correl_5,D47correl_6
1,BSP-1,8.90,0.50,0.6428,0.0084,Breitenbach et al. (2018) cave pearls,1,0,0,0,0,0,1,0.080414,0.055292,0.099047,0.050178,0.077302
2,DSP-1,3.20,0.50,0.6819,0.0117,Breitenbach et al. (2018) cave pearls,0,1,0,0,0,0,0.080414,1,0.007525,0.120831,0.013744,0.056534
3,GPC-1,24.50,0.50,0.5822,0.0084,Breitenbach et al. (2018) cave pearls,0,0,1,0,0,0,0.055292,0.007525,1,0.007934,0.062662,0.058095
4,MCP-1,18.60,0.50,0.6133,0.0085,Breitenbach et al. (2018) cave pearls,0,0,0,1,0,0,0.099047,0.120831,0.007934,1,0.008731,0.052312
5,NAICA-1,47.00,0.50,0.5395,0.0089,Breitenbach et al. (2018) cave pearls,0,0,0,0,1,0,0.050178,0.013744,0.062662,0.008731,1,0.072052
6,OWB-1,9.10,0.50,0.6557,0.0083,Breitenbach et al. (2018) cave pearls,0,0,0,0,0,1,0.077302,0.056534,0.058095,0.052312,0.072052,1
