model_flag,model_name,scenario_flag,algorithm,output_var,output_directory,file_pattern,file_extension,user_inputs,download_only
1,Vegetation Passive Radiative Transfer (VPRT) Model,veg,rt,tb,TB,TB_fGHz1.41,.mat,"""fGHz (float)""",FALSE
2,DMRT QMS Active,snow,qms,sigma,Result,Active_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
3,DMRT QMS Passive,snow,qms,tb,Result,Passive_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
4,DMRT BIC Active,snow,bic,sigma,Result,Active_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
5,DMRT BIC Passive,snow,bic,tb,Result,Passive_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
6,NMM3D VIE DDA Active,soil,fullwave_volume,sigma,Result,Active_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
7,NMM3D VIE DDA Passive,soil,fullwave_volume,tb,Result,Passive_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
8,AIEM,soil,aiem,sigma,Result,Active_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
9,DMRT TRI Active,snow,tri,sigma,Result,Active_fGHz{fGHz}_ob_angle{inc_angle},.h5,"""fGHz (float), inc_angle (float)""",FALSE
10,DMRT TRI Passive,snow,tri,tb,Result,Passive_fGHz{fGHz}_ob_angle{inc_angle},.h5,"""fGHz (float), inc_angle (float)""",FALSE
11,DMRT TRI Snow Properties,snow,tri,phase,Result,BiC_fv_*,.h5,"""""",TRUE
12,Soil Properties from snow lib,soil,snow-lib,r_active,Result,Active_surface_fGHz{fGHz}_ob_angle{inc_angle},.h5,"""fGHz (float), inc_angle (float)""",FALSE
13,Soil Properties from snow lib,soil,snow-lib,r_passive,Result,Passive_surface_fGHz{fGHz}_ob_angle{inc_angle},.h5,"""fGHz (float), inc_angle (float)""",FALSE
14,Vegetation Active Radiative Transfer (VART) model,veg,rt,sigma,Backscatter,Backscatter_fGHz{fGHz}incident{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
15,SMRT,snow,rt,tb,Result,Passive_fGHz{fGHz}_ob_angle{inc_angle},.h5,"""fGHz (float), inc_angle (float)""",FALSE
16,SMRT,snow,rt,sigma,Result,Active_fGHz{fGHz}_ob_angle{inc_angle},.h5,"""fGHz (float), inc_angle (float)""",FALSE
100,DMRT QMS Passive,snow,qms,test,Result,Passive_fGHz{fGHz}_ob_angle{inc_angle},.mat,"""fGHz (float), inc_angle (float)""",FALSE
