UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
75,2019-05a,ETH-4,-4.552,25.420,-5.500000,-4.973000,-10.921000,-10.109000,-70.757000,-10.246578,20.338355,-0.389637,-0.189664,-56.076945,0.452304
76,2019-05a,ETH-1,-4.552,25.420,6.561000,11.860000,17.939000,23.074000,-17.488000,2.023881,37.555473,-0.558221,-0.768284,-46.657068,0.201997
77,2019-05a,ETH-2,-4.552,25.420,-5.396000,-4.776000,-10.790000,-10.070000,-32.002000,-10.142715,20.539938,-0.559632,-0.546064,-17.201670,0.223094
78,2019-05a,ETH-3,-4.552,25.420,6.279000,12.345000,18.442000,24.385000,6.538000,1.704609,38.052999,-0.246411,-0.446272,-23.972235,0.621827
79,2019-05a,ETH-4,-4.552,25.420,-5.496000,-4.944000,-10.873000,-10.434000,-42.010000,-10.243377,20.368056,-0.373917,-0.576178,-26.935704,0.473452
80,2019-05a,ETH-1,-4.552,25.420,6.529000,11.859000,17.887000,22.817000,-53.546000,1.989713,37.554523,-0.575527,-1.017320,-81.611672,0.178715
81,2019-05a,ETH-1,-4.552,25.420,6.557000,11.861000,17.931000,23.059000,-84.695000,2.019569,37.556507,-0.562950,-0.784909,-111.866773,0.195631
82,2019-05a,ETH-2,-4.552,25.420,-5.420000,-4.836000,-10.851000,-10.217000,-85.781000,-10.166144,20.478524,-0.537142,-0.573976,-71.669086,0.253452
83,2019-05a,ETH-3,-4.552,25.420,6.282000,12.385000,18.481000,24.409000,-12.864000,1.706345,38.093971,-0.250040,-0.501840,-42.863480,0.616906
84,2019-05a,ETH-4,-4.552,25.420,-5.505000,-4.961000,-10.858000,-10.481000,-64.377000,-10.252367,20.350660,-0.332633,-0.589498,-49.613584,0.529079
85,2019-05a,CA5_05,-4.552,25.420,4.202000,6.198000,10.206000,11.505000,-52.747000,-0.289120,31.760374,-0.246480,-0.917972,-68.351432,0.628328
86,2019-05a,CA5_05,-4.552,25.420,4.033000,6.226000,10.083000,12.067000,-16.773000,-0.470799,31.789451,-0.221984,-0.418508,-32.849489,0.661439
87,2019-05a,CA5_05,-4.552,25.420,4.020000,6.178000,10.020000,11.945000,6.502000,-0.482924,31.740306,-0.224097,-0.443642,-9.848575,0.658642
88,2019-05a,ETH-1,-4.552,25.420,6.559000,11.892000,17.956000,23.265000,-21.503000,2.020566,37.588261,-0.570557,-0.644945,-50.609861,0.185358
89,2019-05a,ETH-2,-4.552,25.420,-5.399000,-4.836000,-10.817000,-9.713000,7.571000,-10.143697,20.478476,-0.524561,-0.065065,23.100874,0.270381
90,2019-05a,ETH-3,-4.552,25.420,6.290000,12.402000,18.487000,24.355000,-9.014000,1.714271,38.111368,-0.268855,-0.588091,-39.170329,0.591543
91,2019-05a,ETH-4,-4.552,25.420,-5.537000,-5.035000,-11.052000,-11.214000,-128.175000,-10.283828,20.274923,-0.422432,-1.181268,-114.258462,0.408210
92,2019-05a,ETH-1,-4.552,25.420,6.560000,11.872000,18.010000,23.682000,60.572000,2.022371,37.567769,-0.499141,-0.198167,29.062574,0.281564
93,2019-05a,ETH-2,-4.552,25.420,-5.404000,-4.809000,-10.835000,-9.901000,0.781000,-10.150043,20.506149,-0.564223,-0.309143,16.157489,0.216942
94,2019-05a,ETH-3,-4.552,25.420,6.284000,12.371000,18.460000,24.448000,18.687000,1.708997,38.079623,-0.259111,-0.436143,-12.246579,0.604697
95,2019-05a,ETH-4,-4.552,25.420,-5.504000,-4.956000,-10.906000,-10.496000,-38.372000,-10.251484,20.355780,-0.387119,-0.614691,-23.208937,0.455686
96,2019-05a,CA5_05,-4.552,25.420,3.531000,5.821000,9.179000,11.264000,-4.065000,-0.992453,31.375701,-0.205638,-0.407108,-19.051334,0.684193
97,2019-05a,CA5_05,-4.552,25.420,3.738000,5.991000,9.533000,11.411000,13.835000,-0.777459,31.549382,-0.233845,-0.599661,-1.971638,0.645895
98,2019-05a,CA5_05,-4.552,25.420,3.870000,6.065000,9.746000,11.362000,-31.659000,-0.639093,31.624888,-0.230856,-0.795085,-47.027668,0.649752
