source,grup_kod,name_tr,name_en
bddk,10001,Sektör,Sector Total
bddk,10002,Mevduat,Deposit Banks
bddk,10008,Mevduat-Yerli Özel,Deposit - Domestic Private
bddk,10009,Mevduat-Kamu,Deposit - Public
bddk,10010,Mevduat-Yabancı,Deposit - Foreign
bddk,10003,Katılım,Participation Banks
bddk,10004,Kalkınma ve Yatırım,Development and Investment Banks
bddk,10005,Yerli Özel,Domestic Private Banks
bddk,10006,Kamu,Public Banks
bddk,10007,Yabancı,Foreign Banks
