Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
session_00,17,21,-3.636,24.814,0.0100,0.0532,0.0670,0.887 ± 0.051,-0.762 ± 0.532,-0.807 ± 0.024
session_01,12,4,-3.624,24.885,0.0230,0.0490,0.0414,1.208 ± 0.064,0.261 ± 0.795,-1.001 ± 0.029
session_03,21,24,-3.672,24.742,0.0172,0.0683,0.0696,1.066 ± 0.048,-0.873 ± 0.489,-0.965 ± 0.022
session_04,23,25,-3.649,24.787,0.0175,0.0499,0.0784,0.985 ± 0.048,-0.972 ± 0.500,-0.947 ± 0.021
session_06,17,17,-2.992,24.559,0.0192,0.0929,0.0166,0.958 ± 0.050,0.086 ± 0.519,-0.958 ± 0.024
session_07,20,24,-2.997,24.607,0.0186,0.0598,0.0192,0.983 ± 0.046,0.293 ± 0.530,-0.978 ± 0.021
session_08,15,15,-2.803,25.140,0.0236,0.0749,0.0129,0.986 ± 0.051,-0.403 ± 0.601,-1.004 ± 0.024
session_09,7,1,-2.797,25.177,0.0124,0.0648,0.0192,0.894 ± 0.093,1.062 ± 1.118,-0.991 ± 0.036
session_10,22,25,-2.709,25.746,0.0735,0.2404,0.0150,0.985 ± 0.042,-0.164 ± 0.386,-0.993 ± 0.021
session_11,20,21,-2.468,26.769,0.2347,0.9721,0.0204,0.997 ± 0.044,-0.205 ± 0.543,-0.982 ± 0.022
session_12,23,25,-2.546,26.161,0.1251,0.5556,0.0773,0.990 ± 0.042,-0.761 ± 0.398,-0.954 ± 0.021
session_13,9,6,-2.342,26.944,0.1154,0.4853,0.0130,0.959 ± 0.066,0.121 ± 0.843,-0.951 ± 0.031
session_14,7,5,-2.425,26.620,0.1543,0.7511,0.0202,0.994 ± 0.071,-0.928 ± 1.020,-0.968 ± 0.038
session_16,27,21,-2.900,24.741,0.0174,0.0335,0.0522,0.938 ± 0.040,-0.672 ± 0.364,-0.797 ± 0.019
session_17,27,23,-2.887,24.785,0.0103,0.0400,0.0182,0.975 ± 0.039,-0.039 ± 0.367,-0.806 ± 0.018
session_18,12,9,-2.883,24.851,0.0106,0.0124,0.0178,0.964 ± 0.053,-0.333 ± 0.750,-0.808 ± 0.026
session_19,23,25,-2.866,24.827,0.0103,0.0329,0.0175,0.945 ± 0.040,0.012 ± 0.375,-0.799 ± 0.020
session_20,18,19,-2.878,24.812,0.0103,0.0388,0.0192,0.950 ± 0.047,0.361 ± 0.500,-0.795 ± 0.023
session_21,4,3,-2.884,24.829,0.0000,0.0000,0.0219,1.015 ± 0.098,-0.219 ± 1.478,-0.844 ± 0.046
session_22,17,21,-2.876,24.818,0.0117,0.0294,0.0178,0.985 ± 0.046,-0.100 ± 0.401,-0.841 ± 0.023
session_24,22,18,-2.875,24.831,0.0139,0.0384,0.0174,0.948 ± 0.042,0.198 ± 0.498,-0.829 ± 0.021
session_26,12,17,-2.875,24.853,0.0090,0.0456,0.0170,0.960 ± 0.052,0.018 ± 0.464,-0.836 ± 0.026
session_27,13,3,-2.866,24.890,0.0079,0.0400,0.0200,0.932 ± 0.064,-0.498 ± 0.831,-0.836 ± 0.027
session_28,24,25,-2.845,24.910,0.0127,0.0499,0.0202,0.987 ± 0.042,-0.320 ± 0.414,-0.862 ± 0.020
session_29,13,9,-2.879,23.982,4.3902,4.1437,0.0439,0.918 ± 0.062,0.167 ± 0.471,-0.832 ± 0.030
session_30,16,20,-2.854,24.956,0.0151,0.0257,0.0234,0.974 ± 0.049,-0.089 ± 0.539,-0.869 ± 0.025
session_31,6,4,-2.839,24.996,0.0049,0.0112,0.0184,0.873 ± 0.086,0.747 ± 0.682,-0.820 ± 0.044
session_32,23,25,-2.828,25.007,0.0154,0.0334,0.0222,0.976 ± 0.047,-0.094 ± 0.536,-0.879 ± 0.021
