,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,0.06336557383632778,0.6516449290255478,2.2492374276961633,4.999611284870607,8.67658155306373,12.615879143294224,15.692995362958436,16.55559619359635,14.431031921082393,10.315533450775872,6.093703219405027,2.9973912268708096,1.2256183592758214,1.2256183592758212,0.4127479486367364,0.10896463424620481,0.02336411796652624,0.004274273255419435,0.0006936262560579687,0.00010127355858556882,0.05157682537216492,1.3840876497392731,5.5864747258311755,12.090940722348686,1.4609847413590016,11.37426810881052,7.471745947747651
x-075,0.06697017647656096,0.7316084110934902,2.602091283530064,5.917456270928442,10.486621040813837,15.647234961402388,20.2183372848975,22.700139332967797,21.821823185542833,17.86509575093297,12.644730955326395,7.87943203619971,4.299986664763135,4.299986664763136,2.0450179549343757,0.8485486228831334,0.3090569480402475,0.09289869414475371,0.023360906186072974,0.005197405497668927,0.0541579323559296,1.6648034491931731,7.249649970018907,20.459637229170777,2.2940229589571923,18.737544652113833,12.999028581097877
x-050,0.06880422159946398,0.7976153401255086,2.9201597330891285,6.801214670843641,12.326646578698902,18.8663458601431,25.26282841612814,29.849514563609418,31.029976215861378,28.18572472442903,22.80084351056972,16.780499986908506,11.286213380017399,11.286213380017394,6.795053148806492,3.68693481137405,1.8366253572986049,0.8163738808549165,0.3095702818314951,0.09787803234296662,0.05698325187479842,1.8636302544458268,8.6426638531953,34.53924538856394,3.6104738330827226,29.068215270332093,22.4490087458352
x-025,0.06943146611529778,0.854340389199381,3.2218509565687,7.678436632403902,14.228358556410951,22.32562574094024,30.86363925411831,38.133387816820296,42.30952602081224,41.9281242739179,37.759956203924965,31.53497641571132,24.61686707472881,24.616867074728784,17.68599568754557,11.844911078503204,7.412534831340626,4.269610744868711,2.2580000878338278,1.1013071791242688,0.0619141730044213,2.0036287426080537,9.844998413845142,55.48956002769757,5.696107087774269,42.45135208428097,36.57934075396737
x000,0.06779094769445311,0.8899859749292858,3.4639328421986373,8.450738201280839,16.003267744085473,25.709892082842632,36.57174882355574,46.944583770112786,54.91342094198594,58.4168153280421,57.374905611113206,52.89935033705504,46.16716091216503,46.167160912164974,37.88057879002709,29.402688846706326,21.76463608101339,15.171944157600272,9.841130780615233,5.990311307140646,0.0710510574376723,2.12759498138448,11.039476205156738,82.57892551898314,9.805966850588655,56.49298296562812,54.03093057164223
x025,0.061304588454919075,0.8753491339771577,3.540636815738308,8.865583022848783,17.15577556662611,28.149385775555857,40.99844944221381,54.1617643152646,65.76847579973327,73.76331631292217,77.78742501985262,77.99798981092586,74.44435742670984,74.44435742670987,67.42719255989695,58.1960948303975,48.30002350883641,38.65358393932474,29.41315099434322,21.29983060727277,0.08471923400918202,2.323454092005563,12.651465318349732,111.32289598599726,19.25650496961887,65.70628017444096,68.78774568518003
x050,0.04988416908596046,0.7801480599481891,3.3218157941193454,8.589419669754912,17.020225616171352,28.500039380975945,42.33339706882111,57.23986806260915,71.71599868505763,84.39700819355008,94.98337301327442,102.3954320658268,105.17932924898459,105.17932924898459,102.93425712720634,96.5025959912583,87.18169967449614,76.3946846494384,64.88898785488624,53.38715606021744,0.10199646710817292,2.585353395315191,14.701570150290316,137.45212648074784,38.686840710508974,71.44210415245247,75.16926696589526
x075,0.03842021605236346,0.6351464196510436,2.8131875606795305,7.526259073940665,15.369803791564019,26.48283478920138,40.55912165969908,56.97490770721392,74.97660152069419,93.4338258686748,111.22256147850335,126.42966036505841,137.26139049269395,137.26139049269395,143.05920282631203,143.85376837386985,140.00136178958903,131.95298290037184,121.14912028031313,108.40845447489394,0.12143280775884153,2.871097881112082,17.048774582395414,162.6163139762943,70.74635847984841,77.32693018830234,75.34203434831468
x100,0.027657686229290747,0.5152756077908616,2.426518435559918,6.753743396754771,14.282056443789584,25.441602599988585,40.283989499294044,58.51553235420043,79.55572652012614,102.36489383532107,126.12487182302925,149.71869533921551,171.88706128973496,171.88706128973485,191.63772449761169,207.411695262327,218.58588252583075,223.47939573749701,223.03402632347175,217.71644277894794,0.14759913520428933,3.201669159636487,19.88150244420954,191.88318301161198,118.05422613764227,103.45215615236724,111.90903404784439
x125,0.016803306785473954,0.3663355558874339,1.8790558127857178,5.525735385378166,12.20382042169853,22.586213378486935,37.05752729465114,55.72845404652019,78.47432856144728,104.92234901791258,134.80068835435148,167.44688521308078,201.47473071739142,201.4747307173914,234.99999937404678,266.2817973895529,295.9807355911452,322.05527187025035,345.28082779314923,364.78688779783596,0.17938027293076636,3.626505937069313,23.64258699625717,204.9617455756018,139.17836019932176,138.31719104198015,242.4451669567955
