,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,1.4968550174412003,8.91485071215558,13.403591656544602,8.27161610808647,2.118141068831052,0.4742148197817452,0.15931082188399148,0.08886868816173525,0.062493080159134046,0.04179692940945371,0.027782879406860438,0.018489084689975982,0.01228091207527074,0.012280912075270732,0.008040664670176383,0.005171482454780912,0.003284072061154631,0.002044013271036853,0.0012471795615991692,0.0007438142885689536,0.009999845465722029,58.80984258838048,55.940999805758416,1.9253742918464347,0.9510118247834018,0.8616231283375281,2.1093488041316126
g025,1.3700028957517403,8.263179019725381,12.527106002286116,7.970446718768916,2.3611463079324992,0.6908483012527521,0.24936189738715175,0.11088144316994274,0.06436676052290102,0.041882747507297556,0.028682823106665343,0.019958327042193472,0.013950766650417614,0.013950766650417615,0.009689291834606602,0.006671798862331978,0.00458172237937192,0.003117600353920339,0.0021039036277942487,0.0014031908817916828,0.009717270883050444,64.9031916185985,68.83224412677406,2.2815617814073557,1.021395121331346,1.051178453884134,2.3062029380699496
g050,1.2386130392641372,7.554088227536099,11.498394160156126,7.574425698223006,2.528603663032119,0.9169672010274663,0.4014317516884247,0.17555464569480478,0.0773046618037954,0.04226553291502291,0.027849868713102004,0.019664169278828827,0.01413205588093986,0.014132055880939859,0.010128790690505199,0.007212431463837379,0.005134007195443284,0.0036327910205005655,0.002560047433050904,0.001791766059517081,0.009527156926506398,70.02028843142399,81.50947265625783,3.05469597232152,1.163831919477788,1.4051351817463356,2.657030314439093
g075,1.0807887771147069,6.694792114210336,10.35277813996292,7.116604216265312,2.6248269682573993,1.112758272187957,0.5630762034912732,0.2590685617488378,0.0985312645356431,0.044494932980042166,0.026933646378474896,0.01891296616017463,0.013838950955021724,0.013838950955021719,0.010138837804592484,0.007376817982478267,0.00536097632336943,0.0038718510651013734,0.0027857751380130236,0.001992228351700081,0.009407816770776659,73.95909321778157,93.48115900318741,4.480898481654667,1.4915532801735594,2.0600878464800823,3.3234473165312775
g100,0.919677367162691,5.801783214216681,9.217313267577959,6.593852901771202,2.6108209461133534,1.2244853540683773,0.7162549680778567,0.38515215410401654,0.14819154902228815,0.05587641684394765,0.027570584306734723,0.017804614931033795,0.012928685348548342,0.012928685348548337,0.009626440544178544,0.0071533873531577025,0.005310925984593773,0.00391704892344216,0.0028777574750849444,0.0021017721151036692,0.009501255610550033,76.41630037337497,104.01342985402384,7.0908168558260805,2.2458342323980554,3.2290529829684815,4.679323625228329
g125,0.7869074015566894,5.041812926743249,8.207956918007248,6.055013795559574,2.5107237565435283,1.2301589732275051,0.7826483191285775,0.4793811008798629,0.20585282699701024,0.07637558079373578,0.031707080999662116,0.017374353601229922,0.011832042930956684,0.011832042930956677,0.008771454348272038,0.006621224315214781,0.005018150430764164,0.003781446835117217,0.0028390950931064256,0.0021199824904476975,0.009825901476421548,77.4415888465777,112.85685280558288,12.272108061438932,3.8332818165582965,5.167218418967213,7.446260899979341
g150,0.6813373137500432,4.416787609453107,7.307118608805498,5.5446200295280414,2.395488406072036,1.2207176782757303,0.841560619908801,0.5843436764863326,0.2858809777625139,0.11329360403399397,0.04314624134840677,0.019281910842233706,0.011186875924506389,0.011186875924506389,0.007803727831498312,0.005865526776393369,0.004513671334635494,0.0034701448624560004,0.002660472326642055,0.0020292508941543016,0.010343136752835791,77.07809217475247,119.7698702578901,22.12894284846353,6.67002921697578,8.052833505696663,12.642577747202594
g175,0.5857752247399203,3.841742894120223,6.463882032722424,5.051517322896889,2.2390743744499706,1.1384320650386652,0.8024224822450813,0.6065477106765895,0.33746517608100796,0.1501619629809236,0.05927535212549163,0.023926509043162694,0.011450207428736777,0.011450207428736777,0.006870092660233327,0.00485863552780733,0.0037176699250571496,0.002902031956376885,0.0022738188712844577,0.001775792773875987,0.011166336228258373,75.46251798899648,124.68705952262144,38.217879637726845,10.82603899393801,11.856768071046487,21.05408458497265
g200,0.5022098478694706,3.328735966529518,5.714666184557321,4.598624208455813,2.085292986265612,1.0442985116027217,0.7329576462387409,0.5871059100549944,0.3583857241928394,0.17630588405906575,0.07527836433924757,0.03038651311041043,0.012876263663024811,0.012876263663024811,0.006328570572703243,0.0038248583243199606,0.002739449934716777,0.0021216311111928485,0.0016925017381187774,0.0013593156994481947,0.01228791897995312,73.41762716680135,128.4909857998996,60.03909092399343,15.79608254105895,16.18421012998187,32.21668628278151
g225,0.4322151150846416,2.8930451976071767,5.070479710569512,4.187424195961349,1.9377549395172038,0.9419398812380807,0.6354526412149448,0.5151019135454096,0.3347847414682774,0.177658952308503,0.08173193333790618,0.03443412722988596,0.0142288353934067,0.014228835393406709,0.006173523535827814,0.0030976689915288252,0.0019243278046006686,0.0014055398998681194,0.001121844520272259,0.0009278220948536651,0.013696537855866497,71.14054284591374,131.71955527428753,85.36204723730795,20.739690397669417,20.309896182777536,44.28714796620662
