,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,3.908926234744413,44.37500891079444,146.2641707154572,289.0430867343633,420.0668084896626,486.9244597214014,471.56223200010413,393.80631857116146,285.5848933437999,179.36585648077914,95.93631499093179,43.535359423791824,16.52569100193437,16.52569100193437,5.085430914381545,1.2026067352480911,0.2341001074831714,0.0400089083099221,0.006139915174659114,0.0008557681340881311,0.7421234232324327,238.2164510369013,946.1168240638409,1163.3811901504826,613.4344443940049,583.6326659496107,1722.1257915508838
x-075,3.3421069737742015,41.64119022250695,143.68293006039818,296.7544838017373,454.3774203092023,563.8948416446307,593.7615743192657,543.7590617558928,440.1511934713516,317.80670769145866,204.42096619076636,117.95065849107695,60.270857136829385,60.27085713682935,26.81670461833427,10.219032776369938,3.3422683102422264,0.8928721058415766,0.20533683448064,0.04302210455076303,0.7818420260601027,255.52086719352747,1081.8466301434864,1712.7493009263455,740.1377240577459,817.088610500662,2523.332868981669
x-050,2.631058322128476,35.40889842290451,128.4489696452471,277.9384047274051,450.77999101499535,602.4183303165934,691.5301364503817,696.5314782031305,626.8413156504316,508.0684880021036,376.81141377627307,258.0380515456194,163.5394471103826,163.5394471103827,93.27634711190825,47.949722895780766,22.363396641473223,9.105625453079185,3.1010320594541985,0.8775220930054387,0.8290616548036243,270.25021430046974,1214.959792882231,2344.096300011855,765.0750469359629,1059.6130818083413,3337.8898018456684
x-025,2.0091698203242636,28.55212836085679,109.0319768677879,247.70037793421048,423.53434956442925,602.7143058376773,749.8047826789949,831.6131362189747,829.9768607948887,752.254796450368,631.4176028801603,495.88847692583954,366.6839131997698,366.6839131997697,251.10282498214715,160.90377448762837,96.59957133805328,52.85390494962297,25.962749057460154,11.459491200707781,0.9057535959662576,283.56432716386075,1349.5290898682222,2976.155431735132,709.5747102751395,1286.7753998638154,3955.5623825013577
x000,1.525799134844712,22.587277150452692,90.39349938056729,215.36903813392243,387.37075613752546,583.419983079978,772.4117147234092,919.7773024514933,1005.854991267232,1016.1813873584175,955.8056835275307,842.6357864557369,702.4530686400914,702.4530686400915,552.2944084750077,412.3007349523171,294.3630741596546,198.28816195412398,123.67805835990688,71.24221692434142,1.0378299442328616,294.232048291959,1481.109613125328,3517.7881697560947,646.9087534701004,1448.3902679790488,4145.847162669809
x025,1.158671752103634,17.729300492433044,73.94158818916613,184.07288392201832,346.2773128376659,546.2206823201132,762.7925973321348,971.2623106150986,1146.2335178265305,1254.6108314052296,1288.270326195546,1250.5128686442872,1150.3338183087378,1150.3338183087374,1003.2406835766036,836.4239333766144,672.4539894047208,521.7145232694127,385.724772779891,271.25495848524713,1.2359155990768937,303.9727407218296,1618.9908822143257,3985.0851777516077,704.947978857267,1488.2243498659614,3885.914029124714
x050,0.875371200648663,14.10786984486345,60.98102647987882,157.7230272158457,309.015412249475,508.96088946490516,743.5019071685481,990.2649635372559,1222.2637726249707,1413.271877134974,1556.2286876664973,1634.9870023388376,1631.0558432509324,1631.055843250932,1546.5848894456801,1406.7909285382611,1237.2398792115303,1056.0642573368468,873.8935220790031,701.9694997278963,1.484438471386993,310.78704795392264,1756.5145788681916,4386.39359249955,976.4902531310983,1446.3720247646775,3272.8101561581093
x075,0.6360770206520255,10.810892593788315,48.487578325688595,130.0611049401748,264.5013796963848,452.116855023631,685.5225263266684,951.9300048780569,1236.4000944751285,1518.424762627395,1778.4733840596975,1983.7455533361867,2106.0511928640894,2106.0511928640876,2141.7676004133546,2104.074264347089,2006.5956433126248,1854.7724324868118,1668.6024832041282,1461.6797161686736,1.7470005078812871,315.0167294186448,1899.0227768146565,4794.9750563515145,1499.2722444367862,1430.5055009136902,2603.8685139056865
x100,0.42763730246611387,8.153055115708892,38.940723721950434,108.99488703933406,230.47206818735344,408.9303566777722,643.2352375175844,926.3944795020439,1246.6063791354647,1584.3967320382176,1924.6845078304739,2249.586067786742,2543.344717043439,2543.3447170434397,2797.191137548063,2992.450808430552,3120.1143343950275,3154.0882817324336,3108.601924574993,2992.0540908499215,2.072067120136129,314.35641225754193,2037.7578492114928,5281.781834368164,2254.9983051259446,1773.3618927362509,2708.4753483639743
x125,0.24495212915399814,5.386873856373171,27.7825020178837,81.98300114954519,181.3259433752569,335.37520671178834,548.9019506685341,822.3500521760362,1152.7502392050249,1533.8711494389547,1961.499553745259,2425.6719848579737,2905.48295374845,2905.4829537484507,3372.638133552232,3800.413877227729,4198.581235883571,4537.387381161373,4829.367260917043,5061.821234812324,2.4469684746492515,304.54471149688794,2139.010344355093,5445.981716367564,2556.279738540436,2359.6277564763927,4784.92506594406
