,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,8.118641734618505,94.02871525734936,303.0992645898419,576.5341127354867,805.4232828973671,906.0617922495261,859.931581490032,707.7834849476733,506.4744906457159,313.2455930099769,165.04778667797694,74.15454153460622,28.15081023248404,28.150810232484027,8.768377933827733,2.1045166933549377,0.41303114063431323,0.07074775662871205,0.010863078148963425,0.0015128622983429584,1.266562994008009,698.7654681446545,2694.2536426412134,2510.0190917460536,1668.2350269138517,1317.410817345035,4466.489763897682
x-075,6.450675677092872,82.11205147105228,279.81140971843456,564.7819435236584,846.4876619786513,1033.6261162568599,1075.1575683505293,974.6127525876453,780.8259207398671,556.632302235687,353.0511160358452,201.34001311299465,102.2647672145206,102.26476721452055,45.65808853499465,17.66119783255437,5.869650506147733,1.5814430027568331,0.3638336280273908,0.07609610501264501,1.3346155347778328,740.1262488003122,3050.2734432318994,3567.799611091867,1838.9178949587447,1748.0439663251716,6165.9553909063525
x-050,4.87510411502654,66.59009838956801,240.3233563194781,513.8285568021583,824.0781287157957,1091.7568095218708,1244.1662481244277,1244.5069202213604,1111.5471946258394,891.8282401782433,653.2342271177486,442.0437607627089,277.6680017446057,277.6680017446056,157.77981532587353,81.43775852956863,38.5085579002609,15.932700266700184,5.477970458224961,1.552485790805143,1.4183436650346857,773.2076357520247,3391.9230013586016,4747.15139080385,1783.2265135133118,2162.1786111437273,7747.227783793249
x-025,3.641334592011527,52.24445808844601,199.25420260033758,450.0545379726936,764.9178748599018,1082.859464941497,1340.9489168990692,1480.7822363999328,1470.140000995115,1322.1676683672606,1098.136411094032,852.931017279396,624.5447175000438,624.5447175000431,424.61712037009823,271.2535441849993,163.19623955188132,90.15382123943616,44.91680194225315,20.033461561964796,1.5558011370441358,802.012508491499,3734.179471591525,5913.970043933765,1601.0010278297532,2525.097619160331,8810.30765166936
x000,2.736078739181672,40.716208764603806,162.9757121881851,387.29346278542766,694.4069486935466,1042.7962014373807,1376.8493181624767,1634.581179780902,1780.0958288622933,1786.9914841551315,1666.0830204428753,1454.433830371236,1201.4094221397222,1201.4094221397218,937.0592145581954,695.5597347888889,495.4025817797559,333.8833713510934,209.54363194291395,122.26234593908325,1.791452260110978,822.0496177681524,4062.852100504174,6919.822928877168,1459.9070822013114,2763.524126046389,8961.998824807615
x025,2.063579833728068,31.71464325706143,132.3414626449522,329.0826545148225,618.0082653535273,972.9944321818538,1355.7733518703203,1721.290470792254,2023.0604133211739,2201.493814249676,2243.63485262256,2160.3807608516704,1972.3764702306266,1972.3764702306257,1707.9670034841736,1414.9286713567003,1132.6520853501115,877.006293818577,648.4109669830348,457.33783523967,2.1389212948646197,836.7149563887967,4399.592201091716,7795.264823548139,1592.5648218344022,2785.32761364104,8213.021766624182
x050,1.5421748883146857,25.02184062587486,108.34522162562453,280.1617404481603,548.262140149331,901.4158302700863,1313.636924601612,1743.9506385559355,2143.167546808252,2464.533398908837,2697.7337415333254,2818.443550798215,2796.878356529527,2796.878356529526,2637.79230835619,2386.2860760982016,2088.68584028375,1777.0930247970473,1468.7469761835212,1179.6977883653403,2.564327527081541,841.3541674535888,4730.079735799505,8558.07479468723,2156.4629889616713,2691.267553926756,6824.936713212337
x075,1.1031590157877547,18.841144726694296,84.74715850008118,227.53518879545558,462.52383155483966,789.4679813577432,1194.4040857242223,1654.047524885405,2142.0105062768625,2623.060679935322,3063.8100599407,3407.424768441191,3605.3553259354862,3605.355325935485,3652.539327461455,3573.667889613066,3394.4463621091686,3126.43299344318,2806.437437942956,2456.9001918901563,2.9998920523763015,832.3544272709073,5045.936335879982,9334.14664705227,3166.036101493362,2707.5947409406645,5508.884619400436
x100,0.7341889658914793,14.04136801447648,67.19932603163987,188.26396209892906,398.1184917184147,705.9681474798723,1109.2777269082364,1595.4020450860687,2143.4685158835896,2719.3587592202357,3296.6822489954275,3844.4733702942867,4336.141625289015,4336.141625289015,4757.301150568346,5076.471259565158,5278.569901235454,5320.7958814098765,5231.17950060005,5028.089907488321,3.530776105144329,802.9264580564251,5300.39827649298,10174.88338261638,4438.235702321716,3404.5010264110774,6148.9946278416
x125,0.41648147308922506,9.17493751698701,47.38532913562161,139.9262821978103,309.54160317913943,572.3970313346618,936.3023911405076,1401.6065053380837,1962.7949045189837,2608.7705579639255,3331.933260692619,4114.7600888994675,4920.991050574575,4920.991050574575,5702.016070884348,6412.1288476138,7068.505556007289,7622.480110825047,8098.692609373415,8479.608613086826,4.132710836835049,742.5151600448211,5352.85494526217,11090.975160020545,4740.430920989123,4436.517089204702,10735.65039379163
