,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,6.193367621036152,35.30102511508331,48.23633973798119,27.217297259809744,6.403641063268866,1.3472646233589836,0.4523177362683673,0.25176066510020656,0.1753865209148498,0.11634818931384161,0.07701213390395403,0.05125316112948455,0.0341473781858827,0.03414737818588272,0.022468713414724777,0.014537592802995561,0.009288086691857288,0.0058134989773144475,0.003564628097978925,0.002134546708717638,0.028421113302110203,460.127862981316,375.1042114333248,10.956112630417849,9.170118362577083,7.082516615198309,16.611152910739655
g025,5.207925888136935,30.478774446360884,43.17939907599239,25.69852328867607,7.01449712660185,1.9350961859897744,0.6954954455868774,0.31070332943165224,0.18007934542972542,0.11655882271022193,0.07961394370417424,0.05546829669194186,0.038927288456413696,0.03892728845641367,0.027188122867580117,0.01883603163984001,0.013009385122380058,0.008894434693872258,0.006024126248176338,0.00402748843209253,0.02751893884085074,472.22830649214694,426.46151772024604,14.487349811259763,10.242420658093327,9.103624378134533,18.70340187522738
g050,4.399811376898303,26.372655000932596,38.50444038371926,24.04506948971218,7.417050012728532,2.5454847995535417,1.1056727053343554,0.48495138259315734,0.21458586115687261,0.11744656467898518,0.0773913232411284,0.05476288656141451,0.039522044055390844,0.03952204405539084,0.028479687547673157,0.02039319351847146,0.014587969771159474,0.010361285121071127,0.007319674933170091,0.005129005278887705,0.02688711436138226,470.6103947661172,468.1341804631807,21.356367118459758,12.58802054680458,12.740902807023785,22.40790545869936
g075,3.7145104551683317,22.740250664782305,34.08335807761219,22.32336729199915,7.6247381866403,3.0710129717255996,1.5451231299514103,0.7148128008478036,0.27346753734143686,0.12376124419857917,0.07493887040744308,0.05273800129065966,0.038750650416468156,0.03875065041646815,0.028539416226136028,0.020875801189055698,0.01524148166730033,0.011046277022868995,0.007965440934664192,0.005702082652589648,0.026474832377373116,457.5109066302321,500.9870042187737,33.8709721844531,17.74436699507153,19.098088609153002,29.56469759981773
g100,3.099374304916367,19.36972061741275,29.959769876696004,20.49420893652925,7.542263918672752,3.376202141170461,1.9697363069793712,1.0667048811465805,0.4129291821141228,0.1560789229359039,0.0769777965156273,0.04977333192989601,0.03627871236021976,0.03627871236021977,0.02714609886049055,0.02027214251136156,0.015114025012345428,0.011181583251075504,0.008230180945736486,0.006015161583380189,0.026683283735137214,431.8855043221463,520.1079565745964,57.84425406958006,27.98650706224981,29.42030494345091,43.21629351780558
g125,2.610643687625168,16.60216764636244,26.398524346248077,18.683706573349948,7.2376431376869315,3.4045425872651083,2.1715265977648506,1.3446688082154263,0.5819765392115005,0.2163548094119061,0.08945886176762538,0.048847756711650474,0.033305755105829477,0.03330575510582947,0.0247887075701716,0.018793716717787363,0.014295628156033465,0.010800004729801521,0.008119894454195762,0.006065029917417635,0.027579353203996113,398.61580913084543,524.9226148740048,102.56829886630604,45.93330342010112,44.55847357240373,67.43318046968248
g150,2.23054067342679,14.370674655139375,23.28834837214296,17.001237187307296,6.897293924342543,3.392512069843995,2.352610928548955,1.6540647108151951,0.8163867946946367,0.3245185717960009,0.12318282131269814,0.05470278425958947,0.03163518590780699,0.03163518590780701,0.02210072495204921,0.016666211964928214,0.012863717072142355,0.009909828543270277,0.0076048903500400165,0.005800269358678686,0.029076441046548995,365.4312948149136,522.0759681094827,176.85730731940976,72.73225956103788,64.34282858411888,105.65809118872225
g175,1.900324602981327,12.3950111996731,20.437748742592035,15.411959275112936,6.449842620090782,3.182605270930912,2.265000076926083,1.7359989065689658,0.972723277525209,0.4333877987703235,0.17052923255450167,0.06843119333127294,0.03256934374680933,0.03256934374680932,0.01950974015532173,0.013819742050166953,0.0105979110729745,0.008285003571937297,0.006494687123347937,0.005069987200664499,0.03143897616979467,333.71627166975674,515.3614233021842,282.84986453873915,105.45795292394529,86.94773893649443,157.2844936509565
g200,1.6062759683956314,10.60608675837499,17.902736554632632,13.961507130786922,6.006545736935852,2.9317242870031714,2.0814177428506166,1.6889265170790713,1.0354041651191186,0.5089470379292522,0.21648882543182632,0.08695688961503832,0.036675581453466936,0.036675581453466936,0.017980926369139682,0.010873415285381187,0.00780137105261593,0.006048374934218994,0.0048250209306104205,0.003871723150722343,0.03459906741311963,303.2527286712607,505.12345230156023,411.68006548897034,137.90659636803974,108.89261343135472,214.85054134707994
g225,1.3709431822392122,9.140543826057131,15.77010434359426,12.653917743161776,5.576835999712727,2.648331094053734,1.8074871663935832,1.4815422824010718,0.9647586451964555,0.510514580385376,0.23364821968129712,0.09790615217048113,0.04028055170804042,0.040280551708040443,0.017440342519244572,0.00876068927214144,0.005457272763023946,0.003992806468324637,0.003186769797309139,0.0026323720161043197,0.0385066777437944,275.17071564662666,492.8989701210167,547.6989955295813,163.99827328806597,126.36531059476899,267.28017554299703
g250,1.1848634007070242,7.952514632793636,13.955021071135894,11.489025504504676,5.186060609567854,2.373403891281747,1.5194365652470652,1.2106418264268473,0.8286327559685932,0.45554112262024216,0.2161678818496925,0.0933819861954217,0.038909676779065455,0.03890967677906548,0.01639533938687762,0.007572962113611095,0.004247177247845271,0.002907513376449911,0.00229152946032672,0.0019338895765885103,0.04318985454517111,250.57874144116352,480.80742083165893,670.213029930956,180.14825515098332,136.50495692372002,304.6917336530883
g275,1.0324289786116834,6.9644064929764635,12.381020046011981,10.490482432345138,4.878933540573399,2.1693568318043095,1.2972074007216345,0.9664232606828412,0.6840235142433493,0.3771531139718573,0.17927368981701558,0.07809886705736449,0.03303310393637044,0.033033103936370455,0.01420851856090225,0.0066781929437252415,0.003755861399557219,0.0025491396353182314,0.001994043757327859,0.0016811317773111876,0.04864172507744429,228.93680637697616,469.5352524956206,759.4658143954006,185.4967477018312,138.72681181543865,322.5761600509967
g300,0.894838566760151,6.077921776737781,10.999586423348777,9.662183744010134,4.660385200413991,2.0305372926341265,1.121880554760186,0.7398735509520175,0.5200666072817969,0.285714061299204,0.13644921393776058,0.060697862589710196,0.02666333974864668,0.026663339748646694,0.012143388376594944,0.006084479115289332,0.0035637321276459004,0.002420661085721657,0.001842344060565819,0.0014984697331914044,0.05514082331193223,209.66765273668864,458.8232395457489,801.626527436839,183.35100358556795,134.5189201029085,322.54169676648775
g325,0.7772433420616425,5.319360408103829,9.846208561164762,8.99076105599389,4.518672125750688,1.946638660435397,1.0068105593375594,0.5822100341103837,0.3884443113670924,0.21796278418291423,0.10538345641024409,0.048101156891024295,0.02213104724712481,0.022131047247124797,0.010771661807384775,0.005763938347967315,0.003487671573400852,0.0023366177843957836,0.0016936868762437742,0.0012924230744351696,0.062289984910856716,192.4225031897347,448.76237194259596,794.0911443914409,175.48669021468555,126.0707256342927,308.5925081402572
g350,0.6843345883043475,4.715056335842574,8.939038451687898,8.479275953159863,4.477245553493798,1.9311771265336115,0.9578960335166548,0.49537112306310266,0.29379549393961985,0.16727690530326528,0.08067579900524138,0.037555345080444114,0.01827356339163262,0.018273563391632625,0.009684070937217064,0.005642530067190954,0.0036043990715790637,0.0024429724118199096,0.0017246165857318597,0.0012487314097834996,0.07020476964251704,177.18187102342432,439.3590616859387,746.4506651584982,160.60004810055239,113.49955994697899,283.8003972818839
g375,0.6134631816669117,4.248075723410642,8.21885942559373,8.072237739005166,4.508773784346809,1.9835027000691614,0.9702174336335126,0.4592626610888132,0.2260553819485482,0.12098977109403196,0.0571459447974463,0.027299235200394657,0.014449444804913704,0.014449444804913713,0.008608309145575787,0.005611811994520425,0.0039013418746038104,0.002791636471707434,0.002026607200324207,0.0014762922875079727,0.07920911444500124,163.83629831056015,430.42496381557,677.9738362475817,143.2856820640016,99.22962837892067,253.7758330048636
g400,0.5587351393002749,3.8911181881897474,7.666738665465867,7.823374532078899,4.673114856781334,2.1274218908117817,1.046324885660053,0.4769021470989283,0.19757906724535723,0.0892324750745538,0.04074633966413295,0.02005963348029463,0.011564255752873629,0.01156425575287363,0.00764485967974273,0.005484158759484774,0.004120761778181946,0.0031420094560405975,0.0024044952582154638,0.0018304406029253757,0.08942339502425067,151.96011571100541,421.37858526893575,598.5721612746561,129.56936884068554,86.29487658624711,223.6526123259367
g425,0.5087898179065624,3.5800544522957978,7.221846939772762,7.707415266296567,4.945761531314544,2.3510059977972824,1.1953064019333282,0.5589822806837114,0.21282215196120047,0.07648693776693596,0.03133799686536666,0.015325254433446662,0.009277300110279682,0.009277300110279678,0.006529588345395682,0.004975094117995712,0.003942285772902157,0.0031576618482841786,0.002532684244440671,0.0020190713028651113,0.1012433940336009,141.17353140396472,411.8664505575967,516.7909707408895,118.99141661409857,74.92666270096964,196.09118362736712
g450,0.4674618274069989,3.3300930040243464,6.90994314583619,7.745321022738974,5.360982213618104,2.6794821364994923,1.4035589501937162,0.6851406150057062,0.26886791826605144,0.08420757436460381,0.02748661371130261,0.012076739026014412,0.007287996771420643,0.007287996771420642,0.00527201204939142,0.004146986046929027,0.0033869896986490344,0.0027944265233919735,0.002310172777857683,0.0019017228938303463,0.11451842739766573,131.32348430627587,401.9401296282069,437.8952681591195,108.56626239621123,63.86246984585661,170.09319593431965
g475,0.4340608977516015,3.1413112692452274,6.7327254691155565,7.948710518744035,5.949253535522536,3.153692058906577,1.7086283047665294,0.8865244813365457,0.3761728234594308,0.11875311781408003,0.03120336564940933,0.010408798909293656,0.0056646482739098475,0.005664648273909843,0.004059318000714107,0.003223244196174885,0.0026669203239055137,0.0022299073778833368,0.001870352175613756,0.0015645259007703415,0.12998465967154083,122.51287515313349,392.2312744285485,366.77611752465225,99.82746686810133,53.89911611210642,146.279065233519
g500,0.40810160473989604,3.0095479598443746,6.689927671777892,8.331288584432677,6.746267554822029,3.824781268530061,2.134239465801686,1.1713712659000384,0.5445435441670587,0.19010570661792503,0.047905945054045364,0.011469946156160659,0.004612626297802987,0.004612626297802985,0.003064522580843777,0.0024114097133401953,0.002000437824365921,0.0016793426194212893,0.0014151167983727164,0.0011897764527671975,0.14849335890652962,114.64253943035563,382.97694863249234,304.82687452446874,93.212574907482,45.31458958086238,125.3317535768525
g525,0.38995913484366845,2.935732495376377,6.780030899914317,8.8942863072257,7.783512075105359,4.759655691084113,2.722717121891089,1.5656679945066374,0.7910770526313414,0.31245681692461363,0.08720251688875583,0.01825318737495245,0.004590697806446281,0.004590697806446282,0.0023654212208189655,0.0017759817215735477,0.001464590465455456,0.0012290919323697373,0.0010359506251233638,0.0008712463777363243,0.1704333846818604,107.72611688422995,374.62681632036293,252.46263502648154,88.30451777752329,37.89482860463069,106.99060523905239
