,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,0.029415390427894428,0.20243974196970263,0.4040212262234635,0.3864097414785652,0.16980056764314538,0.04968540642356229,0.016808562650842913,0.009430931767063487,0.0068175284277528555,0.0046934060075626135,0.003192698433091193,0.002162772066549696,0.001460094862869185,0.001460094862869185,0.000972127373890896,0.0006364222780253142,0.0004115642325030329,0.0002608892230849705,0.00016205074239643668,9.828848687564298e-05,0.0010562321749886339,0.5346010231975658,0.7586626715460526,0.05546441994179093,0.005605382854926134,0.009526900615167961,0.02538121330174662
g025,0.02979433388056286,0.20722516202746977,0.41988072019896344,0.4151903989852257,0.20451563679902754,0.07503340311724226,0.027496335577005628,0.012129047834561304,0.007114273940353722,0.004750193909567664,0.003335169916545952,0.002371195046676724,0.0016929506063102198,0.0016929506063102203,0.0012025331356255778,0.0008477304655631216,0.0005959055839268611,0.00041460301539836156,0.00028552120402802896,0.00019380616469506348,0.0010405093821117335,0.6696053934528642,1.083091163657733,0.060191288621249936,0.006185684516546938,0.010850511758826668,0.02711739539241966
g050,0.02980147426810672,0.208680795003938,0.4267125604793818,0.4313103789302487,0.23051670171408278,0.10140562971593274,0.04516824740443234,0.019580057671245727,0.008629251276249673,0.004817941426291901,0.0032562954709299823,0.002351859353614344,0.0017277011493636515,0.0017277011493636518,0.0012667973867522713,0.000923225816997724,0.0006720211803922095,0.0004853676531072635,0.00034817375523124274,0.00024722704853039925,0.0010335547318394414,0.8076962039241403,1.4621775395263725,0.06938439542304822,0.006928927817252954,0.013288487987004216,0.030412263953708687
g075,0.029524972905017984,0.20757964329230286,0.4266503135845308,0.4377971322560876,0.24860388174623244,0.12474567196519483,0.06442823369726064,0.029636574045457928,0.011287454094155094,0.0051483438372950645,0.0031731350178022207,0.0022745085463121597,0.0017002082781933517,0.001700208278193352,0.0012737821478821466,0.00094804427286226,0.0007040747728647218,0.0005186252625634109,0.0003794978756550965,0.0002750814548866468,0.0010334845712286574,0.9400580203281075,1.8671870689836132,0.08954283420833992,0.00796986210236192,0.017734958282059083,0.03615632202036311
g100,0.028985624798680925,0.2039430330123169,0.41914564927589004,0.43221115889225387,0.2532822893332222,0.1377599108894881,0.0821403203391374,0.04438763601904316,0.017278395778120965,0.006595581665142492,0.003293019191549923,0.002161804659533545,0.0016014176199070018,0.0016014176199070011,0.0012184914532833034,0.000925492277467385,0.0007014618762917838,0.0005270240523654351,0.0003932627605766774,0.00029072550125223284,0.0010570862722419042,1.0621038477887454,2.2749904738338476,0.13061643058111905,0.009748887711797959,0.025976141585178684,0.046789045667969785
g125,0.0282838870952217,0.19878831008895093,0.40715786446668256,0.4191381133865822,0.24812092290322038,0.13949807711927867,0.09127075683422113,0.05704397679957101,0.025111630814236605,0.009466191631736174,0.003933309787508943,0.00215685956859178,0.0014858984470424827,0.0014858984470424827,0.0011221768164662465,0.000864366203437264,0.0006677010343389953,0.0005116604796196739,0.0003894684756811238,0.0002938339190117646,0.001105488412868591,1.1731305494621835,2.6642931908918275,0.19897525312572684,0.013530506483373552,0.04076080281415458,0.06766653092744758
g150,0.027451399755585904,0.19257105087752746,0.39250803960056646,0.40294687797333406,0.2404259336419337,0.13937959383169232,0.09961965803936279,0.0714614507710982,0.0362448512615385,0.014734844251425955,0.005642601489863298,0.0024976234831379997,0.0014408082535203664,0.0014408082535203666,0.00101322097072215,0.0007734895210711361,0.0006051043347010058,0.00047209108180383774,0.0003662456013414873,0.0002817470984603649,0.0011749639750658768,1.2714871483678383,3.018729173845249,0.3319816665116452,0.022560815040400223,0.06764668672157574,0.11511037205980691
g175,0.02649117473132772,0.18536346450330068,0.37537279079975855,0.38357801477884673,0.228152580412226,0.1321175411749175,0.09812510687581057,0.07773679644744363,0.04504984098057234,0.02063040604024943,0.008226055310066049,0.003290490015551289,0.0015445404908419357,0.001544540490841935,0.0009166903978642342,0.0006510554650755318,0.0005038853054032394,0.0003979787931914786,0.00031478303870982724,0.0002474140301319524,0.0012768768973854534,1.3604908271362528,3.3442786098055435,0.5986925893808372,0.042335032754413804,0.11528388625934072,0.22477299157884392
g200,0.02538500804832388,0.17729318861389576,0.3568289328576089,0.36395965622397225,0.21549801057602627,0.12306516074746163,0.09221112690189943,0.07819934609313085,0.04980328882376,0.025208389305908314,0.01086379081444254,0.004354984948274662,0.0018115207659059067,0.0018115207659059071,0.0008720768483992894,0.0005221389264412061,0.0003752400325388796,0.0002928359601322834,0.0002351397477322668,0.00018957847778642504,0.001413799649733571,1.444794338409273,3.6530550716945993,1.0411397469713,0.07666289459862793,0.18599364861501,0.425171768478103
g225,0.023992217582608034,0.16768893728282383,0.3367275256071178,0.3447802338729847,0.2025879031199892,0.11221446712219986,0.08156451815005614,0.07062714815866557,0.047784020115573846,0.025843119103508307,0.011867850419673164,0.00493632093777314,0.0020050813914473287,0.0020050813914473287,0.0008554877905397046,0.000425154972056536,0.0002643814387293902,0.00019419600192542732,0.0001556823758383468,0.00012894579693653035,0.0015864242277499477,1.5259016575161037,3.9539317307048614,1.678852256107023,0.13137349918571672,0.2792600011682541,0.730911181321938
