,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,1.735967632271518,19.24624468407605,64.69515674068994,132.9664077612619,203.09313044470645,247.93758588263816,250.82015664440664,215.73562255611947,159.08378623958166,100.80681831534172,54.611798837384846,25.45087107009237,10.049101629307463,10.049101629307463,3.2374114757882047,0.795345525750015,0.1579216822360366,0.027214131006601992,0.004197230468516134,0.0005861858503414194,0.43725085653622364,78.83722536861998,319.27899214858724,505.4981625843467,199.10523929019354,252.43116222462353,608.4213047900469
x-075,1.6023650305036452,19.360771420320557,67.59090030448371,143.61234460214015,228.10053080620233,294.0542956995646,319.4330916837941,299.1232612889673,245.5502330309556,178.6159567582755,115.74371378088658,67.92393880447904,35.753549114668246,35.75354911466824,16.56509325652316,6.608401048531901,2.2401432971518425,0.6100597360580803,0.14106126262365537,0.02959086428250822,0.46442181765691687,85.75164768701414,369.75116290215374,773.7026821972307,263.59332580902935,372.5100332815888,944.3808302220647
x-050,1.3637973088446342,17.81586258172091,64.90033235120087,143.11870515638222,237.62371345755125,324.2230033087404,378.39141841024497,386.2360984913689,350.95195782240245,286.01182103509257,212.96372689524583,147.19104554183536,95.122737204084,95.12273720408395,55.87978399599086,29.819252189798053,14.481720489543338,6.0997919971409384,2.1190935366363393,0.6037537672597837,0.49724377978058176,91.63638636761345,418.64873135942554,1105.01276820798,299.72429503876197,510.36169583391796,1331.9015800218658
x-025,1.089464735823742,15.182031445588475,57.9492425086237,132.955039001327,230.16648157345446,331.2083837265177,415.8845353206261,464.7465087992957,466.5656969141116,424.3469352348739,356.7921926036132,281.33885578926214,210.30931329012486,210.30931329012463,146.89620270039163,96.59964935941204,59.74482329425116,33.81375660235291,17.13782455784678,7.721869695783823,0.5462135009106681,97.24919400325795,469.3862106372877,1451.8841241779933,298.47605685656504,649.7540078391899,1671.001437819776
x000,0.8497311268381833,12.428777460145579,49.62156787752659,118.71736305454614,214.86281931123622,325.5492035366855,433.27279386336585,518.2725022547005,568.5831627148197,575.063393796329,540.7713277755074,477.1784649798768,399.7970345100278,399.7970345100277,318.0443956345206,241.7925717838657,176.35992883087397,121.66756983519039,78.0009160367015,46.28530044771955,0.6254114868130638,102.34399813371847,521.0533603628905,1759.330672375332,286.01849786313886,757.2583610540469,1838.1724035745494
x025,0.6544891981015515,9.960033016297531,41.43669213330035,103.27669921211645,194.82706912489823,308.25387897782457,431.5931339263286,550.4438771451917,649.8357167587866,710.7623214699262,729.0143488199064,707.5527583321629,652.456461060291,652.456461060291,572.7852084952576,483.36721478369736,395.035129489412,312.1788120389017,235.38905509076918,169.14111127575245,0.7389530477796746,107.32346537183331,575.8939567885822,2023.0955047209493,326.526881198581,791.5305508741241,1788.841368669433
x050,0.49516597353325936,7.983400633162343,34.4900737425125,89.23189185672632,174.97632794677293,288.43129292871413,421.5018902216478,561.2607909387405,692.1969412459663,799.4993834116018,879.684050084724,924.4949893310469,924.1256480776367,924.125648077636,880.1485100664859,807.2141303886581,718.7645999113546,622.9802105398317,524.1371989670057,428.1855747608144,0.8773523863981987,111.88688511110466,633.557485236865,2240.7749559559297,475.22080643596314,773.1381610996143,1550.7654266651355
x075,0.3580700548441463,6.0910281467974325,27.341401187151632,73.38622357105729,149.31238965894835,255.2721811515029,387.0195641333928,537.2888485650764,697.7305959920103,857.0389797600877,1004.4765691530457,1121.8249344899366,1193.553538989269,1193.553538989269,1218.1301872812342,1203.9095587456268,1158.5732091780183,1083.7610156774317,988.4585101991396,878.4942363553289,1.0218690364035186,115.74439464372752,693.9683082978744,2448.7942735328306,756.7682591370174,761.0686833443979,1255.2733484956373
x100,0.24030918082632632,4.583131691534132,21.91409966932086,61.39195409957891,129.90639815539342,230.62757414885047,362.9620707833798,523.0420746588019,704.3177107092092,895.990198034008,1089.7062985774485,1275.6766195223959,1445.7751713052187,1445.7751713052185,1595.855813328347,1716.1601444254518,1801.5997686622277,1836.9447804636518,1828.6130113335832,1779.077994831645,1.213328626379151,118.9542850306283,759.5173548524948,2709.1124334940746,1182.1453932399404,949.5761856488449,1347.580835795097
x125,0.13901538634472352,3.0410320181537207,15.654800954178043,46.18770559391265,102.20691703418998,189.19749560476913,309.99299300304597,465.03134957256333,652.9031568751079,870.418629664811,1115.6043527565535,1383.3031974770906,1662.2583623333842,1662.2583623333835,1936.919140674366,2192.8672366239016,2435.50849593181,2647.785327598668,2835.5486538279097,2990.1856929210344,1.453938700703878,120.03719961522295,822.9234401491559,2812.9503403382955,1380.8450824081917,1278.4138681009185,2392.742456879866
