,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,0.101370524674991,1.0457561345672164,3.6069511718825567,7.9958783270657845,13.813931093980575,19.955076602550662,24.620646484871436,25.85678891853042,22.70699436133268,16.433738035910356,9.720970818414251,4.719556796348725,1.875856433764775,1.8758564337647745,0.6046110627362562,0.15095402479761294,0.03061887448856293,0.005361342360229092,0.0008373248841124659,0.00011808562322748715,0.08051090858093161,2.2368719145668163,9.141902247980328,19.59277206325156,2.7545220465608304,17.815422065310557,12.986317464009199
x-075,0.10665016167928058,1.1692032529562646,4.1559647259887695,9.430845499804496,16.65179994467286,24.713406475322515,31.720290949827387,35.442557335023125,34.22318026817111,28.37373333505154,20.207258967262604,12.52518823300633,6.713444748379341,6.713444748379341,3.095217399709988,1.2264462094575321,0.4224193268390162,0.1187065273917963,0.028047034843499845,0.005955324768756726,0.08385814679490301,2.6735632734095116,11.74730049010817,32.912432211609776,4.269840455045633,29.18526249761572,22.41690791161998
x-050,0.10928924708709634,1.2721160999963461,4.656373213134528,10.824439497780578,19.55578664650747,29.795128841204622,39.66923484718981,46.6470015253268,48.58417127114922,44.61982089436068,36.438328201095764,26.81957018251613,17.879058954978596,17.87905895497859,10.554389691892565,5.560462106476647,2.6566576849108037,1.1204846613333102,0.3982137931308902,0.11646793332841994,0.08754332945040406,2.9952421896185935,13.986611046087626,54.63980044348406,6.470652901079114,45.26916502931462,37.91711259264808
x-025,0.1092117740247049,1.3518122739772063,5.101221283551247,12.140257079992736,22.433421272621267,35.05832783014359,48.22364315906663,59.3430255569792,65.94901881194248,66.04409504591796,60.20948656354599,50.50573912502122,39.31041479102175,39.31041479102175,27.9509840111789,18.37477285954902,11.22879122411765,6.2530035296999325,3.1563625354539266,1.452295508007486,0.09445283918348688,3.2366687972879795,15.990099465830154,85.96752923500262,9.605066057816078,66.22837366838651,60.03620448334331
x000,0.10410673557436256,1.37440532568677,5.363391171879298,13.083147197476535,24.72793517189693,39.605636214639,56.1692287718087,72.08551307136915,84.84643229256022,91.46050988007168,91.1641014923195,84.73059730093124,73.97778705900973,73.97778705900969,60.43382814075896,46.43694706456391,33.831643689076124,23.153857200450624,14.675792917524229,8.63705816977597,0.10801430937908227,3.4637262419828665,18.03579042558227,124.87018578274336,15.372413314659736,88.34279990894355,84.99380265315587
x025,0.09427979434185971,1.3335339727850715,5.395018215831011,13.515898452465802,26.156357800444166,42.937125822691264,62.6911245769513,83.33529228220816,102.27586585020454,116.31354420995567,124.23766555735068,125.36668745432274,119.66120694514065,119.66120694514066,108.0489024194253,92.74640759831847,76.23510708188954,60.149282777322455,45.06801163621751,32.1219259801342,0.12949563972229214,3.755578811575983,20.490904752358613,167.35918722199554,29.76189276702698,104.52794093191434,105.46842501001088
x050,0.07918779479947193,1.218935517026647,5.1543907709082895,13.30582704095312,26.390471417153414,44.3277982530123,66.21242192289644,90.25778758374408,114.21202445489004,135.6313967630644,153.38041319059732,165.37500232861294,169.4521616335535,169.45216163355346,165.23915535618818,154.26612202995247,138.56344334067214,120.29465741376106,100.85261819240054,81.85140340325354,0.15777369857134318,4.144738413934931,23.592412156089694,209.21984665104492,60.153669219026874,114.85848903487035,115.017423506863
x075,0.06218176711856226,1.0281415233173048,4.541511643187448,12.1235188286282,24.748052224851364,42.69669067693494,65.5401554357808,92.2616528659629,121.52514263889721,151.36625740387538,179.91745448844955,204.068810720218,220.94136702884612,220.94136702884606,229.58263360687624,230.18435013158938,223.27399650021883,209.3816684786744,190.6771941577551,168.69055717972776,0.18987166806758893,4.596579925409322,27.312926282324998,251.350683613417,110.61943896760043,125.02871284128665,117.16473895274734
x100,0.04454010262819973,0.8304312322583121,3.9133557189117307,10.892712889933252,23.031170277688997,41.02119327333895,64.93774341955375,94.27976393431638,128.06673357494904,164.56941718953647,202.4392508073032,239.8868327796735,274.957639223067,274.95763922306685,306.1643341825708,330.9559261587619,348.19727798489527,355.0673255273962,352.9187194962064,342.29304069656246,0.23122605973701932,5.13158483840332,31.896965689001146,299.4776344313688,184.72877079250623,164.6781129184744,173.16025968200177
x125,0.026989274563551532,0.5887637340645439,3.0186741540478765,8.873702748120463,19.592731335665448,36.25266744715176,59.46496608079376,89.39699620405491,125.83868306359544,168.18732157903972,215.99824960306216,268.19260787444347,322.52326317349736,322.5232631734974,375.94437776183776,425.6137075320977,472.60569685691826,513.5422336119079,549.4456250913864,578.5481869573001,0.27972263827164084,5.813411169495914,37.96263201699779,320.39522286430184,218.33174669169526,217.4522562859568,374.17696731209617
x150,0.01346353415399965,0.3288591118561762,1.8559490761634085,5.857753276303391,13.674325022904531,26.451409583815405,45.126981068583284,70.16277695429864,101.74031794027019,139.75202612613717,184.0355470460742,234.1500035833152,289.0502396392298,289.0502396392296,346.09281888768555,404.9497735904208,466.850908119572,528.175882434999,587.6651055694497,641.417660285827,0.24580029122605887,6.618540044504267,45.37317719306539,308.71899400022755,165.61552434014175,182.7052984150219,393.61059304449617
x175,0.006553542896777747,0.16578240381911763,0.9799464734782554,3.2314261994811537,7.836328596330728,15.705999929874219,27.695365895522453,44.45621816601857,66.46406804812786,93.85741085553464,126.75686211718943,165.05416859218016,208.02707357161358,208.02707357161358,254.3608421871165,303.5453206922262,355.8254089184485,409.08908376979736,462.8951407408704,515.7918704907624,0.16970164358690654,7.4229144257775115,53.25369573988468,287.86701047218025,103.85225325413779,132.6647741220992,332.49464196117265
x200,0.0036778492448607393,0.09464165868986743,0.5719395228338517,1.92908288416368,4.775315813927821,9.748820879030045,17.498152169784756,28.553518728293785,43.42112839587246,62.34438337913186,85.57746102395157,113.07306050667276,144.6280568205273,144.62805682052726,179.7564518799753,217.95555369934974,259.00932783932586,301.7968421510168,345.9305683178379,390.1495390230633,0.1057135038864151,7.884908049882685,58.862467801537306,302.3328036611439,57.199170826519065,87.49428664516809,268.7701478113231
x225,0.0020572996666364156,0.05366463615361487,0.33007441096058937,1.1328664784237112,2.848019641465361,5.8995514867023084,10.716838739425983,17.691728455296484,27.176576683505118,39.45050573948608,54.710254846736234,73.04115482120224,94.34211036789084,94.34211036789081,118.64474217789055,145.62173866845754,175.01261967710522,206.41832203029375,239.48926236592789,273.71629830338037,0.058710559703293225,7.9192628147143855,60.958940931097175,483.97165060754867,28.074233980602184,50.388891276003946,194.55833369263115
