,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,0.08557113997015948,0.565648455373129,1.0490078205353834,0.8906942145006018,0.3217368075620778,0.0858123350047181,0.02918052784835605,0.016484303691253303,0.011885998082332462,0.008243113211667645,0.005679888339963094,0.0039093383439421925,0.002679710006628382,0.002679710006628382,0.001807683565817072,0.001194490264902189,0.0007764693176572676,0.0004930461616208327,0.00030599167155866765,0.00018512776015471,0.0018667797231525555,1.9179012386436183,2.4072460960705313,0.13866878671123198,0.022860155502050363,0.032097051979137675,0.082690821114105
g025,0.08537358410603378,0.5691538038243916,1.0654733520322701,0.9279265489910709,0.3779550619380487,0.1286294126419221,0.04749353059119615,0.021208047700672975,0.012442754336877594,0.008382925132903838,0.005964859435121156,0.0043057537509954705,0.0031162910419911824,0.003116291041991184,0.0022375172331450047,0.0015880133907188758,0.0011196184972431385,0.000779249433401568,0.0005360610245090143,0.00036335559355897074,0.0018327718155070139,2.3092217467871112,3.2870095299515945,0.15209385689069202,0.024827850324788892,0.03719808469948199,0.088673507347986
g050,0.08416289071422364,0.5642933319714675,1.061683907837913,0.9417566222542649,0.4201640808563754,0.17430785497782597,0.07904370278992211,0.035047571930272754,0.015363452052844201,0.00858293227563595,0.005863400499191719,0.004296415692961738,0.003197657307400382,0.003197657307400382,0.0023689818900780955,0.0017382886105052366,0.001270112373995548,0.0009191498485471736,0.0006602381152168773,0.00046964118300869975,0.0018153470894217048,2.6913855436019722,4.2660677810685845,0.18035405081629197,0.027531592940749337,0.04662040850540484,0.09960289550710086
g075,0.08211101079235834,0.5527002587021289,1.0419667150693996,0.9374060266021174,0.4483253371372546,0.21465819797059096,0.11371785703734101,0.053857519796828734,0.020446172332022457,0.009272923221568455,0.005748273069388165,0.004172073101800421,0.0031556800048662785,0.0031556800048662794,0.002386102042620333,0.0017864926914957174,0.0013310521980237715,0.0009821187265082211,0.0007195706982335103,0.0005225164806804995,0.0018119367806037985,3.045795273049899,5.27736842989728,0.24192473121026473,0.0319051098231576,0.06398516448971611,0.11884636436068594
g100,0.0791564986911216,0.5342026316633409,1.0063255137523566,0.913170548934192,0.4565497377331742,0.24146710816389208,0.14976218531299249,0.08377091939157057,0.032532376140036304,0.012227478229445976,0.00604516549322797,0.003985875426230713,0.0029793848029100335,0.002979384802910033,0.0022848069312074197,0.001744213903356745,0.0013256450112955611,0.000997500776851353,0.000745291789182251,0.0005519951975447987,0.0018506744190730038,3.3653809672240778,6.268976888269988,0.3571455161933367,0.04070526351740697,0.09621923752582279,0.15570070208679565
g125,0.0750884543370169,0.5086495198463049,0.9587660203422042,0.8750695863197855,0.4474540376895979,0.24822352676212497,0.16961240742838424,0.10896413563815226,0.04776861881794639,0.01778493438579049,0.007305344533267139,0.003997304796855177,0.0027684484829943855,0.0027684484829943847,0.0021040298180808052,0.00162780907445969,0.0012606812537969661,0.0009676488270243659,0.0007377134442329032,0.0005577609209589431,0.0019370914523047372,3.6532350800904507,7.205477596143819,0.5589877141427575,0.06169864129394568,0.15484342707395446,0.23354679845498877
g150,0.07015926857008999,0.47731692942701426,0.9056166860919087,0.8309914065879326,0.4342610283296414,0.2520568187730355,0.18801773946229203,0.1372224345279634,0.06900448322024505,0.02772958936774516,0.010526082577916384,0.004644303281387661,0.0026873935501210166,0.0026873935501210166,0.001900183822205503,0.001456702314937105,0.0011426006689250205,0.0008931335247584113,0.0006942222242668225,0.0005353858546401014,0.0020619993410037904,3.9051989980012314,8.063585582355225,0.9635088597790507,0.1109423984558856,0.25848829789171246,0.40989976206268314
g175,0.06658549497271467,0.45179126602752784,0.8542864207491885,0.7798787864317357,0.4106514244631691,0.23933509044028378,0.18417027525878082,0.147080595599903,0.08438022983405868,0.038276982731216276,0.01520123847619512,0.0060902836542195945,0.002875924696974634,0.0028759246969746336,0.0017193924257299241,0.0012275125191535843,0.000953002081693699,0.0007544877206797571,0.0005982467744601449,0.000471653112989272,0.0022496923602598265,4.124210297221637,8.853054390272819,1.7376001904257736,0.20451591389446225,0.4252559906161682,0.7762892461807038
g200,0.06312138004369425,0.42743342785381017,0.8014338106488905,0.7274713331800291,0.3859912984813093,0.22258113410201402,0.1716840684994865,0.14589333632495546,0.0920303562096419,0.04634170999878925,0.02004253824926766,0.008109061734226196,0.0034106568191091735,0.003410656819109173,0.0016570954787298476,0.0009964825172286852,0.000717051064421708,0.0005603248347039229,0.00045098020952465074,0.00036483798513566425,0.0025015561739518766,4.328648748872016,9.606350492051034,2.9783823104576483,0.3512699576849673,0.6567122323414246,1.3977843147812894
g225,0.058904082905562566,0.39911361601984857,0.7435207425489079,0.6750794448108304,0.36078470671521445,0.20238728062129815,0.15076591211352827,0.1304018226381239,0.08783010737436571,0.047801482347903324,0.02233477481381312,0.009484292957065474,0.003923337417047351,0.00392333741704735,0.0016926220389420763,0.0008409647662762307,0.0005189603346723999,0.0003789963882948455,0.0003035791165722729,0.0002521224937491165,0.0028182500555940628,4.5195653411761665,10.348294769468485,4.644670152130071,0.558007011366561,0.9344027739605333,2.2542102589328095
