ID,Sample,T,SE_T,D47,SE_D47,Dataset,Tcorrel_01,Tcorrel_02,Tcorrel_03,Tcorrel_04,Tcorrel_05,Tcorrel_06,Tcorrel_07,Tcorrel_08,Tcorrel_09,Tcorrel_10,Tcorrel_11,Tcorrel_12,Tcorrel_13,Tcorrel_14,Tcorrel_15,Tcorrel_16,Tcorrel_17,Tcorrel_18,Tcorrel_19,Tcorrel_20,Tcorrel_21,Tcorrel_22,Tcorrel_23,Tcorrel_24,Tcorrel_25,Tcorrel_26,Tcorrel_27,Tcorrel_28,Tcorrel_29,Tcorrel_30,Tcorrel_31,Tcorrel_32,Tcorrel_33,Tcorrel_34,Tcorrel_35,Tcorrel_36,Tcorrel_37,Tcorrel_38,Tcorrel_39,Tcorrel_40,Tcorrel_41,D47correl_01,D47correl_02,D47correl_03,D47correl_04,D47correl_05,D47correl_06,D47correl_07,D47correl_08,D47correl_09,D47correl_10,D47correl_11,D47correl_12,D47correl_13,D47correl_14,D47correl_15,D47correl_16,D47correl_17,D47correl_18,D47correl_19,D47correl_20,D47correl_21,D47correl_22,D47correl_23,D47correl_24,D47correl_25,D47correl_26,D47correl_27,D47correl_28,D47correl_29,D47correl_30,D47correl_31,D47correl_32,D47correl_33,D47correl_34,D47correl_35,D47correl_36,D47correl_37,D47correl_38,D47correl_39,D47correl_40,D47correl_41
01,BONI_IPGP_100_A3,102.30,2.00,0.4281,0.0175,Anderson et al. (2021),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.222110,0.317724,0.077458,-0.020121,0.029214,0.012564,0.031079,0.019317,0.020076,0.023060,0.047143,0.058303,0.018245,0.012619,0.010119,0.052486,0.058241,0,0,0,0,0,0,0.086650,0.064084,0.089856,0.061419,0.104828,0.111535,0.048989,0.087255,0.059705,0.110097,0.056972,0.091169,0.076302,0.010856,0.090281,-0.001468,0.000032
02,BONI_IPGP_250,252.10,2.00,0.2798,0.0290,Anderson et al. (2021),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222110,1,0.085353,0.047971,-0.016389,0.010468,-0.009289,0.011687,-0.007984,0.009730,0.007150,0.015237,0.057158,-0.011946,0.005898,0.005327,0.020549,0.045047,0,0,0,0,0,0,0.029273,0.023280,0.029581,0.022865,0.060638,0.036581,0.024362,0.037079,0.027356,0.146352,0.019636,0.029940,0.037963,0.007695,0.033230,-0.000624,0.000179
03,BONI_IPGP_350_A9,351.40,2.00,0.2320,0.0211,Anderson et al. (2021),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317724,0.085353,1,0.062178,-0.067192,0.010966,-0.030785,0.006012,-0.008188,-0.010830,0.011511,0.022567,0.051690,-0.019211,-0.034986,-0.021328,0.028712,0.051707,0,0,0,0,0,0,0.079597,0.058999,0.079480,0.049345,0.082480,0.134502,0.036122,0.106786,0.073367,0.094762,0.054710,0.107397,0.058941,-0.037761,0.063411,-0.001216,0.001738
04,BONI_IPGP_80_1,80.20,1.00,0.4949,0.0143,Anderson et al. (2021),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077458,0.047971,0.062178,1,0.043557,0.041409,0.042800,0.043390,0.045119,0.038159,0.034953,0.051901,0.040332,0.046020,0.045902,0.041267,0.046976,0.037179,0,0,0,0,0,0,0.066758,0.057544,0.057663,0.059084,0.069726,0.055741,0.047250,0.055017,0.043196,0.049137,0.043571,0.049498,0.060312,0.044090,0.062563,-0.000738,-0.001775
05,JOHN_HT_25C,25.00,2.00,0.6088,0.0155,Anderson et al. (2021),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020121,-0.016389,-0.067192,0.043557,1,0.063211,0.053574,0.054085,0.055515,0.043800,0.028338,0.044924,0.027188,0.052619,0.056429,0.065768,0.051862,0.026192,0,0,0,0,0,0,0.044693,0.041737,0.043472,0.040964,0.056539,0.034497,0.044565,0.027218,0.022056,0.017273,0.037740,0.033607,0.050480,0.073937,0.067186,0.004122,-0.024669
06,JOHN_HT_80C,80.00,2.00,0.4870,0.0150,Anderson et al. (2021),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029214,0.010468,0.010966,0.041409,0.063211,1,0.035148,0.039772,0.037369,0.029451,0.022466,0.033152,0.025479,0.034287,0.035495,0.042298,0.038040,0.031465,0,0,0,0,0,0,0.039012,0.034115,0.037521,0.032772,0.046133,0.039438,0.037049,0.030878,0.022928,0.026501,0.034554,0.038633,0.039857,0.045506,0.050096,0.010925,0.010399
07,KELE_AQUA_BORRA,36.10,0.10,0.5760,0.0140,Anderson et al. (2021),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012564,-0.009289,-0.030785,0.042800,0.053574,0.035148,1,0.052041,0.062186,0.092860,0.066761,0.078480,0.049687,0.083494,0.083230,0.059769,0.057237,0.027847,0,0,0,0,0,0,0.040621,0.057628,0.046785,0.049744,0.054932,0.032551,0.045328,0.036449,0.038764,0.026914,0.038379,0.029187,0.056239,0.063228,0.054376,-0.001049,-0.002535
08,KELE_BUK_4,54.90,0.10,0.5406,0.0151,Anderson et al. (2021),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031079,0.011687,0.006012,0.043390,0.054085,0.039772,0.052041,1,0.051181,0.055016,0.041377,0.047319,0.031610,0.048557,0.057389,0.059791,0.044466,0.030058,0,0,0,0,0,0,0.050868,0.066092,0.058402,0.059290,0.060851,0.045621,0.041930,0.038710,0.035979,0.029936,0.046574,0.039709,0.056389,0.054809,0.056985,-0.000568,-0.002327
09,KELE_CANARIAN,33.80,0.10,0.5835,0.0160,Anderson et al. (2021),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019317,-0.007984,-0.008188,0.045119,0.055515,0.037369,0.062186,0.051181,1,0.052435,0.044530,0.068984,0.038397,0.074177,0.072379,0.065588,0.047271,0.028172,0,0,0,0,0,0,0.052407,0.052460,0.050682,0.058011,0.061981,0.041283,0.041700,0.036472,0.032658,0.029740,0.036432,0.034570,0.050210,0.060066,0.053894,-0.000666,-0.002525
10,KELE_GAWATUPA,11.00,0.10,0.6277,0.0164,Anderson et al. (2021),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020076,0.009730,-0.010830,0.038159,0.043800,0.029451,0.092860,0.055016,0.052435,1,0.064661,0.078469,0.046349,0.077410,0.083360,0.060173,0.057837,0.019464,0,0,0,0,0,0,0.052111,0.079793,0.057788,0.069926,0.066210,0.045633,0.047628,0.058730,0.055769,0.039815,0.045371,0.036886,0.069741,0.068788,0.050163,-0.001183,-0.002392
