States,Electricity,Natural Gas,Propane,Heating Oil,Coal,Diesel,Kerosene,Wood,HOLDER,Region,States Full
AL,0.1159,0.044473684,0.032854556,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 3,Alabama
AK,0.2073,0.033322368,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,Alaska
AZ,0.1131,0.035559211,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,Arizona
AR,0.0991,0.042105263,0.037129295,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 3,Arkansas
CA,0.2233,0.053059211,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,California
CO,0.1175,0.037434211,0.035769883,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 4,Colorado
CT,0.2108,0.042269737,0.033138982,0.054644014,0.014436637,0.073643345,0.057949146,0,0,PADD 1A,Connecticut
DE,0.1183,0.040690789,0.033138982,0.053743542,0.014436637,0.073643345,0.057949146,0,0,PADD 1B,Delaware
DC,0.1494,0.049506579,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 1B,District of Columbia
FL,0.1251,0.046644737,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 1C,Florida
GA,0.12,0.037467105,0.033399001,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 1C,Georgia
HI,0.3972,0.145131579,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,Hawaii
ID,0.0851,0.023355263,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 4,Idaho
IL,0.1194,0.040131579,0.032113783,0.050587228,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Illinois
IN,0.1166,0.03125,0.035357786,0.051826876,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Indiana
IA,0.0957,0.036480263,0.030529766,0.051970582,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Iowa
KS,0.1147,0.040559211,0.029370805,0.051091431,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Kansas
KY,0.1051,0.040032895,0.036902735,0.053311091,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Kentucky
LA,0.1041,0.042828947,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 3,Louisiana
ME,0.1744,0.054506579,0.033138982,0.055704387,0.014436637,0.073643345,0.057949146,0,0,PADD 1A,Maine
MD,0.1332,0.046447368,0.038393832,0.052302788,0.014436637,0.073643345,0.057949146,0,0,PADD 1B,Maryland
MA,0.2127,0.051184211,0.033138982,0.055203977,0.014436637,0.073643345,0.057949146,0,0,PADD 1A,Massachusetts
MI,0.132,0.032894737,0.034805095,0.051645756,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Michigan
MN,0.1204,0.034835526,0.031359216,0.05249221,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Minnesota
MS,0.1036,0.040131579,0.032043177,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 3,Mississippi
MO,0.1026,0.037006579,0.030472129,0.051695264,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Missouri
MT,0.0997,0.033618421,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 4,Montana
NE,0.0883,0.033914474,0.029759819,0.052144014,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Nebraska
NV,0.1094,0.030888158,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,Nevada
NH,0.2107,0.053421053,0.033138982,0.054887556,0.014436637,0.073643345,0.057949146,0,0,PADD 1A,New Hampshire
NJ,0.148,0.043026316,0.036969643,0.052970377,0.014436637,0.073643345,0.057949146,0,0,PADD 1B,New Jersey
NM,0.1002,0.034013158,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 3,New Mexico
NY,0.1833,0.033914474,0.038786664,0.054430094,0.014436637,0.073643345,0.057949146,0,0,PADD 1B,New York
NC,0.096,0.040625,0.032245836,0.051196289,0.014436637,0.073643345,0.057949146,0,0,PADD 1C,North Carolina
ND,0.0842,0.031644737,0.028858128,0.05177911,0.014436637,0.073643345,0.057949146,0,0,PADD 2,North Dakota
OH,0.1064,0.027598684,0.035425056,0.053334051,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Ohio
OK,0.1005,0.038355263,0.033384346,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Oklahoma
OR,0.0926,0.033980263,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,Oregon
PA,0.1186,0.040361842,0.03671809,0.053393399,0.014436637,0.073643345,0.057949146,0,0,PADD 1B,Pennsylvania
RI,0.193,0.050296053,0.033138982,0.054118081,0.014436637,0.073643345,0.057949146,0,0,PADD 1A,Rhode Island
SC,0.1074,0.039967105,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 1C,South Carolina
SD,0.1044,0.030427632,0.03033557,0.053972222,0.014436637,0.073643345,0.057949146,0,0,PADD 2,South Dakota
TN,0.1089,0.037927632,0.04352145,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Tennessee
TX,0.1016,0.038026316,0.035793256,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 3,Texas
UT,0.088,0.029342105,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 4,Utah
VT,0.1699,0.028717105,0.033138982,0.058795408,0.014436637,0.073643345,0.057949146,0,0,PADD 1A,Vermont
VA,0.1075,0.037960526,0.035895577,0.051583743,0.014436637,0.073643345,0.057949146,0,0,PADD 1C,Virginia
WA,0.0905,0.034967105,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 5,Washington
WV,0.0974,0.031875,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 1C,West Virginia
WI,0.1195,0.031414474,0.032732258,0.051564063,0.014436637,0.073643345,0.057949146,0,0,PADD 2,Wisconsin
WY,0.0824,0.036414474,0.033138982,0.054316626,0.014436637,0.073643345,0.057949146,0,0,PADD 4,Wyoming
INT,0.11014902,0.030452798,0.08504033,0.046870077,0.014436637,0.073643345,0.057949146,0,0,INT,International
