Country,Index Name,yfinance Ticker,Fuzzy Names
Argentina,S&P Merval,^MERV,"argentina s&p merval, merv, s&p merval"
Argentina,S&P/BYMA Argentina General,SPBYCAP.BA,"argentina s&p/byma argentina general, s&p/byma argentina general, spbycap"
Australia,ASX All Ordinaries Gold,^AXGD,"asx all ordinaries gold, australia asx all ordinaries gold, axgd"
Australia,S&P/ASX 200,^AXJO,"australia s&p/asx 200, axjo, s&p/asx 200"
Austria,ATX,^ATX,"atx, austria atx"
Belgium,BEL 20,^BFX,"bel 20, belgium bel 20, bfx"
Belgium,BEL Mid,BELM.NX,"bel mid, belgium bel mid, belm"
Brazil,Bovespa,^BVSP,"bovespa, brazil bovespa, bvsp"
Canada,S&P/TSX 60,^TSX60,"canada s&p/tsx 60, s&p/tsx 60, tsx60"
Canada,S&P/TSX Composite,^GSPTSE,"canada s&p/tsx composite, gsptse, s&p/tsx, s&p/tsx composite"
Canada,S&P/TSX Smallcap,^SPTSES,"canada s&p/tsx smallcap, s&p/tsx smallcap, sptses"
Chile,S&P CLX IPSA,^IPSA,"chile s&p clx ipsa, ipsa, s&p clx ipsa"
China,CSI 1000,000852.SS,"000852, china csi 1000, csi 1000"
China,Shanghai Component,000001.SS,"000001, china shanghai component, shanghai component"
Czech Republic,PX,^PX,"czech republic px, px"
Denmark,OMXC25,^OMXC25,"denmark omxc25, omxc25"
Egypt,EGX 30,^EGX30,"egx 30, egx30, egypt egx 30"
Egypt,EGX 70,^CCSI,"ccsi, egx 70, egypt egx 70"
Finland,OMX Helsinki 25,^OMXH25,"finland omx helsinki 25, omx helsinki 25, omxh25"
France,CAC 40,^FCHI,"cac 40, fchi, france cac 40"
Germany,DAX,^GDAXI,"dax, gdaxi, germany dax"
Germany,Euro Stoxx 50,^STOXX50E,"euro stoxx 50, germany euro stoxx 50, stoxx50e"
Germany,HDAX,HDAX.DE,"germany hdax, hdax"
Germany,SDAX,^SDAX,"germany sdax, sdax"
Germany,TecDAX,^TecDAX,"germany tecdax, tecdax"
Greece,Athens General Composite,^ATG,"atg, athens general, athens general composite, greece athens general composite"
Greece,FTSE/Athex 20,FTSE.AT,"ftse, ftse/athex 20, greece ftse/athex 20"
Hong Kong,Hang Seng,^HSI,"hang seng, hong kong hang seng, hsi"
Hong Kong,Hang Seng China Enterprises Index,^HSCE,"hang seng china enterprises, hang seng china enterprises index, hong kong hang seng china enterprises index, hsce"
Hungary,Budapest SE BUX,^BUX,"budapest se bux, bux, hungary budapest se bux"
India,BSE Sensex,^BSESN,"bse sensex, bsesn, india bse sensex"
India,India VIX,^INDIAVIX,"india india vix, india vix, indiavix"
