Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
2019-05a,107,89,-4.552,25.420,0.0195,0.0354,0.0384,0.742 ± 0.018,0.594 ± 0.205,-0.719 ± 0.007
2019-05b,36,18,-4.552,25.416,0.0324,0.0514,0.0429,0.795 ± 0.029,-0.582 ± 0.361,-0.724 ± 0.012
2019-06a,79,19,-4.558,25.429,0.0138,0.0397,0.0348,0.787 ± 0.020,0.144 ± 0.236,-0.748 ± 0.008
2019-06b,61,10,-4.549,25.442,0.0135,0.0281,0.0287,0.732 ± 0.023,0.186 ± 0.254,-0.732 ± 0.009
2019-06c,79,24,-4.554,25.430,0.0235,0.0486,0.0369,0.746 ± 0.020,0.122 ± 0.223,-0.742 ± 0.008
2019-06d,56,24,-4.553,25.420,0.0218,0.0492,0.0403,0.757 ± 0.024,0.183 ± 0.255,-0.750 ± 0.009
2019-07,44,15,-4.566,25.428,0.0321,0.0411,0.0354,0.808 ± 0.027,-0.518 ± 0.278,-0.767 ± 0.011
2019-10a,7,5,-4.781,24.932,0.6249,0.8216,0.0286,0.655 ± 0.073,0.018 ± 0.649,-0.745 ± 0.031
2019-10b,113,40,-4.499,25.587,0.1594,0.3805,0.0387,0.787 ± 0.017,-0.090 ± 0.181,-0.778 ± 0.007
2019-10c,60,10,-4.532,25.494,0.0351,0.0515,0.0346,0.807 ± 0.023,-0.160 ± 0.245,-0.791 ± 0.009
2019-11a,16,10,-4.517,25.545,0.0425,0.0792,0.0293,0.728 ± 0.046,-0.145 ± 0.382,-0.754 ± 0.018
2019-11b,6,2,-4.469,25.612,0.0730,0.1188,0.0309,0.609 ± 0.114,1.670 ± 1.262,-0.649 ± 0.054
2019-12a,81,86,-4.531,25.484,0.0179,0.0378,0.0466,0.805 ± 0.019,0.370 ± 0.230,-0.766 ± 0.008
2019-12b,38,14,-4.538,25.483,0.0148,0.0310,0.0401,0.830 ± 0.028,-0.359 ± 0.322,-0.784 ± 0.010
