UID,Session,Sample,d45,d46,d47,d48,d49
4514,Session0,ETH-3,5.443603333,12.41463,17.655535,24.94642167,41.07819833
4515,Session0,ETH-4,-6.333291667,-4.913648333,-11.707225,-9.640453333,2.006013333
4516,Session0,SANSA,5.183065,11.41757833,16.23311333,22.83875833,29.24962
4517,Session0,RODOLO,0.50358,17.88853,17.90041333,35.98954333,42.37096667
4518,Session0,PD5-31_3A,6.408393333,10.48821333,16.72660667,21.32209,61.348635
4519,Session0,PD5-78_0C,0.678138333,25.67983333,25.75618167,52.10922833,78.711055
4520,Session0,ETH-2,-6.287191667,-4.858273333,-11.83056,-9.648218333,5.901771667
4521,Session0,ETH-3,5.415993333,12.33330833,17.51510333,24.70671167,42.39541167
4522,Session0,F7304A,-0.262431667,21.55089833,20.61949833,43.60253667,68.35214833
4523,Session0,PD5-76_9a-A,0.683118333,22.48379,22.591175,45.53203333,68.1804
4524,Session0,ETH-1,5.70258,11.85135667,16.95707333,23.731885,53.98180333
4525,Session0,ETH-4,-6.35111,-4.974435,-11.780285,-9.810588333,13.27714167
4526,Session0,MERCK,-36.08415667,-1.813328333,-39.21651,-3.530315,-11.50593833
4527,Session0,PD5-DS2-B,8.77703,15.29924833,23.92428833,30.76875667,54.83502833
4528,Session0,LJ2010-5B-A,10.209045,-23.96678,-13.47221833,-47.06879167,-20.24155667
4529,Session0,ETH-2,-6.285336667,-4.854751667,-11.82135333,-9.694161667,11.91628833
4530,Session0,ETH-3,5.41737,12.32351,17.56109333,24.81912167,54.58226
4531,Session0,NBS-19,5.640841667,11.9626,17.05768667,23.887335,32.87982167
4532,Session0,PD5-78_0D,-0.381891667,18.925305,17.92458833,38.32292167,56.28532167
4533,Session0,F7304A,-0.274323333,21.50990667,20.59082833,43.46634,62.68024167
4534,Session0,LJ2010-5B-A,10.21917333,-23.97893167,-13.45998,-46.95432333,-12.15814833
4535,Session0,ETH-1,5.71583,11.95676333,17.22959333,24.13043333,104.5125
4536,Session0,ETH-4,-6.353508333,-4.89669,-11.725455,-9.755206667,-0.313901667
4537,Session0,NBS-18,-1.654913333,-9.378723333,-11.43530833,-18.581845,-12.64921167
4538,Session0,PD5-78_0C,0.676871667,25.67472167,25.66481833,52.100945,61.84758
4539,Session0,PD5-DS2-B,8.796196667,15.33279667,23.93057,30.71463333,42.44010167
4540,Session0,F7318A,-0.217376667,21.305495,20.37019,43.05007833,45.69629
4541,Session0,ETH-2,-6.27769,-4.786038333,-11.82095,-9.614323333,-14.23720167
4542,Session0,ETH-3,5.432483333,12.42314,17.52309,24.81711,14.91122
4543,Session0,IAEA-C1,6.07281,11.72817833,17.25866,23.41845833,20.583665
4544,Session0,PD5-31_3A,6.410966667,10.56021333,16.60548333,21.15924333,24.41330167
4545,Session0,PD5-78_0D,-0.407336667,18.91454333,17.563405,38.001765,-0.809371667
