constituency,party,votes,seats,year
Varanasi,BJP,612970,1,2024
Varanasi,INC,460457,0,2024
Amethi,INC,539188,1,2024
Amethi,BJP,372092,0,2024
Lucknow,BJP,512719,1,2024
Lucknow,SP,440778,0,2024
Rae Bareli,INC,687549,1,2024
Rae Bareli,BJP,297463,0,2024
Wayanad,INC,647445,1,2024
Wayanad,CPI,283023,0,2024
Thiruvananthapuram,INC,327747,1,2024
Thiruvananthapuram,BJP,311670,0,2024
Bangalore South,BJP,982351,1,2024
Bangalore South,INC,711183,0,2024
Chennai South,DMK,532001,1,2024
Chennai South,BJP,306000,0,2024
Kolkata South,TMC,530000,1,2024
Kolkata South,BJP,340000,0,2024
Gandhinagar,BJP,1010000,1,2024
Gandhinagar,INC,270000,0,2024
