table_no,title_tr,title_en,unit
1,Krediler (Bin TL),Loans (Thousand TL),Bin TL
2,Mevduat (Bin TL),Deposits (Thousand TL),Bin TL
3,Bireysel Bankacılık (Bin TL),Retail Banking (Thousand TL),Bin TL
4,Seçilmiş Sektörel Krediler (Bin TL),Selected Sectoral Loans (Thousand TL),Bin TL
5,Oranlar (%),Ratios (%),%
6,Şubeler (Adet) ve Nüfusa Göre Dağılım (TL),Branches and Distribution by Population (TL),Adet ve TL
7,Altın Kredileri ve Altın Mevduatı (Bin TL),Gold Loans and Gold Deposits (Thousand TL),Bin TL
