#mammos csv v2
#----------------------------------------
# These extrinsic properties were calculated using mammos-mumag simulations with 300 steps.
#----------------------------------------
#ThermodynamicTemperature,CoercivityHcExternal,Remanence,MaximumEnergyProduct
#https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926
#K,A / m,A / m,J / m3
T,Hc,Mr,BHmax
0.0,3063643.7827939717,1137190.816626736,406204.2072086813
67.215,3010589.355341836,1127399.7942251803,399250.01489221986
134.43,2904488.8061007806,1109779.8492989545,386870.043942591
201.644,2771861.6951972363,1087154.6680491758,371227.4814340702
268.859,2639223.873424857,1060406.9538949602,353103.26522206666
336.074,2480065.707330375,1029933.4959466346,333002.0514617394
403.289,2294391.092447116,995883.832072946,311466.0196399804
470.503,2108708.9990740702,958233.9728590144,288406.23835736065
537.718,1923020.7605317808,916797.6284043228,263941.70858614496
604.933,1710817.8748157374,871204.7833666094,238190.2932216162
672.148,1498609.7319175699,820829.9551211767,211581.68007051523
739.362,1286396.0298662735,764645.7089647016,183574.27704874446
806.577,1074171.5267170034,700898.2368173036,154119.94565108515
873.792,835435.5442597799,626326.0671343581,123148.0988913456
941.007,596670.6079532125,533749.1470210725,89303.00698476711
1008.221,304893.9929019753,400506.5331032865,50060.618127124544
