round,determinant,gaussian_entropy,gap,sigma,target_entropy
0,317.037890030912,5.717387713232297,-0.17149024510058375,10.0,5.8888779583328805
1,312.44018514990296,5.7100835880770395,-0.178794370255841,10.0,5.8888779583328805
2,311.3909723395375,5.708401700619051,-0.18047625771382947,10.0,5.8888779583328805
3,311.39097233953527,5.7084017006190475,-0.18047625771383302,10.0,5.8888779583328805
4,311.39097233953527,5.7084017006190475,-0.18047625771383302,10.0,5.8888779583328805
5,311.39097233953527,5.7084017006190475,-0.18047625771383302,10.0,5.8888779583328805
