round,determinant,gaussian_entropy,gap,sigma,target_entropy
0,379.20128236590404,5.806910642480232,-0.0819673158526486,4.8,5.8888779583328805
1,373.3013996589197,5.799070134076681,-0.08980782425619971,4.8,5.8888779583328805
2,373.28960682570795,5.799054338503053,-0.08982361982982745,4.8,5.8888779583328805
3,373.28960678945054,5.799054338454488,-0.08982361987839216,4.8,5.8888779583328805
4,373.28960678944924,5.799054338454487,-0.08982361987839393,4.8,5.8888779583328805
5,373.28960678944924,5.799054338454487,-0.08982361987839393,4.8,5.8888779583328805
