ID,Sample,T,SE_T,D47,SE_D47,Dataset,Tcorrel_1,Tcorrel_2,Tcorrel_3,Tcorrel_4,Tcorrel_5,D47correl_1,D47correl_2,D47correl_3,D47correl_4,D47correl_5
1,LGB-2,7.90,0.20,0.6486,0.0030,Devils Hole & Laghetto Basso from Anderson et al. (2021) &  Fiebig et al. (2021),1,0,1,0,0,1,0.364883,0,0,0
2,DVH-2,33.70,0.20,0.5696,0.0027,Devils Hole & Laghetto Basso from Anderson et al. (2021) &  Fiebig et al. (2021),0,1,0,1,1,0.364883,1,0,0,0
3,LGB-2,7.90,0.20,0.6481,0.0038,Devils Hole & Laghetto Basso from Anderson et al. (2021) &  Fiebig et al. (2021),1,0,1,0,0,0,0,1,0.293449,0.196447
4,DVH-2,33.70,0.20,0.5670,0.0036,Devils Hole & Laghetto Basso from Anderson et al. (2021) &  Fiebig et al. (2021),0,1,0,1,1,0,0,0.293449,1,0.193928
5,DHC2-8,33.70,0.20,0.5687,0.0022,Devils Hole & Laghetto Basso from Anderson et al. (2021) &  Fiebig et al. (2021),0,1,0,1,1,0,0,0.196447,0.193928,1
