Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE,c2 ± SE
Session_1,39,45,-4.412,25.209,0.0913,0.0936,0.0084,0.984 ± 0.004,0.046 ± 0.070,-0.882 ± 0.002,
Session_2,129,105,-4.379,25.119,0.0397,0.0713,0.0097,0.984 ± 0.002,-0.138 ± 0.043,-0.892 ± 0.001,8.6e-05 ± 2.3e-05
Session_3,130,65,-4.387,25.134,0.0388,0.0696,0.0076,0.987 ± 0.002,-0.017 ± 0.042,-0.881 ± 0.001,-1.2e-04 ± 2.8e-05
Session_4,114,39,-4.441,25.313,0.0342,0.0734,0.0084,0.984 ± 0.003,-0.085 ± 0.053,-0.865 ± 0.001,-2.5e-04 ± 3.7e-05
Session_5a,44,71,-4.413,25.313,0.0218,0.0796,0.0096,0.982 ± 0.003,-0.066 ± 0.056,-0.904 ± 0.002,
Session_5b,49,67,-4.416,25.345,0.0383,0.0892,0.0108,0.982 ± 0.003,-0.149 ± 0.057,-0.899 ± 0.002,
Session_5c,40,61,-4.420,25.337,0.0268,0.0839,0.0098,0.982 ± 0.004,-0.012 ± 0.067,-0.889 ± 0.002,
Session_5d,56,68,-4.417,25.336,0.0247,0.0770,0.0099,0.982 ± 0.003,-0.033 ± 0.059,-0.890 ± 0.002,
