Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
2017-09,21,39,-3.717,33.928,0.0264,0.0751,0.0119,0.850 ± 0.014,-4.424 ± 0.243,-0.793 ± 0.006
2017-11,30,68,-3.707,33.968,0.0314,0.0996,0.0126,0.788 ± 0.011,-6.412 ± 0.227,-0.754 ± 0.005
2018-02,18,16,-3.659,34.040,0.0545,0.0947,0.0110,0.863 ± 0.018,-3.512 ± 0.283,-0.856 ± 0.008
