UID,Session,Sample,SampleMass,ColdFingerPressure,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
E722,2017-09,ETH-1,2.05,100.3,-3.717,33.928,5.411341,2.989910,7.878832,5.757694,-0.553620,2.032375,37.074451,-0.654735,-0.229654,-12.098131,0.203769
E725,2017-09,ETH-3,2.15,100.9,-3.717,33.928,5.130136,3.389180,8.330842,6.880181,-0.053218,1.712789,37.496951,-0.309260,0.089758,-12.081812,0.612529
E730,2017-09,ETH-2,2.16,104.3,-3.717,33.928,-6.386433,-13.267642,-20.057829,-26.504047,-0.485426,-10.133698,19.926110,-0.520255,-0.148771,33.125432,0.216569
E737,2017-09,ETH-3,2.25,107.8,-3.717,33.928,5.143842,3.398914,8.331172,6.619780,-0.205297,1.727270,37.507203,-0.332530,-0.188286,-12.265245,0.585156
E738,2017-09,ETH-1,2.10,98.6,-3.717,33.928,5.401891,2.973894,7.839788,5.757188,-0.072306,2.022741,37.057552,-0.668070,-0.198227,-11.581461,0.187880
E741,2017-09,ETH-3,2.11,101.5,-3.717,33.928,5.111031,3.281491,8.189723,6.425261,0.026606,1.696139,37.383222,-0.324083,-0.147487,-11.774524,0.594357
E742,2017-09,BDV-7S,2.40,120.6,-3.717,33.928,2.354688,4.195525,6.260893,8.320787,-0.417879,-1.323762,38.355465,-0.301258,-0.087127,-11.089775,0.611169
E743,2017-09,BDV-7W,2.13,100.3,-3.717,33.928,2.200829,5.700616,7.592392,11.326059,-0.590789,-1.546890,39.945980,-0.292923,-0.106451,-14.004979,0.627903
E744,2017-09,BDV-3S,2.16,103.9,-3.717,33.928,2.886150,4.245202,6.830260,8.454106,-0.038037,-0.749963,38.406685,-0.331115,-0.053851,-11.368868,0.579009
E746,2017-09,ETH-2,2.04,100.1,-3.717,33.928,-6.383239,-13.218849,-20.018116,-26.302191,0.257034,-10.132085,19.977653,-0.531654,-0.040347,33.788863,0.203366
E747,2017-09,BDV-3W,2.01,97.6,-3.717,33.928,2.538925,6.510397,8.735027,12.989902,0.313903,-1.211042,40.800719,-0.298823,-0.072328,-15.026179,0.626910
E748,2017-09,BDV-2S,2.03,87.6,-3.717,33.928,2.941751,4.407892,7.080972,8.785366,-0.393833,-0.695844,38.578437,-0.298600,-0.049400,-12.093537,0.618563
E749,2017-09,BDV-2W,2.01,96.2,-3.717,33.928,2.884018,6.051487,8.643284,11.955855,0.531304,-0.820040,40.315053,-0.296531,-0.181528,-14.290562,0.629129
E754,2017-09,ETH-1,2.02,98.5,-3.717,33.928,5.420640,3.035197,7.946783,5.906806,-0.008081,2.040747,37.122275,-0.641260,-0.171720,-11.656332,0.219975
E755,2017-09,BDV-5W,2.03,95.8,-3.717,33.928,2.557484,6.312758,8.557880,12.433523,0.156603,-1.183529,40.591867,-0.300490,-0.228940,-14.820418,0.624027
E756,2017-09,BDV-5S,2.06,91.2,-3.717,33.928,2.393665,4.437034,6.518896,8.791952,0.265077,-1.290608,38.610530,-0.321418,-0.100900,-10.922594,0.588795
E758,2017-09,ETH-3,2.18,100.0,-3.717,33.928,5.118539,3.322820,8.262969,6.574326,0.505019,1.702719,37.426869,-0.299648,-0.081778,-11.389657,0.623482
E760,2017-09,BDV-6W,2.08,98.2,-3.717,33.928,2.423507,6.090177,8.214792,11.891117,-0.101371,-1.320302,40.357026,-0.285366,-0.322385,-14.505942,0.640033
E761,2017-09,BDV-6S,2.00,93.7,-3.717,33.928,2.479370,4.397866,6.604315,8.684893,-0.972017,-1.196305,38.568944,-0.286441,-0.129036,-12.160179,0.630387
E763,2017-09,ETH-1,2.20,108.4,-3.717,33.928,5.403541,2.998108,7.908578,5.659358,0.454104,2.023618,37.083130,-0.625274,-0.343747,-11.109755,0.238582
E764,2017-09,BDV-2W,2.05,94.0,-3.717,33.928,2.839892,6.134288,8.687043,12.059996,0.331413,-0.870941,40.402638,-0.288662,-0.243209,-14.600637,0.638613
E765,2017-09,BDV-5W,2.09,102.5,-3.717,33.928,2.514411,6.197634,8.413250,12.320014,-0.063624,-1.225867,40.470339,-0.287102,-0.112265,-14.770776,0.639024
E766,2017-09,BDV-5S,2.00,95.1,-3.717,33.928,2.395266,4.351312,6.466771,8.726034,-0.558184,-1.285656,38.519960,-0.290958,0.004443,-11.572579,0.624357
E767,2017-09,BDV-6S,2.00,94.8,-3.717,33.928,2.483221,4.455927,6.658924,8.811766,-0.341450,-1.194312,38.630277,-0.292982,-0.118875,-11.652990,0.622976
E768,2017-09,ETH-3,2.09,76.1,-3.717,33.928,5.100715,3.233954,8.143391,6.470467,-0.344126,1.686750,37.333024,-0.312869,-0.007816,-12.038089,0.607308
E769,2017-09,BDV-6W,2.10,100.1,-3.717,33.928,2.400993,6.151489,8.255953,12.288294,-0.231227,-1.346988,40.421857,-0.281278,-0.051881,-14.728321,0.645057
E770,2017-09,BDV-2S,2.08,96.9,-3.717,33.928,2.842564,4.234145,6.804664,8.212318,0.046430,-0.796759,38.395107,-0.300882,-0.271585,-11.218164,0.614441
E771,2017-09,BDV-7S,2.04,91.2,-3.717,33.928,2.384634,4.216395,6.316151,8.359379,-0.278383,-1.292109,38.377443,-0.297602,-0.090419,-11.023651,0.615757
E772,2017-09,BDV-7W,2.17,109.3,-3.717,33.928,2.251203,5.880004,7.797675,11.413260,0.348011,-1.499054,40.135386,-0.316402,-0.376875,-13.477449,0.601352
E773,2017-09,BDV-3W,2.10,87.6,-3.717,33.928,2.496115,6.369812,8.562572,12.651140,0.366403,-1.252141,40.652291,-0.288418,-0.127426,-14.659233,0.638253
E774,2017-09,ETH-3,2.10,87.1,-3.717,33.928,5.108550,3.293309,8.215608,6.403928,-0.297195,1.693008,37.395714,-0.307448,-0.192235,-12.114772,0.614060
E775,2017-09,BDV-7W,2.06,79.7,-3.717,33.928,2.264408,5.717912,7.674117,11.372378,-0.150842,-1.478672,39.964102,-0.294178,-0.095048,-13.670970,0.626853
E776,2017-09,BDV-2S,2.12,90.8,-3.717,33.928,2.840394,4.214750,6.761794,8.377501,-0.751917,-0.798382,38.374621,-0.322237,-0.069169,-11.967744,0.589097
E777,2017-09,BDV-2W,2.00,88.5,-3.717,33.928,2.794134,5.975739,8.505510,11.779347,0.300039,-0.914559,40.235238,-0.266642,-0.205371,-14.278417,0.663573
E778,2017-09,ETH-2,2.08,101.6,-3.717,33.928,-6.482829,-13.424524,-20.317550,-26.848064,-0.678196,-10.232173,19.760589,-0.528902,-0.184203,33.355813,0.205045
E779,2017-09,BDV-7S,2.11,97.4,-3.717,33.928,2.393067,4.356157,6.474346,8.490527,-0.335059,-1.288220,38.525084,-0.285912,-0.238673,-11.358973,0.630332
E780,2017-09,ETH-1,2.09,83.1,-3.717,33.928,5.401296,2.947965,7.820430,5.837085,-0.216309,2.023070,37.030159,-0.661253,-0.067103,-11.672974,0.195798
E781,2017-09,BDV-7W,2.08,65.8,-3.717,33.928,2.276126,5.772534,7.732818,11.653682,-1.004900,-1.468028,40.021783,-0.301379,0.074433,-14.630921,0.618687
E782,2017-09,BDV-3S,2.03,83.0,-3.717,33.928,2.936214,4.312910,6.977435,8.480953,-0.261420,-0.698277,38.478100,-0.302743,-0.162056,-11.773235,0.613151
E783,2017-09,BDV-3W,2.16,99.9,-3.717,33.928,2.507398,6.489112,8.694347,13.068709,0.340924,-1.244393,40.778307,-0.285918,0.047758,-14.925620,0.641879
E784,2017-09,ETH-3,2.15,109.7,-3.717,33.928,5.118708,3.276057,8.220193,6.280277,-0.258147,1.704658,37.377463,-0.296424,-0.280695,-12.053442,0.627053
E785,2017-09,BDV-2S,2.01,91.5,-3.717,33.928,2.850065,4.239463,6.817804,8.492497,0.228364,-0.788834,38.400708,-0.300754,-0.004355,-11.056454,0.614660
E786,2017-09,BDV-2W,2.05,97.9,-3.717,33.928,2.807290,6.013467,8.529323,12.109964,0.113739,-0.901723,40.275067,-0.293428,0.046317,-14.548407,0.632186
E787,2017-09,ETH-3,2.15,103.6,-3.717,33.928,5.152817,3.319248,8.303446,6.484494,0.411313,1.739982,37.423014,-0.291188,-0.163896,-11.511256,0.633646
E788,2017-09,BDV-7S,2.11,90.5,-3.717,33.928,2.394377,4.276937,6.379648,8.512263,-0.086635,-1.283828,38.441384,-0.303801,-0.059388,-10.961380,0.608796
E789,2017-09,BDV-3S,2.02,97.5,-3.717,33.928,2.951728,4.320828,6.995273,8.629201,0.671534,-0.681770,38.486429,-0.308737,-0.030846,-10.882656,0.606193
E790,2017-09,BDV-3W,2.16,100.3,-3.717,33.928,2.559365,6.488147,8.734455,12.950187,0.763320,-1.188068,40.777163,-0.298694,-0.067322,-14.562266,0.627059
E791,2017-09,ETH-2,2.15,104.9,-3.717,33.928,-6.445121,-13.359511,-20.205288,-26.561062,-0.193929,-10.193790,19.829187,-0.518265,-0.021134,33.680897,0.218142
E792,2017-09,BDV-5W,2.11,100.9,-3.717,33.928,2.498854,6.163294,8.361175,12.163378,-0.249700,-1.241430,40.434096,-0.289180,-0.198735,-14.871759,0.636309
E793,2017-09,BDV-5S,2.17,97.4,-3.717,33.928,2.346901,4.275382,6.340121,8.570717,-0.076779,-1.335194,38.439854,-0.292691,0.001665,-10.898690,0.621659
