Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,18,2.01,37.02,0.2052,,,0.0181,
ETH-2,16,-10.17,19.88,0.2085,,,0.0111,
ETH-3,35,1.71,37.45,0.6132,,,0.0142,
Ad1,4,2.10,44.14,0.6803,0.0084,± 0.0165,0.0105,0.440
Ad3a,4,1.99,44.16,0.6933,0.0084,± 0.0166,0.0140,0.799
Ad3l,4,1.97,44.16,0.6944,0.0084,± 0.0166,0.0109,0.606
BDV-2S,4,-0.77,38.44,0.6092,0.0078,± 0.0154,0.0135,0.536
BDV-2W,4,-0.88,40.31,0.6409,0.0079,± 0.0157,0.0156,0.944
BDV-3J,2,-0.36,38.39,0.6209,0.0102,± 0.0201,0.0004,
BDV-3S,4,-0.73,38.44,0.6019,0.0077,± 0.0153,0.0155,0.810
BDV-3W,4,-1.22,40.75,0.6335,0.0079,± 0.0156,0.0077,0.397
BDV-5J7J,1,-0.04,39.25,0.6284,0.0138,± 0.0272,,
BDV-5S,4,-1.31,38.54,0.6118,0.0078,± 0.0154,0.0162,0.899
BDV-5W,4,-1.24,40.46,0.6362,0.0079,± 0.0156,0.0090,0.348
BDV-6J,1,-0.51,39.35,0.6096,0.0137,± 0.0271,,
BDV-6J7J,1,-0.53,39.55,0.6492,0.0139,± 0.0274,,
BDV-6S,4,-1.21,38.64,0.6210,0.0076,± 0.0149,0.0097,0.362
BDV-6W,4,-1.34,40.47,0.6451,0.0080,± 0.0157,0.0051,0.141
BDV-7S,4,-1.30,38.42,0.6165,0.0078,± 0.0155,0.0097,0.406
BDV-7W,4,-1.50,40.02,0.6187,0.0078,± 0.0154,0.0123,0.699
PY1,4,0.51,42.23,0.6444,0.0081,± 0.0160,0.0258,0.174
PY2,4,0.64,42.04,0.6434,0.0081,± 0.0160,0.0230,0.153
PY3,4,0.99,41.95,0.6353,0.0081,± 0.0159,0.0114,0.683
PY4,4,1.13,41.99,0.6252,0.0080,± 0.0159,0.0103,0.427
PY5,4,0.84,41.83,0.6500,0.0081,± 0.0160,0.0124,0.827
T1-E,4,3.18,42.13,0.6277,0.0081,± 0.0161,0.0028,0.082
T2-E,4,3.26,42.24,0.6354,0.0082,± 0.0162,0.0202,0.497
T3-E,4,3.14,42.13,0.6521,0.0082,± 0.0162,0.0129,0.984
T4-E,4,3.37,42.01,0.6465,0.0082,± 0.0162,0.0093,0.391
TES-13S,2,-0.46,37.92,0.6030,0.0101,± 0.0200,0.0036,
TES-2S,5,-1.07,38.12,0.5875,0.0067,± 0.0132,0.0046,0.103
TES-2W3W,1,-0.87,39.42,0.6343,0.0138,± 0.0273,,
TES-3S,4,-0.86,37.97,0.6065,0.0077,± 0.0153,0.0066,0.260
TES-4W,1,-0.39,39.69,0.6315,0.0138,± 0.0272,,
TW1,5,1.53,38.65,0.5863,0.0072,± 0.0142,0.0039,0.077
TW2,4,0.51,38.28,0.5993,0.0079,± 0.0156,0.0147,0.728
TW3,4,1.11,38.39,0.6090,0.0079,± 0.0156,0.0059,0.208
TW4,4,1.21,38.50,0.6092,0.0079,± 0.0156,0.0133,0.917
