Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE,c2 ± SE
Session_A,125,7,2.717,38.127,0.0304,0.0644,0.0286,0.950 ± 0.018,0.439 ± 0.230,-0.237 ± 0.009,
Session_B,429,49,2.754,38.212,0.0530,0.1080,0.0355,0.955 ± 0.010,0.449 ± 0.125,-0.249 ± 0.005,-5.4e-04 ± 7.5e-05
Session_C,291,46,2.774,38.228,0.0491,0.0989,0.0321,0.981 ± 0.011,1.044 ± 0.147,-0.260 ± 0.006,
Session_D,188,11,2.735,38.218,0.0353,0.0769,0.0442,1.023 ± 0.017,1.123 ± 0.199,-0.257 ± 0.008,
