Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,199,2.03,37.03,0.2052,,,0.0092,
ETH-2,199,-10.17,19.88,0.2085,,,0.0081,
25G__Session_1,10,-22.66,38.46,0.9134,0.0025,± 0.0049,0.0074,0.490
25G__Session_2,26,-17.06,37.08,0.9157,0.0015,± 0.0030,0.0090,0.743
25G__Session_3,22,-17.72,38.24,0.9166,0.0016,± 0.0031,0.0076,0.312
25G__Session_4,14,-17.46,38.55,0.9178,0.0023,± 0.0044,0.0116,0.629
25G__Session_5a,20,-20.80,45.48,0.9203,0.0024,± 0.0047,0.0110,0.348
25G__Session_5b,18,-20.64,41.24,0.9191,0.0024,± 0.0047,0.0121,0.117
25G__Session_5c,13,-15.62,39.67,0.9206,0.0024,± 0.0048,0.0110,0.407
25G__Session_5d,16,-13.51,42.00,0.9219,0.0024,± 0.0047,0.0101,0.636
66-465,9,0.00,37.94,0.5982,0.0033,± 0.0065,0.0084,0.635
BUK-1,7,2.04,21.83,0.5201,0.0039,± 0.0077,0.0075,0.660
BUK-2,7,2.49,21.87,0.5169,0.0039,± 0.0077,0.0083,0.663
CA-120,4,-2.22,10.57,0.3988,0.0050,± 0.0097,0.0059,0.477
CA-170,5,-4.03,7.02,0.3401,0.0046,± 0.0089,0.0120,0.436
CA-200,6,-5.25,4.67,0.3223,0.0043,± 0.0084,0.0063,0.177
CA-250A,5,-7.17,2.60,0.2922,0.0047,± 0.0092,0.0131,0.381
CA-250B,6,-6.57,4.03,0.2927,0.0043,± 0.0085,0.0082,0.689
CM-351,17,2.07,37.01,0.2023,0.0025,± 0.0049,0.0090,0.783
DHC2-8,22,-2.08,22.72,0.5687,0.0022,± 0.0043,0.0064,0.141
DVH-2,9,-1.98,22.95,0.5670,0.0036,± 0.0070,0.0135,0.019
ETH-1-1100,10,1.95,36.93,0.1808,0.0034,± 0.0067,0.0091,0.920
ETH-2-1100,10,-10.10,20.06,0.1835,0.0033,± 0.0065,0.0108,0.511
ETH-3__Session_1,13,1.71,37.42,0.6051,0.0032,± 0.0064,0.0062,0.116
ETH-3__Session_2,44,1.71,37.45,0.6053,0.0020,± 0.0038,0.0103,0.164
ETH-3__Session_3,41,1.70,37.45,0.6073,0.0021,± 0.0041,0.0066,0.054
ETH-3__Session_4,39,1.70,37.44,0.6062,0.0024,± 0.0047,0.0081,0.565
ETH-3__Session_5a,14,1.70,37.45,0.6033,0.0032,± 0.0064,0.0090,0.889
ETH-3__Session_5b,18,1.70,37.45,0.6017,0.0031,± 0.0061,0.0114,0.268
ETH-3__Session_5c,14,1.70,37.46,0.5970,0.0033,± 0.0065,0.0079,0.311
ETH-3__Session_5d,20,1.70,37.46,0.5983,0.0030,± 0.0058,0.0083,0.426
FAS-2,7,-1.69,14.37,0.4369,0.0039,± 0.0077,0.0168,0.574
GU-1,20,-7.74,12.88,0.2245,0.0025,± 0.0049,0.0096,0.673
HG__Session_1,15,-8.16,26.72,0.0204,0.0025,± 0.0049,0.0088,0.980
HG__Session_2,39,-7.65,26.52,0.0227,0.0015,± 0.0030,0.0107,0.526
HG__Session_3,34,-8.53,26.48,0.0236,0.0016,± 0.0031,0.0079,0.346
HG__Session_4,15,-10.70,23.97,0.0248,0.0023,± 0.0044,0.0083,0.957
HG__Session_5a,18,-7.56,26.85,0.0273,0.0024,± 0.0047,0.0090,0.798
HG__Session_5b,17,-8.68,26.74,0.0261,0.0024,± 0.0047,0.0084,0.950
HG__Session_5c,14,-6.56,27.16,0.0276,0.0024,± 0.0048,0.0075,0.411
HG__Session_5d,17,-6.75,27.06,0.0289,0.0024,± 0.0047,0.0073,0.314
JR,10,-8.06,38.93,0.7109,0.0032,± 0.0063,0.0109,0.531
KAK-1,7,-1.02,16.24,0.4372,0.0039,± 0.0076,0.0118,0.540
LGB-2,9,0.10,34.83,0.6481,0.0038,± 0.0074,0.0086,0.698
MD-1,11,-16.56,26.89,0.5988,0.0031,± 0.0061,0.0103,0.505
MHD-1,6,-33.88,28.25,0.5450,0.0042,± 0.0082,0.0088,0.504
Mv-143b,9,-0.46,39.30,0.6651,0.0034,± 0.0066,0.0058,0.192
PC1_2005,10,-1.76,34.08,0.6166,0.0031,± 0.0062,0.0085,0.707
SZE-3,7,-0.73,14.31,0.4341,0.0039,± 0.0077,0.0051,0.139
