Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE,c2 ± SE
Session_1,26,58,-4.412,25.209,0.1104,0.1097,0.0082,0.987 ± 0.004,0.076 ± 0.067,-0.881 ± 0.002,
Session_2,85,149,-4.379,25.119,0.0449,0.0792,0.0094,0.989 ± 0.002,-0.090 ± 0.042,-0.891 ± 0.001,8.9e-05 ± 2.1e-05
Session_3,89,106,-4.387,25.134,0.0431,0.0779,0.0074,0.991 ± 0.003,0.020 ± 0.042,-0.881 ± 0.001,-1.2e-04 ± 2.6e-05
Session_4,75,78,-4.441,25.313,0.0390,0.0837,0.0081,0.990 ± 0.004,-0.039 ± 0.052,-0.865 ± 0.001,-2.4e-04 ± 3.5e-05
Session_5a,30,85,-4.413,25.313,0.0221,0.0875,0.0092,0.987 ± 0.003,-0.042 ± 0.054,-0.903 ± 0.002,
Session_5b,31,85,-4.416,25.345,0.0439,0.0961,0.0103,0.988 ± 0.003,-0.082 ± 0.056,-0.898 ± 0.002,
Session_5c,26,75,-4.420,25.337,0.0290,0.0996,0.0090,0.990 ± 0.004,0.036 ± 0.064,-0.886 ± 0.002,
Session_5d,36,88,-4.417,25.336,0.0269,0.0894,0.0090,0.990 ± 0.004,0.028 ± 0.058,-0.888 ± 0.002,
