H (A/m)	M (A/m)
3978873.5751313814	958911.7235956002
3952347.751297172	958910.5561866222
3925821.9274629634	958909.3753010937
3899296.103628754	958908.1807600243
3872770.279794545	958906.9723640743
3846244.4559603357	958905.7498934779
3819718.632126127	958904.513137117
3793192.808291918	958903.2618668339
3766666.9844577084	958901.9958500043
3740141.160623499	958900.7148621029
3713615.3367892904	958899.4186576684
3687089.512955081	958898.1070019939
3660563.689120872	958896.7796416366
3634037.8652866627	958895.4363297042
3607512.041452454	958894.0768064953
3580986.2176182447	958892.7008096477
3554460.3937840355	958891.3080714585
3527934.569949826	958889.8983187515
3501408.7461156175	958888.4712727579
3474882.922281408	958887.0266477267
3448357.098447199	958885.5641556752
3421831.27461299	958884.0834989663
3395305.450778781	958882.5843749802
3368779.6269445717	958881.0664747532
3342253.8031103625	958879.5294828153
3315727.9792761537	958877.9730770219
3289202.1554419445	958876.3969314573
3262676.3316077353	958874.8007042237
3236150.507773526	958873.1840535111
3209624.6839393172	958871.546631798
3183098.8601051085	958869.8880794786
3156573.0362708988	958868.20803068
3130047.2124366895	958866.5061115524
3103521.3886024808	958864.7819400603
3076995.564768272	958863.035125783
3050469.7409340623	958861.2652696865
3023943.917099853	958859.4719638659
2997418.0932656443	958857.6547913603
2970892.269431435	958855.8133261622
2944366.445597226	958853.9471318075
2917840.621763017	958852.0557628478
2891314.797928808	958850.1387634624
2864788.9740945986	958848.1956674017
2838263.15026039	958846.2259977898
2811737.3264261805	958844.2292667525
2785211.5025919713	958842.20497515
2758685.678757762	958840.1526122688
2732159.854923553	958838.071655455
2705634.031089344	958835.9615719474
2679108.207255135	958833.8218101274
2652582.383420926	958831.651811585
2626056.5595867164	958829.4510025532
2599530.7357525076	958827.2187955711
2573004.911918299	958824.9545890716
2546479.088084089	958822.6577669585
2519953.26424988	958820.3276982199
2493427.440415671	958817.9637364637
2466901.616581462	958815.5652194693
2440375.792747252	958813.1314728863
2413849.9689130434	958810.6617932646
2387324.1450788346	958808.1554720288
2360798.3212446254	958805.6117788095
2334272.497410416	958803.0299648779
2307746.6735762074	958800.4092626468
2281220.849741998	958797.7488850247
2254695.025907789	958795.0480248362
2228169.2020735797	958792.3058542641
2201643.378239371	958789.5215309717
2175117.5544051616	958786.694170411
2148591.7305709524	958783.8228853063
2122065.906736743	958780.9067583843
2095540.0829025342	958777.9448482783
2069014.2590683252	958774.936188648
2042488.4352341164	958771.8797875642
2015962.611399907	958768.774635811
1989436.7875656977	958765.6196691218
1962910.963731489	958762.4138222695
1936385.1398972794	958759.1559918325
1909859.31606307	958755.845044203
1883333.4922288612	958752.4798146154
1856807.6683946522	958749.0591061086
1830281.8445604432	958745.5816996656
1803756.020726234	958742.0463085742
1777230.196892025	958738.4516434284
1750704.3730578157	958734.7963700121
1724178.5492236067	958731.0791077391
1697652.7253893975	958727.2984449457
1671126.9015551885	958723.4529263005
1644601.0777209792	958719.541054637
1618075.2538867702	958715.5612889419
1591549.430052561	958711.5120431619
1565023.6062183513	958707.3916844158
1538497.7823841427	958703.1985315197
1511971.9585499333	958698.930852893
1485446.1347157238	958694.5868650492
1458920.3108815148	958690.1647311535
1432394.4870473053	958685.6625570963
1405868.663213096	958681.0783926304
1379342.8393788866	958676.4102261363
1352817.0155446772	958671.655984324
1326291.1917104684	958666.8135288937
1299765.367876259	958661.8806547703
1273239.5440420494	958656.8550860168
1246713.7202078402	958651.7344778156
1220187.8963736307	958646.5164057326
1193662.0725394217	958641.1983707163
1167136.2487052123	958635.7777904295
1140610.424871003	958630.2519992653
1114084.6010367938	958624.6182447415
1087558.7772025845	958618.8736818817
1061032.9533683753	958613.0153719765
1034507.129534166	958607.0402767502
1007981.3056999566	958600.9452562119
981455.4818657474	958594.7270632696
954929.658031538	958588.3823393341
928403.8341973288	958581.9076102418
901878.0103631194	958575.2992811111
875352.1865289103	958568.5536311592
848826.3626947008	958561.6668083332
822300.5388604916	958554.6348239616
795774.7150262822	958547.4535465947
769248.8911920731	958540.1186958681
742723.0673578638	958532.6258360246
716197.2435236546	958524.9703689723
689671.4196894455	958517.1475270328
663145.5958552363	958509.1523654201
636619.772021027	958500.979754142
610093.9481868178	958492.6243701
583568.1243526087	958484.0806869688
557042.3005183995	958475.3429673132
530516.4766841902	958466.4052511547
503990.65284998104	958457.2613472803
477464.82901577186	958447.9048204885
450939.0051815626	958438.3289806646
424413.18134735344	958428.5268715624
397887.35751314426	958418.4912553654
371361.53367893497	958408.2146017851
344835.70984472585	958397.6890705153
318309.8860105166	958386.906499374
291784.0621763074	958375.8583832962
265258.2383420982	958364.5358620407
238732.414507889	958352.9296984476
212206.5906736798	958341.0302601426
185680.76683947057	958328.8274981867
159154.9430052614	958316.310926637
132629.1191710522	958303.4695975428
106103.29533684293	958290.2920770154
79577.47150263375	958276.7664185067
53051.64766842457	958262.8801346238
26525.82383421531	958248.6201682232
6.1733682846189024e-09	958233.9728590143
-26525.823834202976	958218.9239097616
-53051.64766841223	958203.4583509826
-79577.47150262143	958187.5605011962
-106103.2953368306	958171.2139258614
-132629.11917103978	958154.4013927915
-159154.94300524905	958137.1048247494
-185680.76683945823	958119.3052493058
-212206.5906736675	958100.9827409681
-238732.4145078767	958082.1163693296
-265258.23834208585	958062.6841305005
-291784.06217629503	958042.6628794984
-318309.8860105043	958022.028262235
-344835.7098447135	958000.7546340307
-371361.5336789227	957978.8149765136
-397887.3575131319	957956.1808077429
-424413.18134734116	957932.822080301
-450939.00518155034	957908.7070804546
-477464.8290157596	957883.8023146732
-503990.65284996876	957858.0723814168
-530516.476684178	957831.4798367843
-557042.3005183872	957803.9850545042
-583568.1243525964	957775.5460656383
-610093.9481868056	957746.1183828727
-636619.7720210148	957715.6548210211
-663145.595855224	957684.1052888857
-689671.4196894332	957651.4165717318
-716197.2435236424	957617.5320778771
-742723.0673578517	957582.3915941406
-769248.8911920608	957545.9309651266
-795774.7150262699	957508.0818169159
-822300.5388604793	957468.771152037
-848826.3626946885	957427.9210192241
-875352.1865288978	957385.4480715614
-901878.0103631071	957341.2630656603
-928403.8341973164	957295.2703694343
-954929.6580315257	957247.3674201698
-981455.4818657349	957197.4440592722
-1007981.3056999443	957145.3834398572
-1034507.1295341535	957091.0549064608
-1061032.9533683627	957034.3223429661
-1087558.7772025722	956975.0372880244
-1114084.6010367814	956913.039188735
-1140610.424870991	956848.1541952247
-1167136.2487052	956780.1937614094
-1193662.0725394094	956708.9530549662
-1220187.8963736186	956634.2091816744
-1246713.7202078279	956555.7191420803
-1273239.5440420373	956473.2175098188
-1299765.3678762466	956386.413755028
-1326291.1917104558	956294.9892119615
-1352817.015544665	956198.5936487427
-1379342.8393788743	956096.8409182222
-1405868.6632130835	955989.307614439
-1432394.487047293	955875.5162827359
-1458920.3108815022	955754.9443586962
-1485446.1347157112	955627.0069464596
-1511971.9585499207	955491.0499904486
-1538497.78238413	955346.3394986889
-1565023.6062183394	955192.0485064639
-1591549.4300525486	955027.2413568078
-1618075.253886758	954850.8595935979
-1644601.0777209667	954661.6797418364
-1671126.9015551761	954458.3095873592
-1697652.7253893851	954239.1351013912
-1724178.5492235944	954002.2772433823
-1750704.3730578034	953745.539020082
-1777230.1968920128	953466.3004181667
-1803756.0207262216	953161.4454403172
-1830281.8445604306	952827.2006560354
-1856807.66839464	952458.9352428667
-1883333.4922288489	952050.8670810868
-1909859.316063058	951595.6636112999
-1936385.139897267	951083.7215043687
-1962910.9637314763	950502.1817682028
-1989436.7875656853	949832.9054728107
-2015962.6113998946	949048.9392248503
-2042488.435234104	948106.5995473143
-2069014.2590683128	946923.5451511003
-2095540.0829025218	945286.5667886406
-2122065.906736731	-958780.9067103424
-2148591.7305709403	-958783.8208901078
-2175117.554405149	-958786.692284374
-2201643.3782393583	-958789.5196881837
-2228169.2020735675	-958792.3040610817
-2254695.0259077763	-958795.0462731724
-2281220.8497419856	-958797.7471739278
-2307746.673576195	-958800.4075910698
-2334272.497410404	-958803.0283317874
-2360798.321244613	-958805.6101832208
-2387324.1450788225	-958808.153912998
-2413849.9689130313	-958810.6602699131
-2440375.7927472405	-958813.1299843717
-2466901.6165814493	-958815.5637688682
-2493427.4404156585	-958817.9602280192
-2519953.2642498678	-958820.3263093636
-2546479.088084077	-958822.6543949913
-2573004.911918286	-958824.9532623754
-2599530.735752495	-958827.2155523415
-2626056.5595867042	-958829.4478720312
-2652582.3834209135	-958831.6487394123
-2679108.2072551223	-958833.8187956865
-2705634.0310893315	-958835.9586146674
-2732159.854923541	-958838.0687567008
-2758685.67875775	-958840.1497678506
-2785211.5025919587	-958842.2021842536
-2811737.326426168	-958844.2265285408
-2838263.150260377	-958846.2233104495
-2864788.974094586	-958848.193030238
-2891314.7979287948	-958850.1361752904
-2917840.6217630045	-958852.053222017
-2944366.4455972137	-958853.9446381576
-2970892.269431422	-958855.8108787056
-2997418.093265632	-958857.652389411
-3023943.917099841	-958859.4696062092
-3050469.74093405	-958861.2629553925
-3076995.564768259	-958863.0328539712
-3103521.3886024687	-958864.7797098547
-3130047.2124366774	-958866.5039225516
-3156573.0362708867	-958868.2058817376
-3183098.8601050954	-958869.8859691335
-3209624.683939305	-958871.5445597646
-3236150.5077735144	-958873.1820190148
-3262676.331607723	-958874.7987050277
-3289202.1554419324	-958876.3949683404
-3315727.979276142	-958877.9711521629
-3342253.803110351	-958879.5275923416
-3368779.6269445596	-958881.0646180381
-3395305.450778769	-958882.5825515545
-3421831.274612978	-958884.0817080342
-3448357.098447187	-958885.5623965915
-3474882.922281396	-958887.0249198702
-3501408.7461156053	-958888.4695745172
-3527934.5699498146	-958889.8966505568
-3554460.3937840234	-958891.3064326968
-3580986.2176182326	-958892.6991997614
-3607512.041452442	-958894.075224895
-3634037.865286651	-958895.4347758404
-3660563.68912086	-958896.7781149647
-3687089.51295507	-958898.1054994693
-3713615.3367892783	-958899.4171813641
-3740141.1606234876	-958900.7134079653
-3766666.9844576963	-958901.9944211681
-3793192.8082919056	-958903.2604587016
-3819718.632126115	-958904.5117534533
-3846244.455960324	-958905.7485338058
-3872770.279794533	-958906.9710237428
-3899296.103628742	-958908.1794429035
-3925821.9274629517	-958909.3740067378
-3952347.75129716	-958910.5549265966
-3978873.5751313693	-958911.7224097676
